t,value
1598407780,0
1598407781,0
1598407782,0
1598407783,0
1598407784,0
1598407785,0
1598407786,0
1598407787,0
1598407788,0
1598407789,0
1598407790,0
1598407791,0
1598407792,0
1598407793,0
1598407794,0
1598407795,0
1598407796,0
1598407797,0
1598407798,8
1598407799,8
1598407800,8
1598407801,8
1598407802,8
1598407803,8
1598407804,8
1598407805,8
1598407806,8
1598407807,8
1598407808,12
1598407809,12
1598407810,12
1598407811,12
1598407812,12
1598407813,12
1598407814,12
1598407815,12
1598407816,12
1598407817,12
1598407818,16
1598407819,16
1598407820,16
1598407821,16
1598407822,16
1598407823,16
1598407824,16
1598407825,16
1598407826,16
1598407827,16
1598407828,19
1598407829,19
1598407830,19
1598407831,19
1598407832,19
1598407833,19
1598407834,19
1598407835,19
1598407836,19
1598407837,19
1598407838,22
1598407839,22
1598407840,22
1598407841,22
1598407842,22
1598407843,22
1598407844,22
1598407845,22
1598407846,22
1598407847,22
1598407848,26
1598407849,26
1598407850,26
1598407851,26
1598407852,26
1598407853,26
1598407854,26
1598407855,26
1598407856,26
1598407857,26
1598407858,32
1598407859,32
1598407860,32
1598407861,32
1598407862,32
1598407863,32
1598407864,32
1598407865,32
1598407866,32
1598407867,32
1598407868,37
1598407869,37
1598407870,37
1598407871,37
1598407872,37
1598407873,37
1598407874,37
1598407875,37
1598407876,37
1598407877,37
1598407878,42
1598407879,42
1598407880,42
1598407881,42
1598407882,42
1598407883,42
1598407884,42
1598407885,42
1598407886,42
1598407887,42
1598407888,49
1598407889,49
1598407890,49
1598407891,49
1598407892,49
1598407893,49
1598407894,49
1598407895,49
1598407896,49
1598407897,49
1598407898,58
1598407899,58
1598407900,58
1598407901,58
1598407902,58
1598407903,58
1598407904,58
1598407905,58
1598407906,58
1598407907,58
1598407908,69
1598407909,69
1598407910,69
1598407911,69
1598407912,69
1598407913,69
1598407914,69
1598407915,69
1598407916,69
1598407917,69
1598407918,84
1598407919,84
1598407920,84
1598407921,84
1598407922,84
1598407923,84
1598407924,84
1598407925,84
1598407926,84
1598407927,84
1598407928,102
1598407929,102
1598407930,102
1598407931,102
1598407932,102
1598407933,102
1598407934,102
1598407935,102
1598407936,102
1598407937,102
1598407938,123
1598407939,123
1598407940,123
1598407941,123
1598407942,123
1598407943,123
1598407944,123
1598407945,123
1598407946,123
1598407947,123
1598407948,144
1598407949,144
1598407950,144
1598407951,144
1598407952,144
1598407953,144
1598407954,144
1598407955,144
1598407956,144
1598407957,144
1598407958,167
1598407959,167
1598407960,167
1598407961,167
1598407962,167
1598407963,167
1598407964,167
1598407965,167
1598407966,167
1598407967,167
1598407968,189
1598407969,189
1598407970,189
1598407971,189
1598407972,189
1598407973,189
1598407974,189
1598407975,189
1598407976,189
1598407977,189
1598407978,213
1598407979,213
1598407980,213
1598407981,213
1598407982,213
1598407983,213
1598407984,213
1598407985,213
1598407986,213
1598407987,213
1598407988,236
1598407989,236
1598407990,236
1598407991,236
1598407992,236
1598407993,236
1598407994,236
1598407995,236
1598407996,236
1598407997,236
1598407998,264
1598407999,264
1598408000,264
1598408001,264
1598408002,264
1598408003,264
1598408004,264
1598408005,264
1598408006,264
1598408007,264
1598408008,274
1598408009,274
1598408010,274
1598408011,274
1598408012,274
1598408013,274
1598408014,274
1598408015,274
1598408016,274
1598408017,274
1598408018,274
1598408019,274
1598408020,274
1598408021,274
1598408022,274
1598408023,274
1598408024,274
1598408025,274
1598408026,274
1598408027,274
1598408028,285
1598408029,285
1598408030,285
1598408031,285
1598408032,285
1598408033,285
1598408034,285
1598408035,285
1598408036,285
1598408037,285
1598408038,294
1598408039,294
1598408040,294
1598408041,294
1598408042,294
1598408043,294
1598408044,294
1598408045,294
1598408046,294
1598408047,294
1598408048,305
1598408049,305
1598408050,305
1598408051,305
1598408052,305
1598408053,305
1598408054,305
1598408055,305
1598408056,305
1598408057,305
1598408058,312
1598408059,312
1598408060,312
1598408061,312
1598408062,312
1598408064,312
1598408064,312
1598408065,312
1598408066,312
1598408067,312
1598408068,316
1598408069,316
1598408070,316
1598408071,316
1598408072,316
1598408073,316
1598408074,316
1598408075,316
1598408076,316
1598408077,316
1598408078,319
1598408079,319
1598408080,319
1598408081,319
1598408082,319
1598408083,319
1598408084,319
1598408085,319
1598408086,319
1598408087,319
1598408088,324
1598408089,324
1598408090,324
1598408091,324
1598408092,324
1598408093,324
1598408094,324
1598408095,324
1598408096,324
1598408097,324
1598408098,329
1598408099,329
1598408100,329
1598408101,329
1598408102,329
1598408103,329
1598408104,329
1598408105,329
1598408106,329
1598408107,329
1598408108,334
1598408109,334
1598408110,334
1598408111,334
1598408112,334
1598408113,334
1598408114,334
1598408115,334
1598408116,334
1598408117,334
1598408118,339
1598408119,339
1598408120,339
1598408121,339
1598408122,339
1598408123,339
1598408124,339
1598408125,339
1598408126,339
1598408127,339
1598408128,344
1598408129,344
1598408130,344
1598408131,344
1598408132,344
1598408133,344
1598408134,344
1598408135,344
1598408136,344
1598408137,344
1598408138,348
1598408139,348
1598408140,348
1598408141,348
1598408142,348
1598408143,348
1598408144,348
1598408145,348
1598408146,348
1598408147,348
1598408148,350
1598408149,350
1598408150,350
1598408151,350
1598408152,350
1598408153,350
1598408154,350
1598408155,350
1598408156,350
1598408157,350
1598408158,352
1598408159,352
1598408160,352
1598408161,352
1598408162,352
1598408163,352
1598408164,352
1598408165,352
1598408166,352
1598408167,352
1598408168,355
1598408169,355
1598408170,355
1598408171,355
1598408172,355
1598408173,355
1598408174,355
1598408175,355
1598408176,355
1598408177,355
1598408178,357
1598408179,357
1598408180,357
1598408181,357
1598408182,357
1598408183,357
1598408184,357
1598408185,357
1598408186,357
1598408187,357
1598408188,359
1598408189,359
1598408190,359
1598408191,359
1598408192,359
1598408193,359
1598408194,359
1598408195,359
1598408196,359
1598408197,359
1598408198,359
1598408199,359
1598408200,359
1598408201,359
1598408202,359
1598408203,359
1598408204,359
1598408205,359
1598408206,359
1598408207,359
1598408208,361
1598408209,361
1598408212,361
1598408212,361
1598408212,361
1598408213,361
1598408214,361
1598408215,361
1598408216,361
1598408217,361
1598408218,368
1598408219,368
1598408220,368
1598408221,368
1598408222,368
1598408223,368
1598408224,368
1598408225,368
