t,value
1598407780,5990000000
1598407781,6720000000
1598407782,8230000000
1598407783,8800000000
1598407784,8930000000
1598407785,10160000000
1598407786,12870000000
1598407787,13870000000
1598407788,16700000000
1598407789,19180000000
1598407790,19410000000
1598407791,19530000000
1598407792,19610000000
1598407793,19680000000
1598407794,20150000000
1598407795,23460000000
1598407796,25640000000
1598407797,27260000000
1598407798,29250000000
1598407799,30020000000
1598407800,31380000000
1598407801,32350000000
1598407802,33390000000
1598407803,34310000000
1598407804,35030000000
1598407805,35590000000
1598407806,36370000000
1598407807,37650000000
1598407808,37910000000
1598407809,38350000000
1598407810,39170000000
1598407811,40470000000
1598407812,41490000000
1598407813,42580000000
1598407814,43480000000
1598407815,44230000000
1598407816,44680000000
1598407817,45110000000
1598407818,46230000000
1598407819,47140000000
1598407820,48400000000
1598407821,49090000000
1598407822,50260000000
1598407823,51340000000
1598407824,51610000000
1598407825,52090000000
1598407826,53090000000
1598407827,54490000000
1598407828,56230000000
1598407829,57160000000
1598407830,57640000000
1598407831,58250000000
1598407832,59270000000
1598407833,60270000000
1598407834,60970000000
1598407835,62110000000
1598407836,63240000000
1598407837,64150000000
1598407838,65250000000
1598407839,66310000000
1598407840,66680000000
1598407841,66690000000
1598407842,68820000000
1598407843,73820000000
1598407844,76270000000
1598407845,78350000000
1598407846,80420000000
1598407847,82420000000
1598407848,84580000000
1598407849,86510000000
1598407850,88600000000
1598407851,90620000000
1598407852,92650000000
1598407853,94690000000
1598407854,96690000000
1598407855,98690000000
1598407856,100710000000
1598407857,102800000000
1598407858,104900000000
1598407859,106870000000
1598407860,108890000000
1598407861,111150000000
1598407862,113100000000
1598407863,115370000000
1598407864,117380000000
1598407865,119380000000
1598407866,121410000000
1598407867,123430000000
1598407868,125460000000
1598407869,127420000000
1598407870,129440000000
1598407871,131550000000
1598407872,133500000000
1598407873,135570000000
1598407874,137640000000
1598407875,139670000000
1598407876,141710000000
1598407877,143810000000
1598407878,145870000000
1598407879,147850000000
1598407880,149870000000
1598407881,151870000000
1598407882,153900000000
1598407883,156030000000
1598407884,157940000000
1598407885,159960000000
1598407886,161980000000
1598407887,163960000000
1598407888,165970000000
1598407889,167960000000
1598407890,169980000000
1598407891,171990000000
1598407892,173970000000
1598407893,176010000000
1598407894,178010000000
1598407895,180030000000
1598407896,182050000000
1598407897,184060000000
1598407898,186080000000
1598407899,188070000000
1598407900,190100000000
1598407901,192120000000
1598407902,194130000000
1598407903,196220000000
1598407904,198190000000
1598407905,200210000000
1598407906,202490000000
1598407907,204500000000
1598407908,206560000000
1598407909,208630000000
1598407910,210670000000
1598407911,212650000000
1598407912,214680000000
1598407913,216730000000
1598407914,218710000000
1598407915,220750000000
1598407916,222770000000
1598407917,224810000000
1598407918,226870000000
1598407919,228960000000
1598407920,230980000000
1598407921,233010000000
1598407922,235040000000
1598407923,237050000000
1598407924,239080000000
1598407925,241050000000
1598407926,243080000000
1598407927,245020000000
1598407928,247030000000
1598407929,249050000000
1598407930,251080000000
1598407931,253110000000
1598407932,255170000000
1598407933,257190000000
1598407934,259220000000
1598407935,261250000000
1598407936,263280000000
1598407937,265410000000
1598407938,267350000000
1598407939,269380000000
1598407940,271410000000
1598407941,273440000000
1598407942,275520000000
1598407943,277490000000
1598407944,279470000000
1598407945,281500000000
1598407946,283510000000
1598407947,285570000000
1598407948,287610000000
1598407949,289610000000
1598407950,291650000000
1598407951,293700000000
1598407952,295810000000
1598407953,297810000000
1598407954,299840000000
1598407955,301900000000
1598407956,303930000000
1598407957,306060000000
1598407958,308050000000
1598407959,310090000000
1598407960,312120000000
1598407961,314140000000
1598407962,316210000000
1598407963,318200000000
1598407964,320230000000
1598407965,322220000000
1598407966,324240000000
1598407967,326310000000
1598407968,328300000000
1598407969,330340000000
1598407970,332360000000
1598407971,334390000000
1598407972,336440000000
1598407973,338520000000
1598407974,340540000000
1598407975,342550000000
1598407976,344580000000
1598407977,346650000000
1598407978,348650000000
1598407979,350680000000
1598407980,352710000000
1598407981,354700000000
1598407982,356760000000
1598407983,358770000000
1598407984,360790000000
1598407985,362840000000
1598407986,364860000000
1598407987,366900000000
1598407988,368920000000
1598407989,370930000000
1598407990,372950000000
1598407991,374990000000
1598407992,377060000000
1598407993,379060000000
1598407994,381100000000
1598407995,383140000000
1598407996,385180000000
1598407997,387210000000
1598407998,389220000000
1598407999,390890000000
1598408000,391910000000
1598408001,392930000000
1598408002,393970000000
1598408003,394980000000
1598408004,396000000000
1598408005,396890000000
1598408006,396890000000
1598408007,396890000000
1598408008,396900000000
1598408009,396920000000
1598408010,396920000000
1598408011,396930000000
1598408012,396940000000
1598408013,396950000000
1598408014,396960000000
1598408015,396960000000
1598408016,396970000000
1598408017,396970000000
1598408018,396990000000
1598408019,396990000000
1598408020,397000000000
1598408021,397010000000
1598408022,397040000000
1598408023,397050000000
1598408024,399150000000
1598408025,402880000000
1598408026,404070000000
1598408027,405830000000
1598408028,408620000000
1598408029,410320000000
1598408030,411520000000
1598408031,412310000000
1598408032,413100000000
1598408033,414490000000
1598408034,416380000000
1598408035,418020000000
1598408036,419690000000
1598408037,421600000000
1598408038,423140000000
1598408039,424980000000
1598408040,427160000000
1598408041,429460000000
1598408042,431090000000
1598408043,432730000000
1598408044,434720000000
1598408045,436600000000
1598408046,438540000000
1598408047,440050000000
1598408048,441820000000
1598408049,443490000000
1598408050,444860000000
1598408051,446310000000
1598408052,447870000000
1598408053,448810000000
1598408054,450180000000
1598408055,451450000000
1598408056,453510000000
1598408057,454980000000
1598408058,456610000000
1598408059,457450000000
1598408060,458480000000
1598408061,459020000000
1598408062,463430000000
1598408064,474610000000
1598408064,474680000000
1598408065,477060000000
1598408066,479660000000
1598408067,482640000000
1598408068,484710000000
1598408069,485150000000
1598408070,485170000000
1598408071,487900000000
1598408072,490200000000
1598408073,492440000000
1598408074,496560000000
1598408075,497570000000
1598408076,498280000000
1598408077,500410000000
1598408078,502680000000
1598408079,504740000000
1598408080,506850000000
1598408081,508860000000
1598408082,510910000000
1598408083,512900000000
1598408084,514920000000
1598408085,516930000000
1598408086,518950000000
1598408087,520990000000
1598408088,522990000000
1598408089,525000000000
1598408090,527010000000
1598408091,529040000000
1598408092,531070000000
1598408093,533070000000
1598408094,535070000000
1598408095,537090000000
1598408096,539100000000
1598408097,541150000000
1598408098,543130000000
1598408099,545150000000
1598408100,547160000000
1598408101,549190000000
1598408102,551230000000
1598408103,553230000000
1598408104,555230000000
1598408105,557260000000
1598408106,559260000000
1598408107,561310000000
1598408108,563300000000
1598408109,565320000000
1598408110,567330000000
1598408111,569350000000
1598408112,571400000000
1598408113,573380000000
1598408114,575380000000
1598408115,577410000000
1598408116,579410000000
1598408117,581460000000
1598408118,583450000000
1598408119,585470000000
1598408120,587480000000
1598408121,589510000000
1598408122,591550000000
1598408123,593500000000
1598408124,595510000000
1598408125,597530000000
1598408126,599640000000
1598408127,601680000000
1598408128,603670000000
1598408129,605740000000
1598408130,607740000000
1598408131,609770000000
1598408132,611820000000
1598408133,613050000000
1598408134,614080000000
1598408135,615090000000
1598408136,616090000000
1598408137,617120000000
1598408138,618140000000
1598408139,619170000000
1598408140,620170000000
1598408141,621180000000
1598408142,622220000000
1598408143,623210000000
1598408144,624210000000
1598408145,625230000000
1598408146,626250000000
1598408147,627270000000
1598408148,628270000000
1598408149,629270000000
1598408150,630300000000
1598408151,631310000000
1598408152,632330000000
1598408153,633320000000
1598408154,634310000000
1598408155,635320000000
1598408156,636330000000
1598408157,637350000000
1598408158,638370000000
1598408159,639370000000
1598408160,640380000000
1598408161,641390000000
1598408162,642420000000
1598408163,643420000000
1598408164,644430000000
1598408165,645440000000
1598408166,646470000000
1598408167,647490000000
1598408168,648480000000
1598408169,649490000000
1598408170,650520000000
1598408171,651520000000
1598408172,652540000000
1598408173,653530000000
1598408174,654570000000
1598408175,655570000000
1598408176,656580000000
1598408177,657600000000
1598408178,658610000000
1598408179,659620000000
1598408180,660620000000
1598408181,661630000000
1598408182,662650000000
1598408183,663520000000
1598408184,663520000000
1598408185,663530000000
1598408186,663540000000
1598408187,663540000000
1598408188,663560000000
1598408189,663560000000
1598408190,663560000000
1598408191,663580000000
1598408192,663580000000
1598408193,663590000000
1598408194,663600000000
1598408195,664300000000
1598408196,664310000000
1598408197,664310000000
1598408198,664320000000
1598408199,664330000000
1598408200,664330000000
1598408201,664340000000
1598408202,664350000000
1598408203,664360000000
1598408204,666360000000
1598408205,668800000000
1598408206,672010000000
1598408207,675620000000
1598408208,679080000000
1598408209,682130000000
1598408212,701680000000
1598408212,701690000000
1598408212,701700000000
1598408213,703800000000
1598408214,707290000000
1598408215,708210000000
1598408216,708690000000
1598408217,712540000000
1598408218,712550000000
1598408219,712660000000
1598408220,714920000000
1598408221,715950000000
1598408222,717320000000
1598408223,720260000000
1598408224,723100000000
1598408225,723200000000
