t,value
1598407780,0
1598407781,0
1598407782,0
1598407783,0
1598407784,0
1598407785,0
1598407786,0
1598407787,0
1598407788,0
1598407789,0
1598407790,0
1598407791,0
1598407792,0
1598407793,0
1598407794,0
1598407795,0
1598407796,0
1598407797,196608
1598407798,19398656
1598407799,43881159
1598407800,90411719
1598407801,143421085
1598407802,176967968
1598407803,205738272
1598407804,238496483
1598407805,258389383
1598407806,304762201
1598407807,362952414
1598407808,375142110
1598407809,398079710
1598407810,436716435
1598407811,503414788
1598407812,552466332
1598407813,621302292
1598407814,670053082
1598407815,699066647
1598407816,718006551
1598407817,733190009
1598407818,802177200
1598407819,852146061
1598407820,902788619
1598407821,937427328
1598407822,975032521
1598407823,1032134166
1598407824,1046617622
1598407825,1075425535
1598407826,1125949838
1598407827,1210095964
1598407828,1306382060
1598407829,1366364926
1598407830,1392786168
1598407831,1425493596
1598407832,1472159283
1598407833,1531091325
1598407834,1565760742
1598407835,1625070572
1598407836,1680970608
1598407837,1733559959
1598407838,1779444601
1598407839,1846683154
1598407840,1870875022
1598407841,1870875022
1598407842,1871006094
1598407843,1877232014
1598407844,1889094030
1598407845,1902397838
1598407846,1915963790
1598407847,1930742564
1598407848,1944636196
1598407849,1958706814
1598407850,1973911166
1598407851,1989246590
1598407852,2002902742
1598407853,2016317493
1598407854,2029883445
1598407855,2042859573
1598407856,2056622133
1598407857,2068702635
1598407858,2080866554
1598407859,2093056250
1598407860,2105966842
1598407861,2119205114
1598407862,2130199903
1598407863,2141275487
1598407864,2153479617
1598407865,2166455745
1598407866,2179169729
1598407867,2191752641
1598407868,2203138721
1598407869,2216518833
1598407870,2232902833
1598407871,2247058609
1598407872,2261157865
1598407873,2273788029
1598407874,2286239869
1598407875,2298429565
1598407876,2310684797
1598407877,2321387336
1598407878,2333511496
1598407879,2345963336
1598407880,2357638168
1598407881,2370352152
1598407882,2380130982
1598407883,2391468710
1598407884,2400774822
1598407885,2410605222
1598407886,2420239014
1598407887,2430537115
1598407888,2441297707
1598407889,2452766507
1598407890,2464890667
1598407891,2476293931
1598407892,2487574320
1598407893,2498518832
1598407894,2508397277
1598407895,2518489821
1598407896,2528320221
1598407897,2538281693
1598407898,2548066717
1598407899,2558880157
1598407900,2570873245
1598407901,2581472484
1598407902,2591761636
1598407903,2602725019
1598407904,2610589339
1598407905,2618977947
1598407906,2627301019
1598407907,2635427483
1598407908,2643553947
1598407909,2652054744
1598407910,2660836568
1598407911,2668190918
1598407912,2676448454
1598407913,2685099206
1598407914,2692897990
1598407915,2701483206
1598407916,2710133958
1598407917,2717679332
1598407918,2727247588
1598407919,2735499091
1598407920,2744215379
1598407921,2752603987
1598407922,2761254739
1598407923,2768791379
1598407924,2776590163
1598407925,2783872788
1598407926,2792458004
1598407927,2800119070
1598407928,2808638750
1598407929,2818993438
1598407930,2827644190
1598407931,2836360478
1598407932,2844887937
1598407933,2853211009
1598407934,2862378334
1598407935,2872143198
1598407936,2881252702
1598407937,2890427742
1598407938,2898554206
1598407939,2907887875
1598407940,2918570243
1598407941,2929449219
1598407942,2939031189
1598407943,2949648021
1598407944,2960028811
1598407945,2969465995
1598407946,2978575499
1598407947,2988078219
1598407948,2997253259
1598407949,3004869015
1598407950,3013257623
1598407951,3021605951
1598407952,3029142591
1598407953,3037137983
1598407954,3045264447
1598407955,3052407871
1598407956,3060272191
1598407957,3068280213
1598407958,3075882389
1598407959,3084205461
1598407960,3091950896
1598407961,3099815216
1598407962,3108007216
1598407963,3115740464
1598407964,3123866928
1598407965,3131538625
1598407966,3139468481
1598407967,3146874049
1598407968,3154738369
1598407969,3163597583
1598407970,3172903695
1598407971,3182275343
1598407972,3192040207
1598407973,3199973440
1598407974,3208362048
1598407975,3217679397
1598407976,3225609253
1598407977,3233997861
1598407978,3242779685
1598407979,3251299365
1598407980,3259491365
1598407981,3266899726
1598407982,3274305294
1598407983,3281246283
1598407984,3289372747
1598407985,3297237067
1598407986,3305101387
1598407987,3312506955
1598407988,3319978059
1598407989,3327393684
1598407990,3335454612
1598407991,3343646612
1598407992,3351828192
1598407993,3360085728
1598407994,3369064160
1598407995,3377911520
1598407996,3387152096
1598407997,3394762415
1598407998,3403216559
1598407999,3408775991
1598408000,3412380471
1598408001,3416247095
1598408002,3419982647
1598408003,3423980343
1598408004,3428305719
1598408005,3431782640
1598408006,3431782640
1598408007,3431782640
1598408008,3431782640
1598408009,3431782640
1598408010,3431782640
1598408011,3431782640
1598408012,3431782640
1598408013,3431782640
1598408014,3431782640
1598408015,3431782640
1598408016,3431782640
1598408017,3431782640
1598408018,3431782640
1598408019,3431782640
1598408020,3431782640
1598408021,3431782640
1598408022,3431782640
1598408023,3431782640
1598408024,3431979248
1598408025,3475364080
1598408026,3510925352
1598408027,3574466684
1598408028,3629813253
1598408029,3690251879
1598408030,3729584247
1598408031,3748467615
1598408032,3772453791
1598408033,3815582391
1598408034,3865932479
1598408035,3928174533
1598408036,3988983595
1598408037,4031114011
1598408038,4083938900
1598408039,4149432524
1598408040,4226057738
1598408041,4306515638
1598408042,4366783137
1598408043,4412783681
1598408044,4471739281
1598408045,4536462580
1598408046,4589060903
1598408047,4644035807
1598408048,4691252817
1598408049,4746254368
1598408050,4781185056
1598408051,4824534146
1598408052,4875398318
1598408053,4897090734
1598408054,4939313347
1598408055,4983096981
1598408056,5034057959
1598408057,5078450063
1598408058,5118908848
1598408059,5147825611
1598408060,5185327357
1598408061,5185327357
1598408062,5185327357
1598408064,5185327357
1598408064,5185327357
1598408065,5185327357
1598408066,5185327357
1598408067,5185327357
1598408068,5185327357
1598408069,5185327357
1598408070,5185327357
1598408071,5185327357
1598408072,5185327357
1598408073,5185327357
1598408074,5185327357
1598408075,5185327357
1598408076,5185327357
1598408077,5186310397
1598408078,5187883261
1598408079,5189325053
1598408080,5190766845
1598408081,5192339709
1598408082,5193650429
1598408083,5195157757
1598408084,5196665085
1598408085,5198172413
1598408086,5199745277
1598408087,5201252605
1598408088,5202628861
1598408089,5204136189
1598408090,5205709053
1598408091,5207281917
1598408092,5208920317
1598408093,5210296573
1598408094,5211803901
1598408095,5213245693
1598408096,5214818557
1598408097,5216325885
1598408098,5217898749
1598408099,5219406077
1598408100,5220913405
1598408101,5222420733
1598408102,5223993597
1598408103,5225435389
1598408104,5226942717
1598408105,5228450045
1598408106,5229957373
1598408107,5231464701
1598408108,5232972029
1598408109,5234479357
1598408110,5236052221
1598408111,5237559549
1598408112,5239066877
1598408113,5240574205
1598408114,5242147069
1598408115,5243654397
1598408116,5245227261
1598408117,5246800125
1598408118,5248307453
1598408119,5249814781
1598408120,5251387645
1598408121,5252829437
1598408122,5254402301
1598408123,5255887893
