t,value
1598407780,439353344
1598407781,439353344
1598407782,439353344
1598407783,439353344
1598407784,439353344
1598407785,439353344
1598407786,439353344
1598407787,439353344
1598407788,439353344
1598407789,439353344
1598407790,439353344
1598407791,439353344
1598407792,439353344
1598407793,439353344
1598407794,439353344
1598407795,439353344
1598407796,439353344
1598407797,439353344
1598407798,439353344
1598407799,439353344
1598407800,439353344
1598407801,439353344
1598407802,439353344
1598407803,439353344
1598407804,439353344
1598407805,439353344
1598407806,439353344
1598407807,439353344
1598407808,439353344
1598407809,439353344
1598407810,439353344
1598407811,439353344
1598407812,439353344
1598407813,439353344
1598407814,439353344
1598407815,439353344
1598407816,439353344
1598407817,439353344
1598407818,439353344
1598407819,439353344
1598407820,439353344
1598407821,439353344
1598407822,439353344
1598407823,439353344
1598407824,439353344
1598407825,439353344
1598407826,439353344
1598407827,439353344
1598407828,439353344
1598407829,439353344
1598407830,439353344
1598407831,439353344
1598407832,439353344
1598407833,439353344
1598407834,439353344
1598407835,439353344
1598407836,439353344
1598407837,439353344
1598407838,439353344
1598407839,439353344
1598407840,439353344
1598407841,439353344
1598407842,439353344
1598407843,439353344
1598407844,439353344
1598407845,439353344
1598407846,439353344
1598407847,439353344
1598407848,439353344
1598407849,439353344
1598407850,439353344
1598407851,439353344
1598407852,439353344
1598407853,439353344
1598407854,439353344
1598407855,439353344
1598407856,439353344
1598407857,439353344
1598407858,439353344
1598407859,439353344
1598407860,439353344
1598407861,439353344
1598407862,439353344
1598407863,439353344
1598407864,439353344
1598407865,439353344
1598407866,439353344
1598407867,439353344
1598407868,439353344
1598407869,439353344
1598407870,439353344
1598407871,439353344
1598407872,439353344
1598407873,439353344
1598407874,439353344
1598407875,439353344
1598407876,439353344
1598407877,439353344
1598407878,439353344
1598407879,439353344
1598407880,439353344
1598407881,439353344
1598407882,439353344
1598407883,439353344
1598407884,439353344
1598407885,439353344
1598407886,439353344
1598407887,439353344
1598407888,439353344
1598407889,439353344
1598407890,439353344
1598407891,439353344
1598407892,439353344
1598407893,439353344
1598407894,439353344
1598407895,439353344
1598407896,439353344
1598407897,439353344
1598407898,439353344
1598407899,439353344
1598407900,439353344
1598407901,439353344
1598407902,439353344
1598407903,439353344
1598407904,439353344
1598407905,439353344
1598407906,439353344
1598407907,439353344
1598407908,439353344
1598407909,439353344
1598407910,439353344
1598407911,439353344
1598407912,439353344
1598407913,439353344
1598407914,439353344
1598407915,439353344
1598407916,439353344
1598407917,439353344
1598407918,439353344
1598407919,439353344
1598407920,439353344
1598407921,439353344
1598407922,439353344
1598407923,439353344
1598407924,439353344
1598407925,439353344
1598407926,439353344
1598407927,439353344
1598407928,439353344
1598407929,439353344
1598407930,439353344
1598407931,439353344
1598407932,439353344
1598407933,439353344
1598407934,439353344
1598407935,439353344
1598407936,439353344
1598407937,439353344
1598407938,439353344
1598407939,439353344
1598407940,439353344
1598407941,439353344
1598407942,439353344
1598407943,439353344
1598407944,439353344
1598407945,439353344
1598407946,439353344
1598407947,439353344
1598407948,439353344
1598407949,439353344
1598407950,439353344
1598407951,439353344
1598407952,439353344
1598407953,439353344
1598407954,439353344
1598407955,439353344
1598407956,439353344
1598407957,439353344
1598407958,439353344
1598407959,439353344
1598407960,439353344
1598407961,439353344
1598407962,439353344
1598407963,439353344
1598407964,439353344
1598407965,439353344
1598407966,439353344
1598407967,439353344
1598407968,439353344
1598407969,439353344
1598407970,439353344
1598407971,439353344
1598407972,439353344
1598407973,439353344
1598407974,439353344
1598407975,439353344
1598407976,439353344
1598407977,439353344
1598407978,439353344
1598407979,439353344
1598407980,439353344
1598407981,439353344
1598407982,439353344
1598407983,439353344
1598407984,439353344
1598407985,439353344
1598407986,439353344
1598407987,439353344
1598407988,439353344
1598407989,439353344
1598407990,439353344
1598407991,439353344
1598407992,439353344
1598407993,439353344
1598407994,439353344
1598407995,439353344
1598407996,439353344
1598407997,439353344
1598407998,439353344
1598407999,439353344
1598408000,439353344
1598408001,439353344
1598408002,439353344
1598408003,439353344
1598408004,439353344
1598408005,439353344
1598408006,439353344
1598408007,439353344
1598408008,439353344
1598408009,439353344
1598408010,439353344
1598408011,439353344
1598408012,439353344
1598408013,439353344
1598408014,439353344
1598408015,439353344
1598408016,439353344
1598408017,439353344
1598408018,439353344
1598408019,439353344
1598408020,439353344
1598408021,439353344
1598408022,439353344
1598408023,439353344
1598408024,439353344
1598408025,439353344
1598408026,439353344
1598408027,439353344
1598408028,439353344
1598408029,439353344
1598408030,439353344
1598408031,439353344
1598408032,439353344
1598408033,439353344
1598408034,439353344
1598408035,439353344
1598408036,439353344
1598408037,439353344
1598408038,439353344
1598408039,439353344
1598408040,439353344
1598408041,439353344
1598408042,439353344
1598408043,439353344
1598408044,439353344
1598408045,439353344
1598408046,439353344
1598408047,439353344
1598408048,439353344
1598408049,439353344
1598408050,439353344
1598408051,439353344
1598408052,439353344
1598408053,439353344
1598408054,439353344
1598408055,439353344
1598408056,439353344
1598408057,439353344
1598408058,439353344
1598408059,439353344
1598408060,439353344
1598408061,439353344
1598408062,439353344
1598408064,439353344
1598408064,439353344
1598408065,439353344
1598408066,439353344
1598408067,439353344
1598408068,439353344
1598408069,439353344
1598408070,439353344
1598408071,439353344
1598408072,439353344
1598408073,439353344
1598408074,439353344
1598408075,439353344
1598408076,439353344
1598408077,439353344
1598408078,439353344
1598408079,439353344
1598408080,439353344
1598408081,439353344
1598408082,439353344
1598408083,439353344
1598408084,439353344
