t,value
1598407780,0
1598407781,0
1598407782,0
1598407783,11674376
1598407784,11674376
1598407785,0
1598407786,7194656
1598407787,7194656
1598407788,16803824
1598407789,12783936
1598407790,12783936
1598407791,12783936
1598407792,12783936
1598407793,12783936
1598407794,12783936
1598407795,0
1598407796,0
1598407797,0
1598407798,19890920
1598407799,19890920
1598407800,8028592
1598407801,8028592
1598407802,7740704
1598407803,7740704
1598407804,7903152
1598407805,7903152
1598407806,7903152
1598407807,8110936
1598407808,8110936
1598407809,8110936
1598407810,8206160
1598407811,8206160
1598407812,8221616
1598407813,8221616
1598407814,8234544
1598407815,8234544
1598407816,8234544
1598407817,8234544
1598407818,7953296
1598407819,7953296
1598407820,8177432
1598407821,8177432
1598407822,8177432
1598407823,8094504
1598407824,8094504
1598407825,8094504
1598407826,8094504
1598407827,8236080
1598407828,7929152
1598407829,7929152
1598407830,7929152
1598407831,7929152
1598407832,8229832
1598407833,8229832
1598407834,8229832
1598407835,8227552
1598407836,8227552
1598407837,8227552
1598407838,1719136
1598407839,1719136
1598407840,1719136
1598407841,1719136
1598407842,1719136
1598407843,8097232
1598407844,8097232
1598407845,1781728
1598407846,1781728
1598407847,1914896
1598407848,1906808
1598407849,1906808
1598407850,1839040
1598407851,1839040
1598407852,1717304
1598407853,1717304
1598407854,1727448
1598407855,1727448
1598407856,1851392
1598407857,1851392
1598407858,1879400
1598407859,1879400
1598407860,2041328
1598407861,2041328
1598407862,1910544
1598407863,1910544
1598407864,1831632
1598407865,1831632
1598407866,1797408
1598407867,1860920
1598407868,1860920
1598407869,1860920
1598407870,1715992
1598407871,1101688
1598407872,1101688
1598407873,1056688
1598407874,1056688
1598407875,915648
1598407876,818288
1598407877,818288
1598407878,985264
1598407879,985264
1598407880,1011096
1598407881,1011096
1598407882,981568
1598407883,793816
1598407884,793816
1598407885,996544
1598407886,953536
1598407887,817176
1598407888,817176
1598407889,934848
1598407890,916808
1598407891,869312
1598407892,934848
1598407893,931720
1598407894,932864
1598407895,1034368
1598407896,1005432
1598407897,1005432
1598407898,931360
1598407899,842616
1598407900,828984
1598407901,813632
1598407902,845544
1598407903,825248
1598407904,609744
1598407905,687984
1598407906,569808
1598407907,524320
1598407908,524320
1598407909,589872
1598407910,575536
1598407911,772096
1598407912,771264
1598407913,764896
1598407914,909616
1598407915,788544
1598407916,724064
1598407917,656304
1598407918,690416
1598407919,595504
1598407920,491072
1598407921,438096
1598407922,498584
1598407923,541864
1598407924,494896
1598407925,642984
1598407926,489480
1598407927,645056
1598407928,503072
1598407929,513968
1598407930,579504
1598407931,513968
1598407932,360464
1598407933,710000
1598407934,546784
1598407935,521312
1598407936,518288
1598407937,521312
1598407938,518288
1598407939,545888
1598407940,636096
1598407941,508256
1598407942,540784
1598407943,478512
1598407944,606320
1598407945,496072
1598407946,554896
1598407947,645352
1598407948,519920
1598407949,650992
1598407950,468944
1598407951,468944
1598407952,491568
1598407953,476512
1598407954,524336
1598407955,491568
1598407956,393248
1598407957,410960
1598407958,623904
1598407959,492816
1598407960,629216
1598407961,500304
1598407962,520144
1598407963,486312
1598407964,326864
1598407965,447008
1598407966,426000
1598407967,393232
1598407968,426000
1598407969,552960
1598407970,488224
1598407971,426000
1598407972,393232
1598407973,547968
1598407974,518512
1598407975,557104
1598407976,556448
1598407977,589216
1598407978,523664
1598407979,523008
1598407980,479888
1598407981,682032
1598407982,491552
1598407983,589872
1598407984,491552
1598407985,491552
1598407986,458784
1598407987,360464
1598407988,360464
1598407989,458784
1598407990,327696
1598407991,393232
1598407992,491552
1598407993,418208
1598407994,524320
1598407995,327696
1598407996,593408
1598407997,496160
1598407998,682608
1598407999,395792
1598408000,528912
1598408001,496144
1598408002,427504
1598408003,561152
1598408004,495616
1598408005,327680
1598408006,327680
1598408007,327680
1598408008,327680
1598408009,327680
1598408010,327680
1598408011,327680
1598408012,327680
1598408013,327680
1598408014,327680
1598408015,327680
1598408016,327680
1598408017,327680
1598408018,327680
1598408019,327680
1598408020,327680
1598408021,327680
1598408022,1048576
1598408023,1048576
1598408024,1048576
1598408025,5763912
1598408026,4351840
1598408027,3123032
1598408028,10837312
1598408029,4192864
1598408030,4192864
1598408031,9914648
1598408032,9914648
1598408033,17949416
1598408034,25680944
1598408035,25901472
1598408036,12152752
1598408037,11403312
1598408038,24203816
1598408039,12626000
1598408040,13337728
1598408041,11591632
1598408042,11231344
1598408043,20422928
1598408044,19194144
1598408045,12189760
1598408046,28502744
1598408047,28502744
1598408048,15432544
1598408049,20405600
1598408050,20483184
1598408051,13729840
1598408052,13729840
1598408053,19676232
1598408054,15106096
1598408055,15106096
1598408056,24385952
1598408057,16762272
1598408058,14319664
1598408059,14319664
1598408060,20876384
1598408061,20876384
1598408062,20876384
1598408064,0
1598408064,0
1598408065,0
1598408066,0
1598408067,30407864
1598408068,30407864
1598408069,30407864
1598408070,30407864
1598408071,30407864
1598408072,89123312
1598408073,89123312
1598408074,42758632
1598408075,42758632
1598408076,42758632
1598408077,42758632
1598408078,16763288
1598408079,16763288
1598408080,393216
1598408081,393216
1598408082,294912
1598408083,294912
1598408084,327680
1598408085,327680
1598408086,294912
1598408087,163840
1598408088,163840
1598408089,262144
1598408090,262144
1598408091,262144
1598408092,262144
1598408093,262144
1598408094,262144
1598408095,262144
1598408096,262144
1598408097,294912
1598408098,294912
1598408099,262144
1598408100,262144
1598408101,360448
1598408102,360448
1598408103,294912
1598408104,294912
1598408105,262144
1598408106,262144
1598408107,294912
1598408108,294912
1598408109,262144
1598408110,262144
1598408111,262144
1598408112,262144
1598408113,294912
1598408114,294912
1598408115,262144
1598408116,262144
1598408117,229376
1598408118,229376
1598408119,294912
1598408120,294912
1598408121,294912
1598408122,294912
1598408123,229376
1598408124,229376
1598408125,458784
1598408126,458784
1598408127,491552
1598408128,491552
1598408129,458784
1598408130,458784
1598408131,491552
1598408132,491552
1598408133,491552
1598408134,458784
1598408135,458784
1598408136,458784
1598408137,458784
1598408138,524320
1598408139,524320
1598408140,524320
1598408141,524320
1598408142,491552
1598408143,491552
1598408144,491552
1598408145,491552
1598408146,458784
1598408147,458784
1598408148,458784
1598408149,458784
1598408150,524320
1598408151,524320
1598408152,524320
1598408153,524320
1598408154,622624
1598408155,622624
1598408156,622624
1598408157,622624
1598408158,524320
1598408159,524320
1598408160,524320
1598408161,524320
1598408162,524320
1598408163,524320
1598408164,524320
1598408165,524320
1598408166,524320
1598408167,524320
1598408168,524320
1598408169,524320
1598408170,491552
1598408171,491552
1598408172,491552
1598408173,491552
1598408174,524320
1598408175,524320
1598408176,524320
1598408177,524320
1598408178,524304
1598408179,524304
1598408180,524304
1598408181,524304
1598408182,524304
1598408183,589840
