t,value
1598407780,524222464
1598407781,526319616
1598407782,526843904
1598407783,527171584
1598407784,527433728
1598407785,713244672
1598407786,762527744
1598407787,764887040
1598407788,773275648
1598407789,846217216
1598407790,846217216
1598407791,846610432
1598407792,846675968
1598407793,846675968
1598407794,848904192
1598407795,998293504
1598407796,1012645888
1598407797,1020379136
1598407798,1158791168
1598407799,1159184384
1598407800,1170849792
1598407801,1170980864
1598407802,1274462208
1598407803,1274724352
1598407804,1274200064
1598407805,1274396672
1598407806,1274462208
1598407807,1369358336
1598407808,1369358336
1598407809,1369358336
1598407810,1381941248
1598407811,1381941248
1598407812,1490731008
1598407813,1490731008
1598407814,1494925312
1598407815,1495056384
1598407816,1495056384
1598407817,1495121920
1598407818,1596833792
1598407819,1596833792
1598407820,1610989568
1598407821,1610989568
1598407822,1610989568
1598407823,1685962752
1598407824,1685962752
1598407825,1685962752
1598407826,1685962752
1598407827,1688584192
1598407828,1767751680
1598407829,1767751680
1598407830,1767751680
1598407831,1767751680
1598407832,1767489536
1598407833,1767489536
1598407834,1767489536
1598407835,1841414144
1598407836,1841414144
1598407837,1841414144
1598407838,1847181312
1598407839,1847181312
1598407840,1847246848
1598407841,1847246848
1598407842,1850195968
1598407843,1937293312
1598407844,1937555456
1598407845,1937096704
1598407846,1937096704
1598407847,2000535552
1598407848,2006302720
1598407849,2006302720
1598407850,2068758528
1598407851,2068758528
1598407852,2071379968
1598407853,2071379968
1598407854,2130624512
1598407855,2130624512
1598407856,2133245952
1598407857,2133377024
1598407858,2143862784
1598407859,2143862784
1598407860,2144911360
1598407861,2145042432
1598407862,2145042432
1598407863,2145107968
1598407864,2146156544
1598407865,2146156544
1598407866,2146156544
1598407867,2147205120
1598407868,2147205120
1598407869,2147205120
1598407870,2087436288
1598407871,2040250368
1598407872,2040250368
1598407873,1995685888
1598407874,1995685888
1598407875,1952169984
1598407876,1911275520
1598407877,1911275520
1598407878,1881391104
1598407879,1881391104
1598407880,1835253760
1598407881,1835253760
1598407882,1807466496
1598407883,1765785600
1598407884,1765785600
1598407885,1733279744
1598407886,1701822464
1598407887,1678229504
1598407888,1678229504
1598407889,1643102208
1598407890,1615839232
1598407891,1589624832
1598407892,1564459008
1598407893,1540341760
1598407894,1521467392
1598407895,1495252992
1598407896,1477427200
1598407897,1477427200
1598407898,1453309952
1598407899,1433911296
1598407900,1397211136
1598407901,1379909632
1598407902,1365753856
1598407903,1346879488
1598407904,1331675136
1598407905,1316995072
1598407906,1289273344
1598407907,1276166144
1598407908,1263583232
1598407909,1251000320
1598407910,1227407360
1598407911,1216397312
1598407912,1205911552
1598407913,1186512896
1598407914,1176027136
1598407915,1157677056
1598407916,1140375552
1598407917,1132511232
1598407918,1117306880
1598407919,1102626816
1598407920,1088471040
1598407921,1104723968
1598407922,1123598336
1598407923,1149812736
1598407924,1133035520
1598407925,1117831168
1598407926,1102626816
1598407927,1096335360
1598407928,1082703872
1598407929,1126744064
1598407930,1119404032
1598407931,1104199680
1598407932,1091092480
1598407933,1078509568
1598407934,1066450944
1598407935,1049149440
1598407936,1038663680
1598407937,1028702208
1598407938,1014546432
1598407939,1006682112
1598407940,1072218112
1598407941,1123598336
1598407942,1144045568
1598407943,1127268352
1598407944,1119928320
1598407945,1104723968
1598407946,1091616768
1598407947,1079033856
1598407948,1060683776
1598407949,1055440896
1598407950,1039187968
1598407951,1029226496
1598407952,1019789312
1598407953,1007206400
1598407954,1019265024
1598407955,1035517952
1598407956,1053868032
1598407957,1072218112
1598407958,1061208064
1598407959,1044955136
1598407960,1034469376
1598407961,1025032192
1598407962,1066450944
1598407963,1085325312
1598407964,1072742400
1598407965,1061208064
1598407966,1050198016
1598407967,1039712256
1598407968,1029750784
1598407969,1016119296
1598407970,1062780928
1598407971,1045479424
1598407972,1034993664
1598407973,1026080768
1598407974,1016119296
1598407975,1004060672
1598407976,996196352
1598407977,1034469376
1598407978,1024507904
1598407979,1042333696
1598407980,1028177920
1598407981,1018740736
1598407982,1010352128
1598407983,997769216
1598407984,1014546432
1598407985,1028702208
1598407986,1046528000
1598407987,1036566528
1598407988,1027129344
1598407989,1012973568
1598407990,1004584960
1598407991,993050624
1598407992,985186304
1598407993,974700544
1598407994,965787648
1598407995,955826176
1598407996,968409088
1598407997,958447616
1598407998,995147776
1598407999,1041809408
1598408000,1036566528
1598408001,1031323648
1598408002,1022410752
1598408003,1017692160
1598408004,1012973568
1598408005,1008779264
1598408006,1008779264
1598408007,1008779264
1598408008,1008779264
1598408009,1008779264
1598408010,1008779264
1598408011,1008779264
1598408012,1008779264
1598408013,1008779264
1598408014,1008779264
1598408015,1008779264
1598408016,1008779264
1598408017,1008779264
1598408018,1008779264
1598408019,1008779264
1598408020,1008779264
1598408021,1008779264
1598408022,1005109248
1598408023,1005109248
1598408024,1013956608
1598408025,1069727744
1598408026,1150074880
1598408027,1330954240
1598408028,1516224512
1598408029,1738063872
1598408030,1738063872
1598408031,1874903040
1598408032,1874903040
1598408033,1966653440
1598408034,1969078272
1598408035,2120138752
1598408036,2123284480
1598408037,2134360064
1598408038,2136981504
1598408039,2140127232
1598408040,2139602944
1598408041,2139602944
1598408042,2137505792
1598408043,2139865088
1598408044,2142486528
1598408045,2123612160
1598408046,2137440256
1598408047,2137440256
1598408048,2140651520
1598408049,2138554368
1598408050,2140192768
1598408051,2140192768
1598408052,2140323840
1598408053,2141372416
1598408054,2141372416
1598408055,2141372416
1598408056,2142748672
1598408057,2143272960
1598408058,2143535104
1598408059,2143600640
1598408060,2144649216
1598408061,2145959936
1598408062,2149433344
1598408064,2807742464
1598408064,2807742464
1598408065,2808397824
1598408066,2808987648
1598408067,2691678208
1598408068,2691809280
1598408069,2692071424
1598408070,2692071424
1598408071,2692530176
1598408072,2751447040
1598408073,2751840256
1598408074,2713829376
1598408075,2713829376
1598408076,2713829376
1598408077,2713829376
1598408078,2733228032
1598408079,2733228032
1598408080,2731655168
1598408081,2731655168
1598408082,2733228032
1598408083,2733228032
1598408084,2730082304
1598408085,2730082304
1598408086,2732703744
1598408087,2730606592
1598408088,2730606592
1598408089,2734276608
1598408090,2734276608
1598408091,2735325184
1598408092,2735325184
1598408093,2738995200
1598408094,2738995200
1598408095,2741616640
1598408096,2741616640
1598408097,2745810944
1598408098,2745810944
1598408099,2750529536
1598408100,2750529536
1598408101,2754199552
1598408102,2754199552
1598408103,2757869568
1598408104,2757869568
1598408105,2761539584
1598408106,2761539584
1598408107,2765733888
1598408108,2765733888
1598408109,2769928192
1598408110,2769928192
1598408111,2774122496
1598408112,2774122496
1598408113,2778316800
1598408114,2778316800
1598408115,2781986816
1598408116,2781986816
1598408117,2786181120
1598408118,2786181120
1598408119,2788278272
1598408120,2788278272
1598408121,2792472576
1598408122,2792472576
1598408123,2795094016
1598408124,2795094016
1598408125,2799288320
1598408126,2799288320
1598408127,2801385472
1598408128,2801385472
1598408129,2805055488
1598408130,2805055488
1598408131,2806104064
1598408132,2806104064
1598408133,2806104064
1598408134,2809774080
1598408135,2809774080
1598408136,2809774080
1598408137,2809774080
1598408138,2811346944
1598408139,2811346944
1598408140,2811346944
1598408141,2811346944
1598408142,2814492672
1598408143,2814492672
1598408144,2814492672
1598408145,2814492672
1598408146,2815016960
1598408147,2815016960
1598408148,2815016960
1598408149,2815016960
1598408150,2818162688
1598408151,2818162688
1598408152,2818162688
1598408153,2818162688
1598408154,2819211264
1598408155,2819211264
1598408156,2819211264
1598408157,2819211264
1598408158,2821832704
1598408159,2821832704
1598408160,2821832704
1598408161,2821832704
1598408162,2822356992
1598408163,2822356992
1598408164,2822356992
1598408165,2822356992
1598408166,2824454144
1598408167,2824454144
1598408168,2824454144
1598408169,2824454144
1598408170,2824978432
1598408171,2824978432
1598408172,2824978432
1598408173,2824978432
1598408174,2827075584
1598408175,2827075584
1598408176,2827075584
1598408177,2827075584
1598408178,2827599872
1598408179,2827599872
1598408180,2827599872
1598408181,2827599872
1598408182,2827599872
1598408183,2829172736
1598408184,2829172736
1598408185,2829172736
1598408186,2829172736
1598408187,2829172736
1598408188,2829172736
1598408189,2829172736
1598408190,2829172736
1598408191,2829172736
1598408192,2829172736
1598408193,2829172736
1598408194,2829172736
1598408195,2829172736
1598408196,2829172736
1598408197,2829172736
1598408198,2829172736
1598408199,2829172736
1598408200,2829172736
1598408201,2829172736
1598408202,2829172736
1598408203,2829172736
1598408204,2829172736
1598408205,2786181120
1598408206,2787885056
1598408207,2811936768
1598408208,2651897856
1598408209,2732310528
1598408212,3402350592
1598408212,3402350592
1598408212,3402350592
1598408213,3399335936
1598408214,3447570432
1598408215,3447570432
1598408216,3447570432
1598408217,3156787200
1598408218,3156787200
1598408219,3156787200
1598408220,3161636864
1598408221,3161767936
1598408222,3293888512
1598408223,2941042688
1598408224,3279732736
1598408225,3279732736
