t,value
1598407777,69992512
1598407778,74442288
1598407779,86173352
1598407780,95948000
1598407781,99608840
1598407782,99801360
1598407783,99999512
1598407784,100125728
1598407785,100611472
1598407786,100727544
1598407787,100840136
1598407788,105853648
1598407789,107780456
1598407790,120991824
1598407791,131506704
1598407792,142228608
1598407793,142526824
1598407794,144346024
1598407795,144449920
1598407796,144542240
1598407797,144573688
1598407798,144407680
1598407799,144403360
1598407800,144650528
1598407801,144882056
1598407802,145073960
1598407803,145190248
1598407804,145268608
1598407805,145473032
1598407806,145620352
1598407807,145864648
1598407808,145720880
1598407809,145284536
1598407810,145367160
1598407811,145443248
1598407812,145521352
1598407813,145590120
1598407814,145654616
1598407815,145430200
1598407816,145486952
1598407817,145489256
1598407818,145555456
1598407819,145592576
1598407820,145717336
1598407821,146068040
1598407822,146171576
1598407823,146304120
1598407824,146404728
1598407825,146432752
1598407826,146482544
1598407827,146883760
1598407828,146953864
1598407829,146999936
1598407830,147016152
1598407831,147044256
1598407832,147097008
1598407833,147159928
1598407834,147215024
1598407835,147285768
1598407836,147294224
1598407837,147304168
1598407838,147335288
1598407839,147364584
1598407840,147369616
1598407841,148534512
1598407842,150111536
1598407843,150137640
1598407844,150138344
1598407845,150140072
1598407846,150180144
1598407847,150182512
1598407848,150115264
1598407849,150169640
1598407850,150168712
1598407851,150181896
1598407852,150180488
1598407853,150151496
1598407854,150140680
1598407855,150094648
1598407856,150156408
1598407857,150165704
1598407858,150194240
1598407859,150232432
1598407860,150266048
1598407861,150271408
1598407862,150299824
1598407863,150339072
1598407864,150340672
1598407865,150345856
1598407866,150354240
1598407867,150363640
1598407868,150235192
1598407869,150087840
1598407870,150087840
1598407871,149912040
1598407872,149970856
1598407873,150013608
1598407874,150054216
1598407875,150063368
1598407876,150069584
1598407877,150069584
1598407878,150074624
1598407879,150104704
1598407880,150136904
1598407881,150146520
1598407882,150154672
1598407883,150168944
1598407884,150168944
1598407885,150146032
1598407886,150210224
1598407887,150211696
1598407888,150177784
1598407889,150174840
1598407890,150137720
1598407891,150137528
1598407892,149994872
1598407893,150010416
1598407894,150023792
1598407895,150062448
1598407896,150084848
1598407897,150112856
1598407898,150135928
1598407899,150165792
1598407900,150183192
1598407901,150208856
1598407902,150213144
1598407903,150177512
1598407904,150161224
1598407905,150126624
1598407906,150135264
1598407907,150135264
1598407908,150151576
1598407909,150193504
1598407910,150235080
1598407911,150247624
1598407912,150280896
1598407913,150316160
1598407914,150330048
1598407915,150333056
1598407916,150333824
1598407917,150333824
1598407918,150346880
1598407919,150350720
1598407920,150379544
1598407921,150437272
1598407922,150527704
1598407923,150527704
1598407924,150530904
1598407925,150535576
1598407926,150536344
1598407927,150528024
1598407928,150528024
1598407929,150514520
1598407930,150514520
1598407931,150516888
1598407932,150516888
1598407933,150383064
1598407934,150391768
1598407935,150391768
1598407936,150397400
1598407937,150421272
1598407938,150430744
1598407939,150430744
1598407940,150437768
1598407941,150438344
1598407942,150444552
1598407943,150474040
1598407944,150474808
1598407945,150573880
1598407946,150575288
1598407947,150580472
1598407948,150584184
1598407949,150588664
1598407950,150594552
1598407951,150594552
1598407952,150595192
1598407953,150595192
1598407954,150595192
1598407955,150595192
1598407956,150595192
1598407957,150591096
1598407958,150603512
1598407959,150603512
1598407960,150600952
1598407961,150600952
1598407962,150600952
1598407963,150598136
1598407964,150616376
1598407965,150553720
1598407966,150510624
1598407967,150511392
1598407968,150511768
1598407969,150549184
1598407970,150549184
1598407971,150563136
1598407972,150563968
1598407973,150567680
1598407974,150568384
1598407975,150572288
1598407976,150572288
1598407977,150572288
1598407978,150576896
1598407979,150579264
1598407980,150579264
1598407981,150579264
1598407982,150591040
1598407983,150591040
1598407984,150592640
1598407985,150593472
1598407986,150593472
1598407987,150600024
1598407988,150600024
1598407989,150607208
1598407990,150607912
1598407991,150607912
1598407992,150610024
1598407993,150610024
1598407994,150610024
1598407995,150610984
1598407996,150613008
1598407997,150626032
1598407998,150626032
1598407999,150628392
1598408000,150646424
1598408001,150646424
1598408002,150646424
1598408003,150641072
1598408004,150647152
1598408005,150647152
1598408006,150653192
1598408007,150694392
1598408008,150701968
1598408009,150707536
1598408010,150710256
1598408011,150710256
1598408012,150710256
1598408013,150752768
1598408014,150752768
1598408015,150757648
1598408016,150757648
1598408017,150757648
1598408018,150760448
1598408019,150763392
1598408020,150770600
1598408021,150770600
1598408022,150773544
1598408023,155964248
1598408024,156112208
1598408025,156130112
1598408026,156316160
1598408027,156395144
1598408028,156263568
1598408029,156310088
1598408030,156323616
1598408031,156445696
1598408032,156628344
1598408033,156823704
1598408034,156895312
1598408035,156945656
1598408036,156968592
1598408037,157022720
1598408038,157045144
1598408039,157144232
1598408040,157158048
1598408041,157190616
1598408042,157208344
1598408043,157218008
1598408044,157229856
1598408045,157156288
1598408046,157258320
1598408047,157327792
1598408048,157379824
1598408049,157414984
1598408050,157421920
1598408051,157426848
1598408052,157431328
1598408053,157436768
1598408054,157471200
1598408055,157485280
1598408056,157524696
1598408057,157530968
1598408058,157535128
1598408059,157497688
1598408060,157499088
1598408061,157524152
1598408062,157865448
1598408063,157928968
1598408064,157931336
1598408065,158322680
1598408066,158625440
1598408067,158675480
1598408068,158674976
1598408069,158573600
1598408070,158642432
1598408071,158749344
1598408072,158749344
1598408073,158899912
1598408074,158920368
1598408075,158920368
1598408076,159192136
1598408077,159192904
1598408078,159193608
1598408079,159193608
1598408080,159193608
1598408081,159193608
1598408082,159240904
1598408083,159242376
1598408084,159242376
1598408085,159242376
1598408086,159246344
1598408087,159246344
1598408088,159246344
1598408089,159246344
1598408090,159246344
1598408091,159246344
1598408092,159246344
1598408093,159246344
1598408094,159246344
1598408095,159256848
1598408096,159256848
1598408097,159256848
1598408098,159257744
1598408099,159257744
1598408100,159257744
1598408101,159257744
1598408102,159257744
1598408103,159257744
1598408104,159258960
1598408105,159258960
1598408106,159259024
1598408107,159206000
1598408108,159095344
1598408109,158990008
1598408110,158854648
1598408111,158856816
1598408112,158856816
1598408113,158856816
1598408114,158711408
1598408115,158711408
1598408116,158711408
1598408117,158711408
1598408118,158711408
1598408119,158711408
1598408120,158711408
1598408121,158711408
1598408122,158723624
1598408123,158764752
1598408124,158764752
1598408125,158764752
1598408126,158769472
1598408127,158765232
1598408128,158778752
1598408129,158778752
1598408130,158782304
1598408131,158782304
1598408132,158791264
1598408133,158792800
1598408134,158792800
1598408135,158794848
1598408136,158797168
1598408137,158824240
1598408138,158836320
1598408139,158836320
1598408140,158836320
1598408141,158836320
1598408142,158836320
1598408143,158836320
1598408144,158839256
1598408145,158841112
1598408146,158870168
1598408147,158870168
1598408148,158880216
1598408149,158880216
1598408150,158880216
1598408151,158880216
1598408152,158880216
1598408153,158885912
1598408154,158898128
1598408155,158898128
1598408156,158898128
1598408157,158898128
1598408158,158902592
1598408159,158902920
1598408160,158764056
1598408161,158758472
1598408162,158758472
1598408163,158759304
1598408164,158759304
1598408165,158759304
1598408166,158780040
1598408167,158786560
1598408168,158786560
1598408169,158786560
1598408170,158786560
1598408171,158786560
1598408172,158786560
1598408173,158786560
1598408174,158786560
1598408175,158786560
1598408176,158786560
1598408177,158786560
1598408178,158786560
1598408179,158787200
1598408180,158787200
1598408181,158787200
1598408182,158787200
1598408183,158787200
1598408184,158787200
1598408185,158787200
1598408186,158787200
1598408187,158788544
1598408188,158788544
1598408189,158788544
1598408190,158792704
1598408191,158792704
1598408192,158792704
1598408193,158792704
1598408194,158793600
1598408195,158793600
1598408196,158793600
1598408197,158800616
1598408198,158800616
1598408199,158800616
1598408200,158800616
1598408201,158800616
1598408202,158800616
1598408203,161184224
1598408204,161248976
1598408205,161390784
1598408206,161416312
1598408207,161416312
1598408208,161421880
1598408209,161477560
1598408210,161581032
1598408211,161611408
1598408212,161611408
1598408213,161635240
1598408214,161765240
1598408215,161798832
1598408216,161819016
1598408217,161852584
1598408218,161854056
1598408219,161868456
1598408220,161965904
1598408221,161973072
1598408222,162012176
1598408223,162175640
1598408224,167851416
1598408225,170483592
