t,value
1598407777,9969600
1598407778,9315072
1598407779,10968320
1598407780,14195456
1598407781,15647360
1598407782,15816448
1598407783,15993920
1598407784,16096896
1598407785,16294464
1598407786,16385536
1598407787,16480000
1598407788,19844416
1598407789,20738112
1598407790,21332480
1598407791,24234880
1598407792,24646720
1598407793,24835392
1598407794,25210048
1598407795,25285120
1598407796,25377024
1598407797,25403968
1598407798,25216320
1598407799,25201472
1598407800,25409792
1598407801,25572288
1598407802,25727360
1598407803,25826432
1598407804,25903296
1598407805,26006144
1598407806,26119616
1598407807,26306496
1598407808,26154240
1598407809,25707072
1598407810,25785344
1598407811,25841600
1598407812,25913984
1598407813,25975232
1598407814,26032640
1598407815,25804288
1598407816,25856000
1598407817,25858304
1598407818,25923584
1598407819,25948416
1598407820,26072512
1598407821,26411456
1598407822,26513792
1598407823,26634176
1598407824,26734784
1598407825,26758656
1598407826,26808384
1598407827,27209984
1598407828,27271360
1598407829,27306496
1598407830,27330112
1598407831,27355328
1598407832,27404352
1598407833,27460736
1598407834,27509632
1598407835,27583744
1598407836,27591104
1598407837,27600640
1598407838,27629760
1598407839,27657856
1598407840,27661440
1598407841,28445312
1598407842,29709888
1598407843,29735616
1598407844,29736320
1598407845,29738048
1598407846,29772160
1598407847,29774528
1598407848,29691136
1598407849,29742912
1598407850,29741888
1598407851,29708096
1598407852,29706496
1598407853,29677504
1598407854,29665152
1598407855,29620352
1598407856,29682112
1598407857,29685376
1598407858,29713536
1598407859,29747008
1598407860,29776128
1598407861,29781184
1598407862,29809600
1598407863,29845440
1598407864,29847040
1598407865,29852224
1598407866,29860608
1598407867,29862400
1598407868,29732096
1598407869,29584384
1598407870,29584384
1598407871,29408192
1598407872,29467008
1598407873,29505728
1598407874,29536768
1598407875,29545920
1598407876,29550656
1598407877,29550656
1598407878,29551488
1598407879,29581568
1598407880,29612992
1598407881,29620672
1598407882,29628096
1598407883,29642368
1598407884,29642368
1598407885,29619456
1598407886,29683648
1598407887,29685120
1598407888,29649088
1598407889,29646144
1598407890,29608512
1598407891,29608320
1598407892,29465664
1598407893,29481920
1598407894,29494208
1598407895,29532864
1598407896,29551360
1598407897,29565824
1598407898,29584320
1598407899,29610560
1598407900,29627328
1598407901,29652992
1598407902,29657280
1598407903,29620864
1598407904,29603712
1598407905,29567872
1598407906,29575808
1598407907,29575808
1598407908,29591552
1598407909,29626368
1598407910,29667648
1598407911,29680192
1598407912,29712832
1598407913,29746880
1598407914,29760768
1598407915,29763776
1598407916,29764544
1598407917,29764544
1598407918,29777600
1598407919,29781440
1598407920,29809344
1598407921,29867072
1598407922,29957504
1598407923,29957504
1598407924,29960704
1598407925,29965376
1598407926,29966144
1598407927,29957824
1598407928,29957824
1598407929,29944320
1598407930,29944320
1598407931,29946688
1598407932,29946688
1598407933,29812864
1598407934,29821568
1598407935,29821568
1598407936,29827200
1598407937,29851072
1598407938,29860544
1598407939,29860544
1598407940,29867264
1598407941,29867840
1598407942,29874048
1598407943,29902464
1598407944,29903232
1598407945,30002304
1598407946,30003712
1598407947,30008896
1598407948,30012608
1598407949,30017088
1598407950,30022976
1598407951,30022976
1598407952,30023616
1598407953,30023616
1598407954,30023616
1598407955,30023616
1598407956,30023616
1598407957,30018240
1598407958,30030656
1598407959,30030656
1598407960,30028096
1598407961,30028096
1598407962,30028096
1598407963,30025280
1598407964,30043520
1598407965,29965824
1598407966,29937408
1598407967,29938176
1598407968,29939328
1598407969,29973504
1598407970,29973504
1598407971,29987456
1598407972,29988288
1598407973,29992000
1598407974,29992704
1598407975,29996608
1598407976,29996608
1598407977,29996608
1598407978,30001216
1598407979,30003584
1598407980,30003584
1598407981,30003584
1598407982,30015360
1598407983,30015360
1598407984,30016960
1598407985,30017792
1598407986,30017792
1598407987,30022848
1598407988,30022848
1598407989,30028352
1598407990,30029056
1598407991,30029056
1598407992,30031168
1598407993,30031168
1598407994,30031168
1598407995,30032128
1598407996,30033664
1598407997,30045888
1598407998,30045888
1598407999,30046016
1598408000,30062784
1598408001,30062784
1598408002,30062784
1598408003,30051520
1598408004,30057600
1598408005,30057600
1598408006,30061760
1598408007,30102272
1598408008,30109184
1598408009,30114752
1598408010,30116800
1598408011,30116800
1598408012,30116800
1598408013,30154240
1598408014,30154240
1598408015,30158272
1598408016,30158272
1598408017,30158272
1598408018,30160768
1598408019,30163712
1598408020,30169536
1598408021,30169536
1598408022,30172416
1598408023,31262336
1598408024,31392448
1598408025,31407424
1598408026,31460992
1598408027,31516288
1598408028,31376000
1598408029,31409728
1598408030,31419904
1598408031,31539200
1598408032,31702016
1598408033,31873472
1598408034,31931136
1598408035,31972480
1598408036,31990784
1598408037,32035904
1598408038,32053568
1598408039,32138880
1598408040,32152000
1598408041,32179136
1598408042,32196864
1598408043,32205632
1598408044,32216320
1598408045,32131264
1598408046,32215616
1598408047,32280512
1598408048,32332544
1598408049,32366720
1598408050,32372608
1598408051,32377536
1598408052,32382016
1598408053,32387456
1598408054,32421888
1598408055,32435968
1598408056,32466944
1598408057,32473216
1598408058,32477376
1598408059,32431424
1598408060,32432448
1598408061,32004928
1598408062,32322560
1598408063,32385280
1598408064,32387648
1598408065,32718208
1598408066,33019456
1598408067,33069056
1598408068,33063872
1598408069,32958912
1598408070,33030464
1598408071,33110336
1598408072,33110336
1598408073,33259968
1598408074,33279936
1598408075,33279936
1598408076,33458048
1598408077,33458816
1598408078,33459520
1598408079,33459520
1598408080,33459520
1598408081,33459520
1598408082,33506816
1598408083,33508288
1598408084,33508288
1598408085,33508288
1598408086,33512256
1598408087,33512256
1598408088,33512256
1598408089,33512256
1598408090,33512256
1598408091,33512256
1598408092,33512256
1598408093,33512256
1598408094,33512256
1598408095,33521984
1598408096,33521984
1598408097,33521984
1598408098,33522880
1598408099,33522880
1598408100,33522880
1598408101,33522880
1598408102,33522880
1598408103,33522880
1598408104,33524096
1598408105,33524096
1598408106,33524096
1598408107,33468736
1598408108,33358080
1598408109,33251648
1598408110,33116288
1598408111,33118080
1598408112,33118080
1598408113,33118080
1598408114,32972672
1598408115,32972672
1598408116,32972672
1598408117,32972672
1598408118,32972672
1598408119,32972672
1598408120,32972672
1598408121,32972672
1598408122,32972672
1598408123,32998592
1598408124,32998592
1598408125,32998592
1598408126,33002880
1598408127,32996992
1598408128,33007936
1598408129,33007936
1598408130,33011008
1598408131,33011008
1598408132,33019968
1598408133,33021504
1598408134,33021504
1598408135,33023552
1598408136,33024832
1598408137,33051904
1598408138,33061632
1598408139,33061632
1598408140,33061632
1598408141,33061632
1598408142,33061632
1598408143,33061632
1598408144,33064128
1598408145,33065984
1598408146,33095040
1598408147,33095040
1598408148,33105088
1598408149,33105088
1598408150,33105088
1598408151,33105088
1598408152,33105088
1598408153,33110784
1598408154,33121408
1598408155,33121408
1598408156,33121408
1598408157,33121408
1598408158,33125248
1598408159,33123264
1598408160,32901184
1598408161,32962560
1598408162,32962560
1598408163,32963392
1598408164,32963392
1598408165,32963392
1598408166,32984128
1598408167,32990208
1598408168,32990208
1598408169,32990208
1598408170,32990208
1598408171,32990208
1598408172,32990208
1598408173,32990208
1598408174,32990208
1598408175,32990208
1598408176,32990208
1598408177,32990208
1598408178,32990208
1598408179,32990848
1598408180,32990848
1598408181,32990848
1598408182,32990848
1598408183,32990848
1598408184,32990848
1598408185,32990848
1598408186,32990848
1598408187,32992192
1598408188,32992192
1598408189,32992192
1598408190,32996352
1598408191,32996352
1598408192,32996352
1598408193,32996352
1598408194,32997248
1598408195,32997248
1598408196,32997248
1598408197,33003456
1598408198,33003456
1598408199,33003456
1598408200,33003456
1598408201,33003456
1598408202,33003456
1598408203,34328256
1598408204,34388032
1598408205,34523584
1598408206,34547712
1598408207,34547712
1598408208,34553280
1598408209,34608512
1598408210,34711232
1598408211,34736896
1598408212,34736896
1598408213,34748160
1598408214,34877760
1598408215,34906560
1598408216,34913216
1598408217,34946752
1598408218,34948224
1598408219,34961344
1598408220,35058496
1598408221,35065664
1598408222,35104768
1598408223,35257600
1598408224,40071168
1598408225,41523776
