t,value
1598407777,56229888
1598407778,61362176
1598407779,70778880
1598407780,77463552
1598407781,80216064
1598407782,80216064
1598407783,80216064
1598407784,80216064
1598407785,80478208
1598407786,80740352
1598407787,80740352
1598407788,82444288
1598407789,83623936
1598407790,95289344
1598407791,102760448
1598407792,112984064
1598407793,112984064
1598407794,114556928
1598407795,114556928
1598407796,114556928
1598407797,114556928
1598407798,114556928
1598407799,114556928
1598407800,114556928
1598407801,114819072
1598407802,114819072
1598407803,114819072
1598407804,114819072
1598407805,115081216
1598407806,115081216
1598407807,115081216
1598407808,115081216
1598407809,115081216
1598407810,115081216
1598407811,115081216
1598407812,115081216
1598407813,115081216
1598407814,115081216
1598407815,115081216
1598407816,115081216
1598407817,115081216
1598407818,115081216
1598407819,115081216
1598407820,115081216
1598407821,115081216
1598407822,115081216
1598407823,115081216
1598407824,115081216
1598407825,115081216
1598407826,115081216
1598407827,115081216
1598407828,115081216
1598407829,115081216
1598407830,115081216
1598407831,115081216
1598407832,115081216
1598407833,115081216
1598407834,115081216
1598407835,115081216
1598407836,115081216
1598407837,115081216
1598407838,115081216
1598407839,115081216
1598407840,115081216
1598407841,115605504
1598407842,115867648
1598407843,115867648
1598407844,115867648
1598407845,115867648
1598407846,115867648
1598407847,115867648
1598407848,115867648
1598407849,115867648
1598407850,115867648
1598407851,115867648
1598407852,115867648
1598407853,115867648
1598407854,115867648
1598407855,115867648
1598407856,115867648
1598407857,115867648
1598407858,115867648
1598407859,116129792
1598407860,116129792
1598407861,116129792
1598407862,116129792
1598407863,116129792
1598407864,116129792
1598407865,116129792
1598407866,116129792
1598407867,116129792
1598407868,116129792
1598407869,116129792
1598407870,116129792
1598407871,116129792
1598407872,116129792
1598407873,116129792
1598407874,116129792
1598407875,116129792
1598407876,116129792
1598407877,116129792
1598407878,116129792
1598407879,116129792
1598407880,116129792
1598407881,116129792
1598407882,116129792
1598407883,116129792
1598407884,116129792
1598407885,116129792
1598407886,116129792
1598407887,116129792
1598407888,116129792
1598407889,116129792
1598407890,116129792
1598407891,116129792
1598407892,116129792
1598407893,116129792
1598407894,116129792
1598407895,116129792
1598407896,116129792
1598407897,116129792
1598407898,116129792
1598407899,116129792
1598407900,116129792
1598407901,116129792
1598407902,116129792
1598407903,116129792
1598407904,116129792
1598407905,116129792
1598407906,116129792
1598407907,116129792
1598407908,116129792
1598407909,116129792
1598407910,116129792
1598407911,116129792
1598407912,116129792
1598407913,116129792
1598407914,116129792
1598407915,116129792
1598407916,116129792
1598407917,116129792
1598407918,116129792
1598407919,116129792
1598407920,116129792
1598407921,116129792
1598407922,116129792
1598407923,116129792
1598407924,116129792
1598407925,116129792
1598407926,116129792
1598407927,116129792
1598407928,116129792
1598407929,116129792
