t,value
1598407777,10953432
1598407778,22127960
1598407779,22127960
1598407780,22127960
1598407781,22127960
1598407782,22127960
1598407783,22127960
1598407784,22127960
1598407785,22127960
1598407786,22127960
1598407787,22127960
1598407788,22127960
1598407789,22127960
1598407790,22127960
1598407791,37122056
1598407792,37122056
1598407793,37122056
1598407794,37122056
1598407795,37122056
1598407796,37122056
1598407797,37122056
1598407798,37122056
1598407799,37122056
1598407800,37122056
1598407801,37122056
1598407802,37122056
1598407803,37122056
1598407804,37122056
1598407805,37122056
1598407806,37122056
1598407807,37122056
1598407808,37122056
1598407809,37122056
1598407810,37122056
1598407811,37122056
1598407812,37122056
1598407813,37122056
1598407814,37122056
1598407815,37122056
1598407816,37122056
1598407817,37122056
1598407818,37122056
1598407819,37122056
1598407820,37122056
1598407821,37122056
1598407822,37122056
1598407823,37122056
1598407824,37122056
1598407825,37122056
1598407826,37122056
1598407827,37122056
1598407828,37122056
1598407829,37122056
1598407830,37122056
1598407831,37122056
1598407832,37122056
1598407833,37122056
1598407834,37122056
1598407835,37122056
1598407836,37122056
1598407837,37122056
1598407838,37122056
1598407839,37122056
1598407840,37122056
1598407841,37122056
1598407842,37122056
1598407843,37122056
1598407844,37122056
1598407845,37122056
1598407846,37122056
1598407847,37122056
1598407848,37122056
1598407849,37122056
1598407850,37122056
1598407851,37122056
1598407852,37122056
1598407853,37122056
1598407854,37122056
1598407855,37122056
1598407856,37122056
1598407857,37122056
1598407858,37122056
1598407859,37122056
1598407860,37122056
1598407861,37122056
1598407862,37122056
1598407863,37122056
1598407864,37122056
1598407865,37122056
1598407866,37122056
1598407867,37122056
1598407868,37122056
1598407869,37122056
1598407870,37122056
1598407871,37122056
1598407872,37122056
1598407873,37122056
1598407874,37122056
1598407875,37122056
1598407876,37122056
1598407877,37122056
1598407878,37122056
1598407879,37122056
1598407880,37122056
1598407881,37122056
1598407882,37122056
1598407883,37122056
1598407884,37122056
1598407885,37122056
1598407886,37122056
1598407887,37122056
1598407888,37122056
1598407889,37122056
1598407890,37122056
1598407891,37122056
1598407892,37122056
1598407893,37122056
1598407894,37122056
1598407895,37122056
1598407896,37122056
1598407897,37122056
1598407898,37122056
1598407899,37122056
1598407900,37122056
1598407901,37122056
1598407902,37122056
1598407903,37122056
1598407904,37122056
1598407905,37122056
1598407906,37122056
1598407907,37122056
1598407908,37122056
1598407909,37122056
1598407910,37122056
1598407911,37122056
1598407912,37122056
1598407913,37122056
1598407914,37122056
1598407915,37122056
1598407916,37122056
1598407917,37122056
1598407918,37122056
1598407919,37122056
1598407920,37122056
1598407921,37122056
1598407922,37122056
1598407923,37122056
1598407924,37122056
1598407925,37122056
1598407926,37122056
1598407927,37122056
1598407928,37122056
1598407929,37122056
1598407930,37122056
1598407931,37122056
1598407932,37122056
1598407933,37122056
1598407934,37122056
1598407935,37122056
1598407936,37122056
1598407937,37122056
1598407938,37122056
1598407939,37122056
1598407940,37122056
1598407941,37122056
1598407942,37122056
1598407943,37122056
1598407944,37122056
1598407945,37122056
1598407946,37122056
1598407947,37122056
1598407948,37122056
1598407949,37122056
1598407950,37122056
1598407951,37122056
1598407952,37122056
1598407953,37122056
1598407954,37122056
1598407955,37122056
1598407956,37122056
1598407957,37122056
1598407958,37122056
1598407959,37122056
1598407960,37122056
1598407961,37122056
1598407962,37122056
1598407963,37122056
1598407964,37122056
1598407965,37122056
1598407966,37122056
1598407967,37122056
1598407968,37122056
1598407969,37122056
1598407970,37122056
1598407971,37122056
1598407972,37122056
1598407973,37122056
1598407974,37122056
1598407975,37122056
1598407976,37122056
1598407977,37122056
1598407978,37122056
1598407979,37122056
1598407980,37122056
1598407981,37122056
1598407982,37122056
1598407983,37122056
1598407984,37122056
1598407985,37122056
1598407986,37122056
1598407987,37122056
1598407988,37122056
1598407989,37122056
1598407990,37122056
1598407991,37122056
1598407992,37122056
1598407993,37122056
1598407994,37122056
1598407995,37122056
1598407996,37122056
1598407997,37122056
1598407998,37122056
1598407999,37122056
1598408000,37122056
1598408001,37122056
1598408002,37122056
1598408003,37122056
1598408004,37122056
1598408005,37122056
1598408006,37122056
1598408007,37122056
1598408008,37122056
1598408009,37122056
1598408010,37122056
1598408011,37122056
1598408012,37122056
1598408013,37122056
1598408014,37122056
1598408015,37122056
1598408016,37122056
1598408017,37122056
1598408018,37122056
1598408019,37122056
1598408020,37122056
1598408021,37122056
1598408022,37122056
1598408023,37122056
1598408024,37122056
1598408025,37122056
1598408026,37122056
1598408027,37122056
1598408028,37122056
1598408029,37122056
1598408030,37122056
1598408031,37122056
1598408032,37122056
1598408033,37122056
1598408034,37122056
1598408035,37122056
1598408036,37122056
1598408037,37122056
1598408038,37122056
1598408039,37122056
1598408040,37122056
1598408041,37122056
1598408042,37122056
1598408043,37122056
1598408044,37122056
1598408045,37122056
1598408046,37122056
1598408047,37122056
1598408048,37122056
1598408049,37122056
1598408050,37122056
1598408051,37122056
1598408052,37122056
1598408053,37122056
1598408054,37122056
1598408055,37122056
1598408056,37122056
1598408057,37122056
1598408058,37122056
1598408059,37122056
1598408060,37122056
1598408061,37122056
1598408062,37122056
1598408063,37122056
1598408064,37122056
1598408065,37122056
1598408066,37122056
1598408067,37122056
1598408068,37122056
1598408069,37122056
1598408070,37122056
1598408071,37122056
1598408072,37122056
1598408073,37122056
1598408074,37122056
1598408075,37122056
1598408076,37122056
1598408077,37122056
1598408078,37122056
1598408079,37122056
1598408080,37122056
1598408081,37122056
1598408082,37122056
1598408083,37122056
1598408084,37122056
1598408085,37122056
1598408086,37122056
1598408087,37122056
1598408088,37122056
1598408089,37122056
1598408090,37122056
1598408091,37122056
1598408092,37122056
1598408093,37122056
1598408094,37122056
1598408095,37122056
1598408096,37122056
1598408097,37122056
1598408098,37122056
1598408099,37122056
1598408100,37122056
1598408101,37122056
1598408102,37122056
1598408103,37122056
1598408104,37122056
1598408105,37122056
1598408106,37122056
1598408107,37122056
1598408108,37122056
1598408109,37122056
1598408110,37122056
1598408111,37122056
1598408112,37122056
1598408113,37122056
1598408114,37122056
1598408115,37122056
1598408116,37122056
1598408117,37122056
1598408118,37122056
1598408119,37122056
1598408120,37122056
1598408121,37122056
1598408122,37122056
1598408123,37122056
1598408124,37122056
1598408125,37122056
1598408126,37122056
1598408127,37122056
1598408128,37122056
1598408129,37122056
1598408130,37122056
1598408131,37122056
1598408132,37122056
1598408133,37122056
1598408134,37122056
1598408135,37122056
1598408136,37122056
1598408137,37122056
1598408138,37122056
1598408139,37122056
1598408140,37122056
1598408141,37122056
1598408142,37122056
1598408143,37122056
1598408144,37122056
1598408145,37122056
1598408146,37122056
1598408147,37122056
1598408148,37122056
1598408149,37122056
1598408150,37122056
1598408151,37122056
1598408152,37122056
1598408153,37122056
1598408154,37122056
1598408155,37122056
1598408156,37122056
1598408157,37122056
1598408158,37122056
1598408159,37122056
1598408160,37122056
1598408161,37122056
1598408162,37122056
1598408163,37122056
1598408164,37122056
1598408165,37122056
1598408166,37122056
1598408167,37122056
1598408168,37122056
1598408169,37122056
1598408170,37122056
1598408171,37122056
1598408172,37122056
1598408173,37122056
1598408174,37122056
1598408175,37122056
1598408176,37122056
1598408177,37122056
1598408178,37122056
1598408179,37122056
1598408180,37122056
1598408181,37122056
1598408182,37122056
1598408183,37122056
1598408184,37122056
1598408185,37122056
1598408186,37122056
1598408187,37122056
1598408188,37122056
1598408189,37122056
1598408190,37122056
1598408191,37122056
1598408192,37122056
1598408193,37122056
1598408194,37122056
1598408195,37122056
1598408196,37122056
1598408197,37122056
1598408198,37122056
1598408199,37122056
1598408200,37122056
1598408201,37122056
1598408202,37122056
1598408203,37122056
1598408204,37122056
1598408205,37122056
1598408206,37122056
1598408207,37122056
1598408208,37122056
1598408209,37122056
1598408210,37122056
1598408211,37122056
1598408212,37122056
1598408213,37122056
1598408214,37122056
1598408215,37122056
1598408216,37122056
1598408217,37122056
1598408218,37122056
1598408219,37122056
1598408220,37122056
1598408221,37122056
1598408222,37122056
1598408223,37122056
1598408224,37122056
1598408225,37122056
