t,value
1598408286,0
1598408287,0
1598408288,0
1598408289,0
1598408290,0
1598408291,0
1598408292,0
1598408293,0
1598408294,0
1598408295,0
1598408296,0
1598408297,0
1598408298,0
1598408299,0
1598408300,55
1598408301,55
1598408302,55
1598408303,55
1598408304,55
1598408305,55
1598408306,55
1598408307,55
1598408308,55
1598408309,55
1598408310,117
1598408311,117
1598408312,117
1598408313,117
1598408314,117
1598408315,117
1598408316,117
1598408317,117
1598408318,117
1598408319,117
1598408320,145
1598408321,145
1598408322,145
1598408323,145
1598408324,145
1598408325,145
1598408326,145
1598408327,145
1598408328,145
1598408329,145
1598408330,159
1598408331,159
1598408332,159
1598408333,159
1598408334,159
1598408335,159
1598408336,159
1598408337,159
1598408338,159
1598408339,159
1598408340,178
1598408341,178
1598408342,178
1598408343,178
1598408344,178
1598408345,178
1598408346,178
1598408347,178
1598408348,178
1598408349,178
1598408350,218
1598408351,218
1598408352,218
1598408353,218
1598408354,218
1598408355,218
1598408356,218
1598408357,218
1598408358,218
1598408359,218
1598408360,238
1598408361,238
1598408362,238
1598408363,238
1598408364,238
1598408365,238
1598408366,238
1598408367,238
1598408368,238
1598408369,238
1598408370,260
1598408371,260
1598408372,260
1598408373,260
1598408374,260
1598408375,260
1598408376,260
1598408377,260
1598408378,260
1598408379,260
1598408380,285
1598408381,285
1598408382,285
1598408383,285
1598408384,285
1598408385,285
1598408386,285
1598408387,285
1598408388,285
1598408389,285
1598408390,313
1598408391,313
1598408392,313
1598408393,313
1598408394,313
1598408395,313
1598408396,313
1598408397,313
1598408398,313
1598408399,313
1598408400,349
1598408401,349
1598408402,349
1598408403,349
1598408404,349
1598408405,349
1598408406,349
1598408407,349
1598408408,349
1598408409,349
1598408410,390
1598408411,390
1598408412,390
1598408413,390
1598408414,390
1598408415,390
1598408416,390
1598408417,390
1598408418,390
1598408419,390
1598408420,438
1598408421,438
1598408422,438
1598408423,438
1598408424,438
1598408425,438
1598408426,438
1598408427,438
1598408428,438
1598408429,438
1598408430,492
1598408431,492
1598408432,492
1598408433,492
1598408434,492
1598408435,492
1598408436,492
1598408437,492
1598408438,492
1598408439,492
1598408440,548
1598408441,548
1598408442,548
1598408443,548
1598408444,548
1598408445,548
1598408446,548
1598408447,548
1598408448,548
1598408449,548
1598408450,606
1598408451,606
1598408452,606
1598408453,606
1598408454,606
1598408455,606
1598408456,606
1598408457,606
1598408458,606
1598408459,606
1598408460,664
1598408461,664
1598408462,664
1598408463,664
1598408464,664
1598408465,664
1598408466,664
1598408467,664
1598408468,664
1598408469,664
1598408470,726
1598408471,726
1598408472,726
1598408473,726
1598408474,726
1598408475,726
1598408476,726
1598408477,726
1598408478,726
1598408479,726
1598408480,792
1598408481,792
1598408482,792
1598408483,792
1598408484,792
1598408485,792
1598408486,792
1598408487,792
1598408488,792
1598408489,792
1598408490,858
1598408491,858
1598408492,858
1598408493,858
1598408494,858
1598408495,858
1598408496,858
1598408497,858
1598408498,858
1598408499,858
1598408500,930
1598408501,930
1598408502,930
1598408503,930
1598408504,930
1598408505,930
1598408506,930
1598408507,930
1598408508,930
1598408509,930
1598408510,999
1598408511,999
1598408512,999
1598408513,999
1598408514,999
1598408515,999
1598408516,999
1598408517,999
1598408518,999
1598408519,999
1598408520,1021
1598408521,1021
1598408522,1021
1598408523,1021
1598408524,1021
1598408525,1021
1598408526,1021
1598408527,1021
1598408528,1021
1598408529,1021
1598408530,1071
1598408531,1071
1598408532,1071
1598408533,1071
1598408534,1071
1598408535,1071
1598408536,1071
1598408537,1071
1598408538,1071
1598408539,1071
1598408540,1208
1598408541,1208
1598408542,1208
1598408543,1208
1598408544,1208
1598408545,1208
1598408546,1208
1598408547,1208
1598408548,1208
1598408549,1208
1598408550,1339
1598408551,1339
1598408552,1339
1598408553,1339
1598408554,1339
1598408556,1339
1598408556,1339
1598408557,1339
1598408558,1339
1598408559,1339
1598408560,1508
1598408561,1508
1598408562,1508
1598408563,1508
1598408564,1508
1598408565,1508
1598408566,1508
1598408567,1508
1598408568,1508
1598408569,1508
1598408570,1566
1598408571,1566
1598408572,1566
1598408573,1566
1598408574,1566
1598408575,1566
1598408576,1566
1598408577,1566
1598408578,1566
1598408579,1566
1598408580,1580
1598408581,1580
1598408582,1580
1598408583,1580
1598408584,1580
1598408585,1580
1598408586,1580
1598408587,1580
1598408588,1580
1598408589,1580
1598408590,1600
1598408591,1600
1598408592,1600
1598408593,1600
1598408594,1600
1598408595,1600
1598408596,1600
1598408597,1600
1598408598,1600
1598408599,1600
1598408600,1626
1598408601,1626
1598408602,1626
1598408603,1626
1598408604,1626
1598408605,1626
1598408606,1626
1598408607,1626
1598408608,1626
1598408609,1626
1598408610,1658
1598408611,1658
1598408612,1658
1598408613,1658
1598408614,1658
1598408615,1658
1598408616,1658
1598408617,1658
1598408618,1658
1598408619,1658
1598408620,1698
1598408621,1698
1598408622,1698
1598408623,1698
1598408624,1698
1598408625,1698
1598408626,1698
1598408627,1698
1598408628,1698
1598408629,1698
1598408630,1723
1598408631,1723
1598408632,1723
1598408633,1723
1598408634,1723
1598408635,1723
1598408636,1723
1598408637,1723
1598408638,1723
1598408639,1723
1598408640,1747
1598408641,1747
1598408642,1747
1598408643,1747
1598408644,1747
1598408645,1747
1598408646,1747
1598408647,1747
1598408648,1747
1598408649,1747
1598408650,1754
1598408651,1754
1598408652,1754
1598408653,1754
1598408654,1754
1598408655,1754
1598408656,1754
1598408657,1754
1598408658,1754
1598408659,1754
1598408660,1754
1598408661,1754
1598408662,1754
1598408663,1754
1598408664,1754
1598408665,1754
1598408666,1754
1598408667,1754
1598408668,1754
1598408669,1754
1598408670,1754
1598408671,1754
1598408672,1754
1598408673,1754
1598408674,1754
1598408675,1754
1598408676,1754
