t,value
1598408286,42907064
1598408287,43220888
1598408288,45430240
1598408289,45757160
1598408290,46153832
1598408291,46363664
1598408292,46398560
1598408293,48496328
1598408294,52939792
1598408295,58850168
1598408296,68467688
1598408297,71517120
1598408298,71689320
1598408299,72389872
1598408300,72380440
1598408301,72420632
1598408302,72475064
1598408303,77618840
1598408304,91734176
1598408305,103005400
1598408306,103571664
1598408307,103775808
1598408308,103788728
1598408309,104235040
1598408310,104300768
1598408311,104617784
1598408312,104703416
1598408313,104744728
1598408314,104004024
1598408315,103831424
1598408316,104005496
1598408317,104017912
1598408318,104047792
1598408319,104084520
1598408320,104112720
1598408321,104178568
1598408322,103785960
1598408323,103826848
1598408324,103931960
1598408325,103937432
1598408326,103971600
1598408327,104015216
1598408328,104165016
1598408329,104308336
1598408330,104334840
1598408331,104246288
1598408332,104342568
1598408333,104359816
1598408334,104463104
1598408335,104524024
1598408336,104552720
1598408337,104563480
1598408338,104566240
1598408339,104292872
1598408340,104335096
1598408341,104437736
1598408342,104450400
1598408343,104463736
1598408344,104617616
1598408345,104647384
1598408346,104715320
1598408347,104771720
1598408348,104776848
1598408349,105407176
1598408350,108393592
1598408351,109036224
1598408352,109172560
1598408353,109191248
1598408354,109254360
1598408355,109338192
1598408356,109361832
1598408357,109400424
1598408358,109408872
1598408359,109411608
1598408360,109409392
1598408361,109419344
1598408362,109436784
1598408363,109519344
1598408364,109723840
1598408365,109723840
1598408366,109783744
1598408367,109783744
1598408368,109788480
1598408369,109763976
1598408370,109609656
1598408371,109614152
1598408372,109635736
1598408373,109636312
1598408374,109629272
1598408375,109629272
1598408376,109612000
1598408377,109619680
1598408378,109617760
1598408379,109646328
1598408380,109650032
1598408381,109750896
1598408382,109776640
1598408383,109779696
1598408384,109842136
1598408385,109842136
1598408386,109842136
1598408387,109796888
1598408388,109762216
1598408389,109686792
1598408390,109686792
1598408391,109631432
1598408392,108309600
1598408393,108309600
1598408394,108313184
1598408395,108313184
1598408396,108313184
1598408397,108313184
1598408398,108315712
1598408399,108313824
1598408400,108313824
1598408401,108313824
1598408402,108326552
1598408403,108188952
1598408404,108217720
1598408405,108220888
1598408406,108233488
1598408407,108233488
1598408408,108233584
1598408409,108234216
1598408410,108233512
1598408411,108235368
1598408412,108231720
1598408413,108232792
1598408414,108222472
1598408415,108286128
1598408416,108286128
1598408417,108293128
1598408418,108296072
1598408419,108295344
1598408420,108299888
1598408421,108293496
1598408422,108287216
1598408423,108294712
1598408424,108300344
1598408425,108300344
1598408426,108300344
1598408427,108300344
1598408428,108300344
1598408429,108303576
1598408430,108308152
1598408431,108308152
1598408432,108308152
1598408433,108308152
1598408434,108308152
1598408435,108347424
1598408436,108352664
1598408437,108352664
1598408438,108352664
1598408439,108364184
1598408440,108364184
1598408441,108368792
1598408442,108386456
1598408443,108390624
1598408444,108390624
1598408445,108390624
1598408446,108390624
1598408447,108390624
1598408448,108390624
1598408449,108399648
1598408450,108399648
1598408451,108399648
1598408452,108398752
1598408453,108473632
1598408454,108474848
1598408455,108481560
1598408456,108481560
1598408457,108482264
1598408458,108488664
1598408459,108477240
1598408460,108477240
1598408461,108477240
1598408462,108490744
1598408463,108490744
1598408464,108491512
1598408465,108493280
1598408466,108493280
1598408467,108493280
1598408468,108493280
1598408469,108497888
1598408470,108496864
1598408471,108496864
1598408472,108496864
1598408473,108499296
1598408474,108499296
1598408475,108525272
1598408476,108525272
1598408477,108535576
1598408478,108574680
1598408479,108577472
1598408480,108580640
1598408481,108580640
1598408482,108580640
1598408483,108581816
1598408484,108579640
1598408485,108579640
1598408486,108579640
1598408487,108579640
1598408488,108627448
1598408489,108628152
1598408490,108650552
1598408491,108658616
1598408492,108658616
1598408493,108659256
1598408494,108664696
1598408495,108664696
1598408496,108664696
1598408497,108684944
1598408498,108686224
1598408499,108686224
1598408500,108689488
1598408501,108689488
1598408502,108691728
1598408503,108692968
1598408504,108691696
1598408505,108691696
1598408506,108691696
1598408507,108691696
1598408508,108691696
1598408509,108698080
1598408510,108698080
1598408511,108698080
1598408512,108698080
1598408513,108698080
1598408514,108698080
1598408515,108698080
1598408516,108713328
1598408517,108713328
1598408518,108713328
1598408519,108737928
1598408520,108737928
1598408521,108737928
1598408522,108744824
1598408523,108744824
1598408524,108744824
1598408525,108744824
1598408526,108744824
1598408527,114886008
1598408528,117944272
1598408529,118108936
1598408530,118746960
1598408531,119082344
1598408532,119379096
1598408533,119193416
1598408534,119480064
1598408535,119511096
1598408536,119560280
1598408537,119721496
1598408538,119869912
1598408539,119861256
1598408540,119664168
1598408541,119681080
1598408542,119861184
1598408543,119963872
1598408544,119969280
