t,value
1598408286,0
1598408287,0
1598408288,2
1598408289,2
1598408290,2
1598408291,2
1598408292,2
1598408293,2
1598408294,2
1598408295,2
1598408296,2
1598408297,4
1598408298,4
1598408299,4
1598408300,4
1598408301,4
1598408302,4
1598408303,6
1598408304,6
1598408305,6
1598408306,6
1598408307,6
1598408308,7
1598408309,7
1598408310,8
1598408311,9
1598408312,10
1598408313,10
1598408314,11
1598408315,11
1598408316,13
1598408317,14
1598408318,14
1598408319,14
1598408320,14
1598408321,15
1598408322,16
1598408323,16
1598408324,17
1598408325,17
1598408326,17
1598408327,17
1598408328,18
1598408329,19
1598408330,19
1598408331,19
1598408332,19
1598408333,20
1598408334,20
1598408335,20
1598408336,20
1598408337,21
1598408338,21
1598408339,21
1598408340,21
1598408341,22
1598408342,22
1598408343,22
1598408344,24
1598408345,24
1598408346,24
1598408347,24
1598408348,24
1598408349,48
1598408350,65
1598408351,65
1598408352,65
1598408353,65
1598408354,65
1598408355,65
1598408356,65
1598408357,65
1598408358,65
1598408359,65
1598408360,65
1598408361,66
1598408362,66
1598408363,67
1598408364,67
1598408365,67
1598408366,67
1598408367,67
1598408368,67
1598408369,67
1598408370,67
1598408371,67
1598408372,67
1598408373,68
1598408374,68
1598408375,68
1598408376,69
1598408377,69
1598408378,69
1598408379,69
1598408380,69
1598408381,69
1598408382,69
1598408383,69
1598408384,69
1598408385,69
1598408386,69
1598408387,70
1598408388,70
1598408389,71
1598408390,71
1598408391,71
1598408392,71
1598408393,71
1598408394,71
1598408395,71
1598408396,71
1598408397,71
1598408398,71
1598408399,71
1598408400,71
1598408401,71
1598408402,71
1598408403,72
1598408404,72
1598408405,73
1598408406,73
1598408407,73
1598408408,73
1598408409,73
1598408410,73
1598408411,73
1598408412,73
1598408413,73
1598408414,73
1598408415,73
1598408416,73
1598408417,73
1598408418,74
1598408419,75
1598408420,75
1598408421,75
1598408422,75
1598408423,75
1598408424,75
1598408425,75
1598408426,75
1598408427,75
1598408428,75
1598408429,75
1598408430,75
1598408431,75
1598408432,75
1598408433,76
1598408434,76
1598408435,76
1598408436,77
1598408437,77
1598408438,77
1598408439,77
1598408440,77
1598408441,77
1598408442,77
1598408443,77
1598408444,77
1598408445,77
1598408446,77
1598408447,77
1598408448,77
1598408449,78
1598408450,78
1598408451,78
1598408452,79
1598408453,79
1598408454,79
1598408455,79
1598408456,79
1598408457,79
1598408458,79
1598408459,79
1598408460,79
1598408461,79
1598408462,79
1598408463,79
1598408464,79
1598408465,79
1598408466,79
1598408467,80
1598408468,80
1598408469,80
1598408470,81
1598408471,81
1598408472,81
1598408473,81
1598408474,81
1598408475,81
1598408476,81
1598408477,81
1598408478,81
1598408479,81
1598408480,81
1598408481,81
1598408482,81
1598408483,81
1598408484,81
1598408485,81
1598408486,82
1598408487,82
1598408488,82
1598408489,83
1598408490,83
1598408491,83
1598408492,83
1598408493,83
1598408494,83
1598408495,83
1598408496,83
1598408497,83
1598408498,83
1598408499,83
1598408500,83
1598408501,83
1598408502,83
1598408503,83
1598408504,83
1598408505,83
1598408506,83
1598408507,83
1598408508,83
1598408509,83
1598408510,83
1598408511,83
1598408512,83
1598408513,83
1598408514,83
1598408515,83
1598408516,83
1598408517,83
1598408518,83
1598408519,83
1598408520,83
1598408521,83
1598408522,83
1598408523,83
1598408524,83
1598408525,83
1598408526,83
1598408527,85
1598408528,85
1598408529,85
1598408530,85
1598408531,86
1598408532,87
1598408533,87
1598408534,88
1598408535,89
1598408536,89
1598408537,89
1598408538,89
1598408539,89
1598408540,89
1598408541,90
1598408542,91
1598408543,91
1598408544,91
1598408545,92
1598408546,93
1598408547,93
1598408548,93
1598408549,93
1598408550,95
1598408551,95
1598408552,95
1598408553,95
1598408554,95
1598408555,96
1598408556,96
1598408557,98
1598408558,98
1598408559,98
1598408560,98
1598408561,98
1598408562,100
1598408563,104
1598408564,114
1598408565,118
1598408566,127
1598408567,129
1598408568,133
1598408569,139
1598408570,148
1598408571,148
1598408572,148
1598408573,148
1598408574,148
1598408575,148
1598408576,148
1598408577,148
1598408578,148
1598408579,148
1598408580,148
1598408581,148
1598408582,148
1598408583,148
1598408584,148
1598408585,148
1598408586,148
1598408587,148
1598408588,148
1598408589,148
1598408590,148
1598408591,148
1598408592,148
1598408593,148
1598408594,148
1598408595,148
1598408596,148
1598408597,148
1598408598,148
1598408599,148
1598408600,148
1598408601,148
1598408602,148
1598408603,148
1598408604,148
1598408605,148
1598408606,148
1598408607,148
1598408608,148
1598408609,148
1598408610,148
1598408611,148
1598408612,148
1598408613,148
1598408614,148
1598408615,148
1598408616,148
1598408617,148
1598408618,148
1598408619,148
1598408620,148
1598408621,149
1598408622,149
1598408623,149
1598408624,149
1598408625,149
1598408626,149
1598408627,149
1598408628,149
1598408629,149
1598408630,149
1598408631,149
1598408632,149
1598408633,149
1598408634,149
1598408635,149
1598408636,149
1598408637,149
1598408638,149
1598408639,149
1598408640,149
1598408641,149
1598408642,149
1598408643,149
1598408644,149
1598408645,149
1598408646,149
1598408647,149
1598408648,149
1598408649,149
1598408650,149
1598408651,149
1598408652,149
1598408653,149
1598408654,149
1598408655,149
1598408656,149
1598408657,149
1598408658,149
1598408659,149
1598408660,149
1598408661,149
1598408662,149
1598408663,149
1598408664,149
1598408665,149
1598408666,149
1598408667,149
1598408668,149
1598408669,149
1598408670,149
1598408671,149
1598408672,149
1598408673,149
1598408674,149
1598408675,149
1598408676,149
1598408677,149
1598408678,149
1598408679,149
1598408680,149
1598408681,149
1598408682,149
1598408683,149
1598408684,149
1598408685,149
1598408686,149
1598408687,149
1598408688,149
1598408689,149
1598408690,149
1598408691,149
1598408692,149
1598408693,149
1598408694,149
1598408695,149
1598408696,158
1598408697,166
1598408698,166
