t,count
1598408286,0
1598408287,0
1598408288,0
1598408289,0
1598408290,0
1598408291,0
1598408292,0
1598408293,0
1598408294,0
1598408295,0
1598408296,0
1598408297,4
1598408298,4
1598408299,4
1598408300,4
1598408301,4
1598408302,5
1598408303,5
1598408304,5
1598408305,5
1598408306,5
1598408307,5
1598408308,6
1598408309,7
1598408310,7
1598408311,7
1598408312,7
1598408313,7
1598408314,8
1598408315,9
1598408316,9
1598408317,10
1598408318,10
1598408319,11
1598408320,11
1598408321,11
1598408322,11
1598408323,12
1598408324,12
1598408325,12
1598408326,13
1598408327,13
1598408328,14
1598408329,15
1598408330,15
1598408331,15
1598408332,16
1598408333,16
1598408334,17
1598408335,17
1598408336,17
1598408337,17
1598408338,17
1598408339,17
1598408340,18
1598408341,18
1598408342,18
1598408343,18
1598408344,19
1598408345,19
1598408346,19
1598408347,21
1598408348,21
1598408349,45
1598408350,69
1598408351,69
1598408352,69
1598408353,69
1598408354,69
1598408355,69
1598408356,69
1598408357,69
1598408358,69
1598408359,69
1598408360,69
1598408361,69
1598408362,70
1598408363,71
1598408364,71
1598408365,71
1598408366,71
1598408367,71
1598408368,71
1598408369,71
1598408370,71
1598408371,71
1598408372,71
1598408373,71
1598408374,71
1598408375,72
1598408376,73
1598408377,73
1598408378,73
1598408379,73
1598408380,73
1598408381,73
1598408382,73
1598408383,73
1598408384,73
1598408385,73
1598408386,73
1598408387,73
1598408388,73
1598408389,74
1598408390,74
1598408391,75
1598408392,75
1598408393,75
1598408394,75
1598408395,75
1598408396,75
1598408397,75
1598408398,75
1598408399,75
1598408400,75
1598408401,75
1598408402,75
1598408403,76
1598408404,76
1598408405,76
1598408406,77
1598408407,77
1598408408,77
1598408409,77
1598408410,77
1598408411,77
1598408412,77
1598408413,77
1598408414,77
1598408415,77
1598408416,77
1598408417,77
1598408418,78
1598408419,78
1598408420,78
1598408421,78
1598408422,78
1598408423,79
1598408424,79
1598408425,79
1598408426,79
1598408427,79
1598408428,79
1598408429,79
1598408430,79
1598408431,79
1598408432,79
1598408433,79
1598408434,80
1598408435,80
1598408436,80
1598408437,80
1598408438,81
1598408439,81
1598408440,81
1598408441,81
1598408442,81
1598408443,81
1598408444,81
1598408445,81
1598408446,81
1598408447,81
1598408448,81
1598408449,81
1598408450,81
1598408451,82
1598408452,82
1598408453,82
1598408454,82
1598408455,83
1598408456,83
1598408457,83
1598408458,83
1598408459,83
1598408460,83
1598408461,83
1598408462,83
1598408463,83
1598408464,83
1598408465,83
1598408466,83
1598408467,83
1598408468,84
1598408469,84
1598408470,84
1598408471,85
1598408472,85
1598408473,85
1598408474,85
1598408475,85
1598408476,85
1598408477,85
1598408478,85
1598408479,85
1598408480,85
1598408481,85
1598408482,85
1598408483,85
1598408484,85
1598408485,85
1598408486,85
1598408487,86
1598408488,86
1598408489,87
1598408490,87
1598408491,87
1598408492,87
1598408493,87
1598408494,87
1598408495,87
1598408496,87
1598408497,87
1598408498,87
1598408499,87
1598408500,87
1598408501,87
1598408502,87
1598408503,87
1598408504,87
1598408505,88
1598408506,88
1598408507,88
1598408508,89
1598408509,89
1598408510,89
1598408511,89
1598408512,89
1598408513,89
1598408514,89
1598408515,89
1598408516,89
1598408517,89
1598408518,89
1598408519,89
1598408520,89
1598408521,89
1598408522,89
1598408523,89
1598408524,89
1598408525,89
1598408526,89
1598408527,89
1598408528,89
1598408529,89
1598408530,90
1598408531,91
1598408532,91
1598408533,92
1598408534,92
1598408535,92
1598408536,94
1598408537,94
1598408538,94
1598408539,95
1598408540,96
1598408541,97
1598408542,97
1598408543,98
1598408544,99
1598408545,99
1598408546,100
1598408547,100
1598408548,101
1598408549,102
1598408550,102
1598408551,102
1598408552,104
1598408554,104
1598408554,104
1598408555,105
1598408556,106
1598408557,106
1598408558,106
1598408559,106
1598408560,106
1598408561,107
1598408562,108
1598408563,114
1598408564,122
1598408565,129
1598408566,138
1598408567,141
1598408568,146
1598408569,154
1598408570,163
1598408571,163
1598408572,163
1598408573,163
1598408574,163
1598408575,163
1598408576,163
1598408577,163
1598408578,163
1598408579,163
1598408580,163
1598408581,163
1598408582,163
1598408583,163
1598408584,163
1598408585,163
1598408586,163
1598408587,163
1598408588,163
1598408589,163
1598408590,163
1598408591,163
1598408592,163
1598408593,163
1598408594,163
1598408595,163
1598408596,163
1598408597,163
1598408598,163
1598408599,163
1598408600,163
1598408601,163
1598408602,163
1598408603,163
1598408604,163
1598408605,163
1598408606,163
1598408607,163
1598408608,163
1598408609,163
1598408610,163
1598408611,163
1598408612,163
1598408613,164
1598408614,164
1598408615,164
1598408616,164
1598408617,164
1598408618,164
1598408619,164
1598408620,164
1598408621,164
1598408622,164
1598408623,165
1598408624,165
1598408625,165
1598408626,165
1598408627,165
1598408628,165
1598408629,165
1598408630,165
1598408631,165
1598408632,165
1598408633,165
1598408634,165
1598408635,165
1598408636,165
1598408637,165
1598408638,165
1598408639,165
1598408640,165
1598408641,165
1598408642,165
1598408643,165
1598408644,165
1598408645,165
1598408646,165
1598408647,165
1598408648,165
1598408649,165
1598408650,165
1598408651,165
1598408652,165
1598408653,165
1598408654,165
1598408655,165
1598408656,165
1598408657,165
1598408658,165
1598408659,165
1598408660,165
1598408661,165
1598408662,165
1598408663,165
1598408664,165
1598408665,165
1598408666,165
1598408667,165
1598408668,165
1598408669,165
1598408670,165
1598408671,166
1598408672,166
1598408673,166
1598408674,166
1598408675,166
1598408676,166
1598408677,166
1598408678,166
1598408679,166
1598408680,166
1598408681,166
1598408682,166
1598408683,166
1598408684,166
1598408685,166
1598408686,166
1598408687,166
1598408688,166
1598408689,166
1598408690,166
1598408691,166
1598408692,166
1598408693,166
1598408694,166
1598408695,166
1598408696,174
1598408697,183
1598408698,185
