t,value
1598408286,7413248
1598408287,7624960
1598408288,7743744
1598408289,8062912
1598408290,8123008
1598408291,8496704
1598408292,8560576
1598408293,8521600
1598408294,8520704
1598408295,8875520
1598408296,9770368
1598408297,10580800
1598408298,10695808
1598408299,10777984
1598408300,10783808
1598408301,11290560
1598408302,12385344
1598408303,13189184
1598408304,15988992
1598408305,16611200
1598408306,16766656
1598408307,16856768
1598408308,17092864
1598408309,16737856
1598408310,16767040
1598408311,16709824
1598408312,16747200
1598408313,16807808
1598408314,17072448
1598408315,17287360
1598408316,17297024
1598408317,17329024
1598408318,17367488
1598408319,17457024
1598408320,17478528
1598408321,17517696
1598408322,17531584
1598408323,17664640
1598408324,17682240
1598408325,17715840
1598408326,17482432
1598408327,17259904
1598408328,17403008
1598408329,17679104
1598408330,17689344
1598408331,17742080
1598408332,17816576
1598408333,17649024
1598408334,17549952
1598408335,17555776
1598408336,17555776
1598408337,17560576
1598408338,17561408
1598408339,17576384
1598408340,17684416
1598408341,17696960
1598408342,17695552
1598408343,17711808
1598408344,17781248
1598408345,17729408
1598408346,17660608
1598408347,17553536
1598408348,17553536
1598408349,18134720
1598408350,20134400
1598408351,20874624
1598408352,20932224
1598408353,20989248
1598408354,21022656
1598408355,21034240
1598408356,21116544
1598408357,21166336
1598408358,21196736
1598408359,21209216
1598408360,21214656
1598408361,21192832
1598408362,21328064
1598408363,21419072
1598408364,21436096
1598408365,21437120
1598408366,21443520
1598408367,21515200
1598408368,21560000
1598408369,21562240
1598408370,21585664
1598408371,21609344
1598408372,21611072
1598408373,21474112
1598408374,21366656
1598408375,21366272
1598408376,20802688
1598408377,19785344
1598408378,19794624
1598408379,19843072
1598408380,19856768
1598408381,19870016
1598408382,19907264
1598408383,19929024
1598408384,19932032
1598408385,19937408
1598408386,19942528
1598408387,19943872
1598408388,19964416
1598408389,19944704
1598408390,19944704
1598408391,19877376
1598408392,19913664
1598408393,19959168
1598408394,19959168
1598408395,19959168
1598408396,19959168
1598408397,19827520
1598408398,19836352
1598408399,19851520
1598408400,19851520
1598408401,19862848
1598408402,19879488
1598408403,19951808
1598408404,19956864
1598408405,19960384
1598408406,19897664
1598408407,19897664
1598408408,19897664
1598408409,19914496
1598408410,19914496
1598408411,20005696
1598408412,20007936
1598408413,20006464
1598408414,19988224
1598408415,19988224
