t,value
1598408286,34078720
1598408287,34340864
1598408288,35127296
1598408289,35127296
1598408290,35389440
1598408291,35389440
1598408292,35520512
1598408293,35520512
1598408294,35520512
1598408295,37527552
1598408296,48275456
1598408297,55484416
1598408298,55484416
1598408299,55746560
1598408300,55746560
1598408301,59023360
1598408302,64380928
1598408303,75653120
1598408304,82206720
1598408305,82468864
1598408306,82468864
1598408307,82468864
1598408308,82468864
1598408309,82731008
1598408310,82731008
1598408311,82731008
1598408312,82731008
1598408313,82731008
1598408314,82731008
1598408315,82731008
1598408316,82731008
1598408317,82731008
1598408318,82731008
1598408319,82731008
1598408320,82993152
1598408321,82993152
1598408322,82993152
1598408323,82993152
1598408324,82993152
1598408325,82993152
1598408326,82993152
1598408327,82993152
1598408328,82993152
1598408329,82993152
1598408330,82993152
1598408331,82993152
1598408332,82993152
1598408333,82993152
1598408334,82993152
1598408335,82993152
1598408336,82993152
1598408337,82993152
1598408338,82993152
1598408339,82993152
1598408340,82993152
1598408341,82993152
1598408342,82993152
1598408343,82993152
1598408344,82993152
1598408345,82993152
1598408346,82993152
1598408347,82993152
1598408348,82993152
1598408349,83255296
1598408350,84697088
1598408351,84697088
1598408352,84697088
1598408353,84697088
1598408354,84697088
1598408355,84697088
1598408356,84697088
1598408357,84697088
1598408358,84697088
1598408359,84697088
1598408360,84697088
1598408361,84697088
1598408362,84959232
1598408363,84959232
1598408364,84959232
1598408365,84959232
1598408366,84959232
1598408367,84959232
1598408368,84959232
1598408369,84959232
1598408370,84959232
1598408371,84959232
1598408372,84959232
1598408373,84959232
1598408374,84959232
1598408375,84959232
1598408376,84959232
1598408377,84959232
1598408378,84959232
1598408379,84959232
1598408380,84959232
1598408381,84959232
1598408382,84959232
1598408383,84959232
1598408384,84959232
1598408385,84959232
1598408386,84959232
1598408387,84959232
1598408388,84959232
1598408389,84959232
1598408390,84959232
1598408391,84959232
1598408392,84959232
1598408393,84959232
1598408394,84959232
1598408395,84959232
1598408396,84959232
1598408397,84959232
1598408398,84959232
1598408399,84959232
1598408400,84959232
1598408401,84959232
1598408402,84959232
1598408403,84959232
1598408404,84959232
1598408405,84959232
1598408406,84959232
1598408407,84959232
1598408408,84959232
1598408409,84959232
1598408410,84959232
1598408411,84959232
1598408412,84959232
1598408413,84959232
1598408414,84959232
1598408415,84959232
1598408416,84959232
1598408417,84959232
1598408418,84959232
1598408419,84959232
1598408420,84959232
1598408421,84959232
1598408422,84959232
1598408423,84959232
1598408424,84959232
1598408425,84959232
1598408426,84959232
1598408427,84959232
1598408428,84959232
1598408429,84959232
1598408430,84959232
1598408431,84959232
1598408432,84959232
1598408433,84959232
1598408434,84959232
1598408435,84959232
1598408436,84959232
1598408437,84959232
1598408438,84959232
1598408439,84959232
1598408440,84959232
1598408441,84959232
1598408442,84959232
1598408443,84959232
1598408444,84959232
1598408445,84959232
1598408446,84959232
1598408447,84959232
1598408448,84959232
1598408449,84959232
1598408450,84959232
1598408451,84959232
1598408452,84959232
1598408453,84959232
1598408454,84959232
1598408455,84959232
1598408456,84959232
1598408457,84959232
1598408458,84959232
1598408459,84959232
1598408460,84959232
1598408461,85221376
1598408462,85221376
1598408463,85221376
1598408464,85221376
1598408465,85221376
1598408466,85221376
1598408467,85221376
1598408468,85221376
1598408469,85221376
1598408470,85221376
1598408471,85221376
1598408472,85221376
1598408473,85221376
1598408474,85221376
1598408475,85221376
1598408476,85221376
1598408477,85221376
1598408478,85221376
1598408479,85221376
1598408480,85221376
1598408481,85221376
1598408482,85221376
1598408483,85221376
1598408484,85221376
1598408485,85221376
1598408486,85221376
1598408487,85221376
1598408488,85221376
1598408489,85221376
1598408490,85221376
1598408491,85221376
1598408492,85221376
1598408493,85221376
1598408494,85221376
1598408495,85221376
1598408496,85221376
1598408497,85221376
1598408498,85221376
1598408499,85221376
1598408500,85221376
1598408501,85221376
1598408502,85221376
1598408503,85221376
1598408504,85221376
1598408505,85221376
1598408506,85221376
1598408507,85221376
1598408508,85221376
1598408509,85221376
1598408510,85221376
1598408511,85221376
1598408512,85221376
1598408513,85221376
1598408514,85221376
1598408515,85221376
1598408516,85221376
1598408517,85221376
1598408518,85221376
1598408519,85221376
1598408520,85221376
1598408521,85221376
1598408522,85221376
1598408523,85221376
1598408524,85221376
1598408525,85221376
1598408526,85221376
1598408527,91774976
1598408528,92954624
1598408529,92954624
1598408530,93347840
1598408531,93347840
1598408532,93347840
1598408533,93347840
1598408534,93347840
1598408535,93347840
1598408536,93609984
1598408537,93609984
1598408538,93609984
1598408539,93609984
1598408540,93609984
1598408541,93609984
1598408542,93609984
1598408543,93609984
1598408544,93609984
1598408545,93609984
1598408546,93609984
1598408547,93609984
1598408548,93609984
1598408549,93609984
1598408550,93872128
1598408551,93872128
1598408552,93872128
1598408554,93872128
1598408554,93872128
1598408555,93872128
1598408556,93872128
1598408557,93872128
1598408558,93872128
1598408559,93872128
1598408560,93872128
1598408561,93872128
1598408562,93872128
1598408563,94658560
1598408564,94920704
1598408565,95051776
1598408566,95051776
1598408567,95051776
1598408568,95051776
1598408569,95313920
1598408570,95313920
1598408571,95313920
1598408572,95313920
1598408573,95313920
1598408574,95313920
1598408575,95313920
1598408576,95313920
1598408577,95313920
1598408578,95313920
1598408579,95313920
1598408580,95313920
1598408581,95313920
1598408582,95313920
1598408583,95313920
1598408584,95313920
1598408585,95313920
1598408586,95313920
1598408587,95313920
1598408588,95313920
1598408589,95313920
1598408590,95313920
1598408591,95313920
1598408592,95313920
1598408593,95313920
1598408594,95313920
1598408595,95313920
1598408596,95313920
1598408597,95313920
1598408598,95313920
1598408599,95313920
1598408600,95313920
1598408601,95313920
1598408602,95313920
1598408603,95313920
1598408604,95313920
1598408605,95313920
1598408606,95313920
1598408607,95313920
1598408608,95313920
1598408609,95313920
1598408610,95313920
1598408611,95313920
1598408612,95313920
1598408613,95313920
1598408614,95313920
1598408615,95313920
