t,value
1598408286,0
1598408287,0
1598408288,0
1598408289,0
1598408290,0
1598408291,0
1598408292,0
1598408293,0
1598408294,0
1598408295,0
1598408296,0
1598408297,0
1598408298,0
1598408299,0
1598408300,56
1598408301,56
1598408302,56
1598408303,56
1598408304,56
1598408305,56
1598408306,56
1598408307,56
1598408308,56
1598408309,56
1598408310,222
1598408311,222
1598408312,222
1598408313,222
1598408314,222
1598408315,222
1598408316,222
1598408317,222
1598408318,222
1598408319,222
1598408320,222
1598408321,222
1598408322,222
1598408323,222
1598408324,222
1598408325,222
1598408326,222
1598408327,222
1598408328,222
1598408329,222
1598408330,222
1598408331,222
1598408332,222
1598408333,222
1598408334,222
1598408335,222
1598408336,222
1598408337,222
1598408338,222
1598408339,222
1598408340,222
1598408341,222
1598408342,222
1598408343,222
1598408344,222
1598408345,222
1598408346,222
1598408347,222
1598408348,222
1598408349,222
1598408350,222
1598408351,222
1598408352,222
1598408353,222
1598408354,222
1598408355,222
1598408356,222
1598408357,222
1598408358,222
1598408359,222
1598408360,222
1598408361,222
1598408362,222
1598408363,222
1598408364,222
1598408365,222
1598408366,222
1598408367,222
1598408368,222
1598408369,222
1598408370,222
1598408371,222
1598408372,222
1598408373,222
1598408374,222
1598408375,222
1598408376,222
1598408377,222
1598408378,222
1598408379,222
1598408380,222
1598408381,222
1598408382,222
1598408383,222
1598408384,222
1598408385,222
1598408386,222
1598408387,222
1598408388,222
1598408389,222
1598408390,222
1598408391,222
1598408392,222
1598408393,222
1598408394,222
1598408395,222
1598408396,222
1598408397,222
1598408398,222
1598408399,222
1598408400,222
1598408401,222
1598408402,222
1598408403,222
1598408404,222
1598408405,222
1598408406,222
1598408407,222
1598408408,222
1598408409,222
1598408410,222
1598408411,222
1598408412,222
1598408413,222
1598408414,222
1598408415,222
1598408416,222
1598408417,222
1598408418,222
1598408419,222
1598408420,222
1598408421,222
1598408422,222
1598408423,222
1598408424,222
1598408425,222
1598408426,222
1598408427,222
1598408428,222
1598408429,222
1598408430,222
1598408431,222
1598408432,222
1598408433,222
1598408434,222
1598408435,222
1598408436,222
1598408437,222
1598408438,222
1598408439,222
1598408440,222
1598408441,222
1598408442,222
1598408443,222
1598408444,222
1598408445,222
1598408446,222
1598408447,222
1598408448,222
1598408449,222
1598408450,222
1598408451,222
1598408452,222
1598408453,222
1598408454,222
1598408455,222
1598408456,222
1598408457,222
1598408458,222
1598408459,222
1598408460,222
1598408461,222
1598408462,222
1598408463,222
1598408464,222
1598408465,222
1598408466,222
1598408467,222
1598408468,222
1598408469,222
1598408470,222
1598408471,222
1598408472,222
1598408473,222
1598408474,222
1598408475,222
1598408476,222
1598408477,222
1598408478,222
1598408479,222
1598408480,222
1598408481,222
1598408482,222
1598408483,222
1598408484,222
1598408485,222
1598408486,222
1598408487,222
1598408488,222
1598408489,222
1598408490,222
1598408491,222
1598408492,222
1598408493,222
1598408494,222
1598408495,222
1598408496,222
1598408497,222
1598408498,222
1598408499,222
1598408500,222
1598408501,222
1598408502,222
1598408503,222
1598408504,222
1598408505,222
1598408506,222
1598408507,222
1598408508,222
1598408509,222
1598408510,222
1598408511,222
1598408512,222
1598408513,222
1598408514,222
1598408515,222
1598408516,222
1598408517,222
1598408518,222
1598408519,222
1598408520,222
1598408521,222
1598408522,222
1598408523,222
1598408524,222
1598408525,222
1598408526,222
1598408527,222
1598408528,222
1598408529,222
1598408530,222
1598408531,222
1598408532,222
1598408533,222
1598408534,222
1598408535,222
1598408536,222
1598408537,222
1598408538,222
1598408539,222
1598408540,222
1598408541,222
1598408542,222
1598408543,222
1598408544,222
1598408545,222
1598408546,222
1598408547,222
1598408548,222
1598408549,222
1598408550,222
1598408551,949
1598408552,949
1598408553,949
1598408554,949
1598408555,949
1598408556,949
1598408557,949
1598408558,949
1598408559,949
1598408560,949
1598408561,949
1598408562,949
1598408563,949
1598408564,949
1598408565,949
1598408566,949
1598408567,949
1598408568,949
1598408569,949
1598408570,949
1598408571,949
1598408572,949
1598408573,949
1598408574,949
1598408575,949
1598408576,949
1598408577,949
1598408578,949
1598408579,949
1598408580,949
1598408581,949
1598408582,949
1598408583,949
1598408584,949
1598408585,949
1598408586,949
1598408587,949
1598408588,949
1598408589,949
1598408590,949
1598408591,949
1598408592,949
1598408593,949
1598408594,949
1598408595,949
1598408596,949
1598408597,949
1598408598,949
1598408599,949
1598408600,949
1598408601,949
1598408602,949
1598408603,949
1598408604,949
1598408605,949
1598408606,949
1598408607,949
1598408608,949
1598408609,949
1598408610,949
1598408611,949
1598408612,949
1598408613,949
1598408614,949
1598408615,949
1598408616,949
1598408617,949
1598408618,949
1598408619,949
1598408620,949
1598408621,949
1598408622,949
1598408623,949
1598408624,949
1598408625,949
1598408626,949
1598408627,949
1598408628,949
1598408629,949
1598408630,949
1598408631,949
1598408632,949
1598408633,949
1598408634,949
1598408635,949
1598408636,949
1598408637,949
1598408638,949
1598408639,949
1598408640,949
1598408641,949
1598408642,949
1598408643,949
1598408644,949
1598408645,949
1598408646,949
1598408647,949
1598408648,949
1598408649,949
1598408650,949
1598408651,949
1598408652,949
1598408653,949
1598408654,949
1598408655,949
1598408656,949
1598408657,949
1598408658,949
1598408659,949
1598408660,949
1598408661,949
1598408662,949
1598408663,949
1598408664,949
1598408665,949
1598408666,949
1598408667,949
1598408668,949
1598408669,949
1598408670,949
1598408671,949
1598408672,949
1598408673,949
1598408674,949
1598408675,949
1598408676,949
1598408677,949
1598408678,949
1598408679,949
1598408680,949
1598408681,949
1598408682,949
1598408683,949
1598408684,949
1598408685,949
1598408686,949
1598408687,949
1598408688,949
1598408689,949
1598408690,949
1598408691,949
1598408692,949
1598408693,949
1598408694,949
1598408695,949
1598408696,949
1598408697,949
1598408698,949
