t,value
1598408286,6990768
1598408287,6990768
1598408288,6990768
1598408289,6990768
1598408290,6990768
1598408291,6990768
1598408292,6990768
1598408293,6990768
1598408294,6990768
1598408295,10109760
1598408296,10109760
1598408297,10109760
1598408298,10109760
1598408299,10109760
1598408300,10109760
1598408301,10109760
1598408302,10109760
1598408303,23759792
1598408304,23759792
1598408305,23759792
1598408306,23759792
1598408307,23759792
1598408308,23759792
1598408309,23759792
1598408310,23759792
1598408311,23759792
1598408312,23759792
1598408313,23759792
1598408314,23759792
1598408315,23759792
1598408316,23759792
1598408317,23759792
1598408318,23759792
1598408319,23759792
1598408320,23759792
1598408321,23759792
1598408322,23759792
1598408323,23759792
1598408324,23759792
1598408325,23759792
1598408326,23759792
1598408327,23759792
1598408328,23759792
1598408329,23759792
1598408330,23759792
1598408331,23759792
1598408332,23759792
1598408333,23759792
1598408334,23759792
1598408335,23759792
1598408336,23759792
1598408337,23759792
1598408338,23759792
1598408339,23759792
1598408340,23759792
1598408341,23759792
1598408342,23759792
1598408343,23759792
1598408344,23759792
1598408345,23759792
1598408346,23759792
1598408347,23759792
1598408348,23759792
1598408349,23759792
1598408350,23759792
1598408351,23759792
1598408352,23759792
1598408353,23759792
1598408354,23759792
1598408355,23759792
1598408356,23759792
1598408357,23759792
1598408358,23759792
1598408359,23759792
1598408360,23759792
1598408361,23759792
1598408362,23759792
1598408363,23759792
1598408364,23759792
1598408365,23759792
1598408366,23759792
1598408367,23759792
1598408368,23759792
1598408369,23759792
1598408370,23759792
1598408371,23759792
1598408372,23759792
1598408373,23759792
1598408374,23759792
1598408375,23759792
1598408376,23759792
1598408377,23759792
1598408378,23759792
1598408379,23759792
1598408380,23759792
1598408381,23759792
1598408382,23759792
1598408383,23759792
1598408384,23759792
1598408385,23759792
1598408386,23759792
1598408387,23759792
1598408388,23759792
1598408389,23759792
1598408390,23759792
1598408391,23759792
1598408392,23759792
1598408393,23759792
1598408394,23759792
1598408395,23759792
1598408396,23759792
1598408397,23759792
1598408398,23759792
1598408399,23759792
1598408400,23759792
1598408401,23759792
1598408402,23759792
1598408403,23759792
1598408404,23759792
1598408405,23759792
1598408406,23759792
1598408407,23759792
1598408408,23759792
1598408409,23759792
1598408410,23759792
1598408411,23759792
1598408412,23759792
1598408413,23759792
1598408414,23759792
1598408415,23759792
1598408416,23759792
1598408417,23759792
1598408418,23759792
1598408419,23759792
1598408420,23759792
1598408421,23759792
1598408422,23759792
1598408423,23759792
1598408424,23759792
1598408425,23759792
1598408426,23759792
1598408427,23759792
1598408428,23759792
1598408429,23759792
1598408430,23759792
1598408431,23759792
1598408432,23759792
1598408433,23759792
1598408434,23759792
1598408435,23759792
1598408436,23759792
1598408437,23759792
1598408438,23759792
1598408439,23759792
1598408440,23759792
1598408441,23759792
1598408442,23759792
1598408443,23759792
1598408444,23759792
1598408445,23759792
1598408446,23759792
1598408447,23759792
1598408448,23759792
1598408449,23759792
1598408450,23759792
1598408451,23759792
1598408452,23759792
1598408453,23759792
1598408454,23759792
1598408455,23759792
1598408456,23759792
1598408457,23759792
1598408458,23759792
1598408459,23759792
1598408460,23759792
1598408461,23759792
1598408462,23759792
1598408463,23759792
1598408464,23759792
1598408465,23759792
1598408466,23759792
1598408467,23759792
1598408468,23759792
1598408469,23759792
1598408470,23759792
1598408471,23759792
1598408472,23759792
1598408473,23759792
1598408474,23759792
1598408475,23759792
1598408476,23759792
1598408477,23759792
1598408478,23759792
1598408479,23759792
1598408480,23759792
1598408481,23759792
1598408482,23759792
1598408483,23759792
1598408484,23759792
1598408485,23759792
1598408486,23759792
1598408487,23759792
1598408488,23759792
1598408489,23759792
1598408490,23759792
1598408491,23759792
1598408492,23759792
1598408493,23759792
1598408494,23759792
1598408495,23759792
1598408496,23759792
1598408497,23759792
1598408498,23759792
1598408499,23759792
1598408500,23759792
1598408501,23759792
1598408502,23759792
1598408503,23759792
1598408504,23759792
1598408505,23759792
1598408506,23759792
1598408507,23759792
1598408508,23759792
1598408509,23759792
1598408510,23759792
1598408511,23759792
1598408512,23759792
1598408513,23759792
1598408514,23759792
1598408515,23759792
1598408516,23759792
1598408517,23759792
1598408518,23759792
1598408519,23759792
1598408520,23759792
1598408521,23759792
1598408522,23759792
1598408523,23759792
1598408524,23759792
1598408525,23759792
1598408526,23759792
1598408527,23759792
1598408528,23759792
1598408529,23759792
1598408530,23759792
1598408531,23759792
1598408532,23759792
1598408533,23759792
1598408534,23759792
1598408535,23759792
1598408536,23759792
1598408537,23759792
1598408538,23759792
1598408539,23759792
1598408540,23759792
1598408541,23759792
1598408542,23759792
1598408543,23759792
1598408544,23759792
1598408545,23759792
1598408546,23759792
1598408547,23759792
1598408548,23759792
1598408549,23759792
1598408550,231004816
1598408551,231004816
1598408552,231004816
1598408553,231004816
1598408554,231004816
1598408555,231004816
1598408556,231004816
1598408557,231004816
1598408558,231004816
1598408559,231004816
1598408560,231004816
1598408561,231004816
1598408562,231004816
1598408563,231004816
1598408564,231004816
1598408565,231004816
1598408566,231004816
1598408567,231004816
1598408568,231004816
1598408569,231004816
1598408570,231004816
1598408571,231004816
1598408572,231004816
1598408573,231004816
1598408574,231004816
1598408575,231004816
1598408576,231004816
1598408577,231004816
1598408578,231004816
