t,count
1598408286,0
1598408287,0
1598408288,0
1598408289,0
1598408290,0
1598408291,0
1598408292,0
1598408293,0
1598408294,0
1598408295,0
1598408296,0
1598408297,2
1598408298,2
1598408299,2
1598408300,2
1598408301,2
1598408302,2
1598408303,2
1598408304,2
1598408305,2
1598408306,2
1598408307,2
1598408308,2
1598408309,2
1598408310,2
1598408311,2
1598408312,2
1598408313,2
1598408314,2
1598408315,2
1598408316,2
1598408317,2
1598408318,2
1598408319,2
1598408320,2
1598408321,2
1598408322,2
1598408323,2
1598408324,2
1598408325,2
1598408326,2
1598408327,2
1598408328,2
1598408329,2
1598408330,2
1598408331,2
1598408332,2
1598408333,2
1598408334,2
1598408335,2
1598408336,2
1598408337,2
1598408338,2
1598408339,2
1598408340,2
1598408341,2
1598408342,2
1598408343,2
1598408344,2
1598408345,2
1598408346,2
1598408347,2
1598408348,2
1598408349,2
1598408350,2
1598408351,2
1598408352,2
1598408353,2
1598408354,2
1598408355,2
1598408356,2
1598408357,2
1598408358,2
1598408359,2
1598408360,2
1598408361,4
1598408362,4
1598408363,4
1598408364,4
1598408365,4
1598408366,4
1598408367,4
1598408368,4
1598408369,4
1598408370,4
1598408371,4
1598408372,4
1598408373,4
1598408374,4
1598408375,4
1598408376,4
1598408377,4
1598408378,4
1598408379,4
1598408380,4
1598408381,4
1598408382,4
1598408383,4
1598408384,4
1598408385,4
1598408386,4
1598408387,4
1598408388,4
1598408389,4
1598408390,4
1598408391,4
1598408392,4
1598408393,4
1598408394,4
1598408395,4
1598408396,4
1598408397,4
1598408398,4
1598408399,4
1598408400,4
1598408401,4
1598408402,4
1598408403,4
1598408404,4
1598408405,4
1598408406,4
1598408407,4
1598408408,4
1598408409,4
1598408410,4
1598408411,4
1598408412,4
1598408413,4
1598408414,4
1598408415,4
1598408416,4
1598408417,4
1598408418,4
1598408419,4
1598408420,4
1598408421,4
1598408422,4
1598408423,4
1598408424,4
1598408425,4
1598408426,4
1598408427,4
1598408428,4
1598408429,4
1598408430,4
1598408431,4
1598408432,4
1598408433,4
1598408434,4
1598408435,4
1598408436,4
1598408437,4
1598408438,4
1598408439,4
1598408440,4
1598408441,4
1598408442,4
1598408443,4
1598408444,4
1598408445,4
1598408446,4
1598408447,4
1598408448,4
1598408449,4
1598408450,4
1598408451,4
1598408452,4
1598408453,4
1598408454,4
1598408455,4
1598408456,4
1598408457,4
1598408458,4
1598408459,4
1598408460,4
1598408461,4
1598408462,4
1598408463,4
1598408464,4
1598408465,4
1598408466,4
1598408467,4
1598408468,4
1598408469,4
1598408470,4
1598408471,4
1598408472,4
1598408473,4
1598408474,4
1598408475,4
1598408476,4
1598408477,4
1598408478,4
1598408479,4
1598408480,4
1598408481,4
1598408482,4
1598408483,4
1598408484,4
1598408485,4
1598408486,4
1598408487,4
1598408488,4
1598408489,4
1598408490,4
1598408491,4
1598408492,4
1598408493,4
1598408494,4
1598408495,4
1598408496,4
1598408497,4
1598408498,4
1598408499,4
1598408500,4
1598408501,4
1598408502,4
1598408503,4
1598408504,4
1598408505,4
1598408506,4
1598408507,4
1598408508,4
1598408509,4
1598408510,4
1598408511,4
1598408512,4
1598408513,4
1598408514,4
1598408515,4
1598408516,4
1598408517,4
1598408518,4
1598408519,4
1598408520,4
1598408521,4
1598408522,4
1598408523,4
1598408524,4
1598408525,4
1598408526,4
1598408527,4
1598408528,4
1598408529,4
1598408530,4
1598408531,5
1598408532,5
1598408533,5
1598408534,5
1598408535,5
1598408536,5
1598408537,5
1598408538,5
1598408539,5
1598408540,5
1598408541,5
1598408542,5
1598408543,5
1598408544,5
1598408545,5
1598408546,5
1598408547,5
1598408548,5
1598408549,5
1598408550,5
1598408551,5
1598408552,5
1598408553,5
1598408554,5
1598408555,5
1598408556,5
1598408557,5
1598408558,5
1598408559,5
1598408560,5
1598408561,5
1598408562,5
1598408563,5
1598408564,5
1598408565,5
1598408566,5
1598408567,5
1598408568,5
1598408569,5
1598408570,5
1598408571,5
1598408572,5
1598408573,5
1598408574,5
1598408575,5
1598408576,5
1598408577,5
1598408578,5
1598408579,5
1598408580,5
1598408581,5
1598408582,5
1598408583,5
1598408584,5
1598408585,5
1598408586,5
1598408587,5
1598408588,5
1598408589,5
1598408590,5
1598408591,5
1598408592,5
1598408593,5
1598408594,5
1598408595,5
1598408596,5
1598408597,5
1598408598,5
1598408599,5
1598408600,5
1598408601,5
1598408602,5
1598408603,5
1598408604,5
1598408605,5
1598408606,5
1598408607,5
1598408608,5
1598408609,5
1598408610,5
1598408611,5
1598408612,5
1598408613,5
1598408614,5
1598408615,5
1598408616,5
1598408617,5
1598408618,5
1598408619,5
1598408620,5
1598408621,5
1598408622,5
1598408623,5
1598408624,5
1598408625,5
1598408626,5
1598408627,5
1598408628,5
1598408629,5
1598408630,5
1598408631,5
1598408632,5
1598408633,5
1598408634,5
1598408635,5
1598408636,5
1598408637,5
1598408638,5
1598408639,5
1598408640,5
1598408641,5
1598408642,5
1598408643,5
1598408644,5
1598408645,5
1598408646,5
1598408647,5
1598408648,5
1598408649,5
1598408650,5
1598408651,5
1598408652,5
1598408653,5
1598408654,5
1598408655,5
1598408656,5
1598408657,5
1598408658,5
1598408659,5
1598408660,5
1598408661,5
1598408662,5
1598408663,5
1598408664,5
1598408665,5
1598408666,5
1598408667,5
1598408668,5
1598408669,5
1598408670,5
1598408671,5
1598408672,5
1598408673,5
1598408674,5
1598408675,5
1598408676,5
1598408677,5
1598408678,5
1598408679,5
1598408680,5
1598408681,5
1598408682,5
1598408683,5
1598408684,5
1598408685,5
1598408686,5
1598408687,5
1598408688,5
1598408689,5
1598408690,5
1598408691,5
1598408692,5
1598408693,5
1598408694,5
1598408695,5
1598408696,5
1598408697,5
1598408698,5
