t,value
1598408286,22
1598408287,22
1598408288,22
1598408289,22
1598408290,22
1598408291,22
1598408292,22
1598408293,22
1598408294,22
1598408295,54
1598408296,54
1598408297,54
1598408298,54
1598408299,54
1598408300,54
1598408301,54
1598408302,54
1598408303,225
1598408304,225
1598408305,225
1598408306,225
1598408307,225
1598408308,225
1598408309,225
1598408310,225
1598408311,225
1598408312,225
1598408313,225
1598408314,225
1598408315,225
1598408316,225
1598408317,225
1598408318,225
1598408319,225
1598408320,225
1598408321,225
1598408322,225
1598408323,225
1598408324,225
1598408325,225
1598408326,225
1598408327,225
1598408328,225
1598408329,225
1598408330,225
1598408331,225
1598408332,225
1598408333,225
1598408334,225
1598408335,225
1598408336,225
1598408337,225
1598408338,225
1598408339,225
1598408340,225
1598408341,225
1598408342,225
1598408343,225
1598408344,225
1598408345,225
1598408346,225
1598408347,225
1598408348,225
1598408349,225
1598408350,225
1598408351,225
1598408352,225
1598408353,225
1598408354,225
1598408355,225
1598408356,225
1598408357,225
1598408358,225
1598408359,225
1598408360,225
1598408361,225
1598408362,225
1598408363,225
1598408364,225
1598408365,225
1598408366,225
1598408367,225
1598408368,225
1598408369,225
1598408370,225
1598408371,225
1598408372,225
1598408373,225
1598408374,225
1598408375,225
1598408376,225
1598408377,225
1598408378,225
1598408379,225
1598408380,225
1598408381,225
1598408382,225
1598408383,225
1598408384,225
1598408385,225
1598408386,225
1598408387,225
1598408388,225
1598408389,225
1598408390,225
1598408391,225
1598408392,225
1598408393,225
1598408394,225
1598408395,225
1598408396,225
1598408397,225
1598408398,225
1598408399,225
1598408400,225
1598408401,225
1598408402,225
1598408403,225
1598408404,225
1598408405,225
1598408406,225
1598408407,225
1598408408,225
1598408409,225
1598408410,225
1598408411,225
1598408412,225
1598408413,225
1598408414,225
1598408415,225
1598408416,225
1598408417,225
1598408418,225
1598408419,225
1598408420,225
1598408421,225
1598408422,225
1598408423,225
1598408424,225
1598408425,225
1598408426,225
1598408427,225
1598408428,225
1598408429,225
1598408430,225
1598408431,225
1598408432,225
1598408433,225
1598408434,225
1598408435,225
1598408436,225
1598408437,225
1598408438,225
1598408439,225
1598408440,225
1598408441,225
1598408442,225
1598408443,225
1598408444,225
1598408445,225
1598408446,225
1598408447,225
1598408448,225
1598408449,225
1598408450,225
1598408451,225
1598408452,225
1598408453,225
1598408454,225
1598408455,225
1598408456,225
1598408457,225
1598408458,225
1598408459,225
1598408460,225
1598408461,225
1598408462,225
1598408463,225
1598408464,225
1598408465,225
1598408466,225
1598408467,225
1598408468,225
1598408469,225
1598408470,225
1598408471,225
1598408472,225
1598408473,225
1598408474,225
1598408475,225
1598408476,225
1598408477,225
1598408478,225
1598408479,225
1598408480,225
1598408481,225
1598408482,225
1598408483,225
1598408484,225
1598408485,225
1598408486,225
1598408487,225
1598408488,225
1598408489,225
1598408490,225
1598408491,225
1598408492,225
1598408493,225
1598408494,225
1598408495,225
1598408496,225
1598408497,225
1598408498,225
1598408499,225
1598408500,225
1598408501,225
1598408502,225
1598408503,225
1598408504,225
1598408505,225
1598408506,225
1598408507,225
1598408508,225
1598408509,225
1598408510,225
1598408511,225
1598408512,225
1598408513,225
1598408514,225
1598408515,225
1598408516,225
1598408517,225
1598408518,225
1598408519,225
1598408520,225
1598408521,225
1598408522,225
1598408523,225
1598408524,225
1598408525,225
1598408526,225
1598408527,225
1598408528,225
1598408529,225
1598408530,225
1598408531,225
1598408532,225
1598408533,225
1598408534,225
1598408535,225
1598408536,225
1598408537,225
1598408538,225
1598408539,225
1598408540,225
1598408541,225
1598408542,225
1598408543,225
1598408544,225
1598408545,225
1598408546,225
1598408547,225
1598408548,225
1598408549,225
1598408550,925
1598408551,925
1598408552,925
1598408553,925
1598408554,925
1598408555,925
1598408556,925
1598408557,925
1598408558,925
1598408559,925
1598408560,925
1598408561,925
1598408562,925
1598408563,925
1598408564,925
1598408565,925
1598408566,925
1598408567,925
1598408568,925
1598408569,925
1598408570,925
1598408571,925
1598408572,925
1598408573,925
1598408574,925
1598408575,925
1598408576,925
1598408577,925
1598408578,925
1598408579,925
1598408580,925
1598408581,925
1598408582,925
1598408583,925
1598408584,925
1598408585,925
1598408586,925
1598408587,925
1598408588,925
1598408589,925
1598408590,925
1598408591,925
1598408592,925
1598408593,925
1598408594,925
1598408595,925
1598408596,925
1598408597,925
1598408598,925
1598408599,925
1598408600,925
1598408601,925
1598408602,925
1598408603,925
1598408604,925
1598408605,925
1598408606,925
1598408607,925
1598408608,925
1598408609,925
1598408610,925
1598408611,925
1598408612,925
1598408613,925
1598408614,925
1598408615,925
1598408616,925
1598408617,925
1598408618,925
1598408619,925
1598408620,925
1598408621,925
1598408622,925
1598408623,925
1598408624,925
1598408625,925
1598408626,925
1598408627,925
1598408628,925
1598408629,925
1598408630,925
1598408631,925
1598408632,925
1598408633,925
1598408634,925
1598408635,925
1598408636,925
1598408637,925
1598408638,925
1598408639,925
1598408640,925
1598408641,925
1598408642,925
1598408643,925
1598408644,925
1598408645,925
1598408646,925
1598408647,925
1598408648,925
1598408649,925
1598408650,925
1598408651,925
1598408652,925
1598408653,925
1598408654,925
1598408655,925
1598408656,925
1598408657,925
1598408658,925
1598408659,925
1598408660,925
1598408661,925
1598408662,925
1598408663,925
1598408664,925
1598408665,925
1598408666,925
1598408667,925
1598408668,925
1598408669,925
1598408670,925
1598408671,925
1598408672,925
1598408673,925
1598408674,925
1598408675,925
1598408676,925
1598408677,925
1598408678,925
1598408679,925
1598408680,925
1598408681,925
1598408682,925
1598408683,925
1598408684,925
1598408685,925
1598408686,925
1598408687,925
1598408688,925
1598408689,925
1598408690,925
1598408691,925
1598408692,925
1598408693,925
1598408694,925
1598408695,925
1598408696,925
1598408697,925
1598408698,925
1598408699,925
1598408700,925
1598408701,925
1598408702,925
1598408703,925
1598408704,925
1598408705,925
1598408706,925
1598408707,925
