t,value
1598408286,-4.3018288E7
1598408287,-4.3320432E7
1598408288,-4.5251312E7
1598408289,-4.5601E7
1598408290,-4.6037488E7
1598408291,-4.6182184E7
1598408292,-4.6206912E7
1598408293,-4.6263408E7
1598408294,-4.6336792E7
1598408295,-4.8582792E7
1598408296,-5.831768E7
1598408297,-6.6256E7
1598408298,-6.6353976E7
1598408299,-6.6657216E7
1598408300,-6.7160792E7
1598408301,-6.716988E7
1598408302,-6.7198528E7
1598408303,-7.2380384E7
1598408304,-8.6506496E7
1598408305,-9.8044496E7
1598408306,-1.0027232E8
1598408307,-1.0055172E8
1598408308,-1.00796E8
1598408309,-1.01202472E8
1598408310,-1.01625216E8
1598408311,-1.01698944E8
1598408312,-1.00747312E8
1598408313,-1.0057404E8
1598408314,-1.006934E8
1598408315,-1.00713432E8
1598408316,-1.0075244E8
1598408317,-1.0077404E8
1598408318,-1.00863616E8
1598408319,-1.00932112E8
1598408320,-1.01133752E8
1598408321,-1.01194864E8
1598408322,-1.01221184E8
1598408323,-1.00927456E8
1598408324,-1.01062632E8
1598408325,-1.01093248E8
1598408326,-1.01101696E8
1598408327,-1.01116736E8
1598408328,-1.01199144E8
1598408329,-1.01341992E8
1598408330,-1.01417408E8
1598408331,-1.01403224E8
1598408332,-1.01305728E8
1598408333,-1.01133464E8
1598408334,-1.01198328E8
1598408335,-1.01324616E8
1598408336,-1.01393168E8
1598408337,-1.01397848E8
1598408338,-1.01397848E8
1598408339,-1.0156768E8
1598408340,-1.0160048E8
1598408341,-1.015904E8
1598408342,-1.01607128E8
1598408343,-1.0160764E8
1598408344,-1.01608816E8
1598408345,-1.01618432E8
1598408346,-1.01630376E8
1598408347,-1.01654232E8
1598408348,-1.01654232E8
1598408349,-1.02512808E8
1598408350,-1.05357624E8
1598408351,-1.05932976E8
1598408352,-1.06129472E8
1598408353,-1.06159496E8
1598408354,-1.0621408E8
1598408355,-1.06181256E8
1598408356,-1.0616596E8
1598408357,-1.0619088E8
1598408358,-1.06220712E8
1598408359,-1.06277192E8
1598408360,-1.06292168E8
1598408361,-1.06642528E8
1598408362,-1.06642528E8
1598408363,-1.06540048E8
1598408364,-1.06585072E8
1598408365,-1.06593904E8
1598408366,-1.06593904E8
1598408367,-1.06593904E8
1598408368,-1.06532872E8
1598408369,-1.06544576E8
1598408370,-1.06574816E8
1598408371,-1.065902E8
1598408372,-1.06594888E8
1598408373,-1.06607808E8
1598408374,-1.06611328E8
1598408375,-1.0661964E8
1598408376,-1.06669208E8
1598408377,-1.06716832E8
1598408378,-1.0673176E8
1598408379,-1.06733744E8
1598408380,-1.06821464E8
1598408381,-1.06728792E8
1598408382,-1.06404808E8
1598408383,-1.06305184E8
1598408384,-1.06151968E8
1598408385,-1.05504224E8
1598408386,-1.05504224E8
1598408387,-1.05626728E8
1598408388,-1.05659168E8
1598408389,-1.05667096E8
1598408390,-1.0566936E8
1598408391,-1.0567064E8
1598408392,-1.05666936E8
1598408393,-1.0566364E8
1598408394,-1.0526556E8
1598408395,-1.05277264E8
1598408396,-1.05277264E8
1598408397,-1.05298064E8
1598408398,-1.05321496E8
1598408399,-1.05321496E8
1598408400,-1.0541884E8
1598408401,-1.0541884E8
1598408402,-1.05420112E8
1598408403,-1.05466824E8
1598408404,-1.05468416E8
1598408405,-1.05468704E8
1598408406,-1.0548124E8
1598408407,-1.054874E8
1598408408,-1.0545428E8
1598408409,-1.05455368E8
1598408410,-1.05477424E8
1598408411,-1.05548648E8
1598408412,-1.0555076E8
1598408413,-1.0556028E8
1598408414,-1.05591008E8
1598408415,-1.05596968E8
1598408416,-1.05584544E8
1598408417,-1.0557232E8
1598408418,-1.05571424E8
1598408419,-1.05571424E8
1598408420,-1.05580488E8
1598408421,-1.05633456E8
1598408422,-1.05641896E8
1598408423,-1.05659048E8
1598408424,-1.05661584E8
1598408425,-1.05659832E8
1598408426,-1.05659832E8
1598408427,-1.0571644E8
1598408428,-1.0576224E8
1598408429,-1.0576608E8
1598408430,-1.05772848E8
1598408431,-1.05772848E8
1598408432,-1.05772848E8
1598408433,-1.05772848E8
1598408434,-1.05798088E8
1598408435,-1.05798088E8
1598408436,-1.05798088E8
1598408437,-1.05798216E8
1598408438,-1.05798216E8
1598408439,-1.05741664E8
1598408440,-1.05755328E8
1598408441,-1.05756992E8
1598408442,-1.05757696E8
1598408443,-1.05759424E8
1598408444,-1.05759424E8
1598408445,-1.05763416E8
1598408446,-1.0575832E8
1598408447,-1.0575832E8
1598408448,-1.0575832E8
1598408449,-1.05784336E8
1598408450,-1.05789328E8
1598408451,-1.05851248E8
1598408452,-1.05852536E8
1598408453,-1.05853752E8
1598408454,-1.0586348E8
1598408455,-1.058878E8
1598408456,-1.058878E8
1598408457,-1.05837504E8
1598408458,-1.058384E8
1598408459,-1.058384E8
1598408460,-1.05852672E8
1598408461,-1.05852672E8
1598408462,-1.05852672E8
1598408463,-1.05853376E8
1598408464,-1.05859904E8
1598408465,-1.05859904E8
1598408466,-1.05859904E8
1598408467,-1.05873368E8
1598408468,-1.0589776E8
1598408469,-1.0589776E8
1598408470,-1.05913208E8
1598408471,-1.05919736E8
1598408472,-1.06045368E8
1598408473,-1.06045368E8
1598408474,-1.06062912E8
1598408475,-1.0609024E8
1598408476,-1.0609024E8
1598408477,-1.060544E8
1598408478,-1.06059784E8
1598408479,-1.06059784E8
1598408480,-1.06104768E8
1598408481,-1.0610776E8
1598408482,-1.06108464E8
1598408483,-1.06108464E8
1598408484,-1.06114792E8
1598408485,-1.06150952E8
1598408486,-1.06174656E8
1598408487,-1.06175232E8
1598408488,-1.06175232E8
1598408489,-1.06176512E8
1598408490,-1.06187304E8
1598408491,-1.0616836E8
1598408492,-1.06207576E8
1598408493,-1.06206808E8
1598408494,-1.06209688E8
1598408495,-1.06210264E8
1598408496,-1.06210264E8
1598408497,-1.06210264E8
1598408498,-1.06226456E8
1598408499,-1.06232024E8
1598408500,-1.06236456E8
1598408501,-1.06237608E8
1598408502,-1.06237352E8
1598408503,-1.06259496E8
1598408504,-1.0628236E8
1598408505,-1.0628236E8
1598408506,-1.0628236E8
1598408507,-1.0628236E8
1598408508,-1.0628236E8
1598408509,-1.0628236E8
1598408510,-1.06279568E8
1598408511,-1.06281488E8
1598408512,-1.06281488E8
1598408513,-1.06281488E8
1598408514,-1.0628168E8
1598408515,-1.0628168E8
1598408516,-1.0629696E8
1598408517,-1.0629696E8
1598408518,-1.0629696E8
1598408519,-1.06284736E8
1598408520,-1.06281824E8
1598408521,-1.06281824E8
1598408522,-1.06281824E8
