t,value
1598408286,343932928
1598408287,343932928
1598408288,343932928
1598408289,343932928
1598408290,343932928
1598408291,343932928
1598408292,343932928
1598408293,343932928
1598408294,482344960
1598408295,491257856
1598408296,597688320
1598408297,597688320
1598408298,597688320
1598408299,597688320
1598408300,597688320
1598408301,597688320
1598408302,597688320
1598408303,835190784
1598408304,835190784
1598408305,835190784
1598408306,836239360
1598408307,1089470464
1598408308,1089470464
1598408309,1098907648
1598408310,1098907648
1598408311,1435500544
1598408312,1435500544
1598408313,1435500544
1598408314,1455423488
1598408315,1455423488
1598408316,1455423488
1598408317,1455423488
1598408318,1708654592
1598408319,1708654592
1598408320,1708654592
1598408321,1708654592
1598408322,1708654592
1598408323,1708654592
1598408324,1708654592
1598408325,1684537344
1598408326,1684537344
1598408327,1684537344
1598408328,1684537344
1598408329,1708654592
1598408330,1708654592
1598408331,1708654592
1598408332,1708654592
1598408333,1708654592
1598408334,1708130304
1598408335,1708130304
1598408336,1708130304
1598408337,1708130304
1598408338,1708654592
1598408339,1708654592
1598408340,1708654592
1598408341,1708654592
1598408342,1630011392
1598408343,1630011392
1598408344,1630011392
1598408345,1630011392
1598408346,1575485440
1598408347,1575485440
1598408348,1575485440
1598408349,1575485440
1598408350,1575485440
1598408351,1531445248
1598408352,1531445248
1598408353,1474822144
1598408354,1474822144
1598408355,1427636224
1598408356,1383071744
1598408357,1383071744
1598408358,1340604416
1598408359,1300234240
1598408360,1261436928
1598408361,1261436928
1598408362,1224736768
1598408363,1189609472
1598408364,1156055040
1598408365,1156055040
1598408366,1124073472
1598408367,1093664768
1598408368,1064828928
1598408369,1037041664
1598408370,1010827264
1598408371,984612864
1598408372,969408512
1598408373,937426944
1598408374,923271168
1598408375,894435328
1598408376,855638016
1598408377,843579392
1598408378,819986432
1598408379,787480576
1598408380,772276224
1598408381,743964672
1598408382,718274560
1598408383,706215936
1598408384,727187456
1598408385,748158976
1598408386,737148928
1598408387,709361664
1598408388,686292992
1598408389,717750272
1598408390,694157312
1598408391,672661504
1598408392,652214272
1598408393,671612928
1598408394,650641408
1598408395,682098688
1598408396,661127168
1598408397,641728512
1598408398,661651456
1598408399,682098688
1598408400,661127168
1598408401,641728512
1598408402,662175744
1598408403,642777088
1598408404,663748608
1598408405,643825664
1598408406,626524160
1598408407,646971392
1598408408,668467200
1598408409,639107072
1598408410,621805568
1598408411,642252800
1598408412,663748608
1598408413,644349952
1598408414,626524160
1598408415,610795520
1598408416,588251136
1598408417,574095360
1598408418,555745280
1598408419,544735232
1598408420,588775424
1598408421,608174080
1598408422,585629696
1598408423,572522496
1598408424,554172416
1598408425,605028352
1598408426,583008256
1598408427,602931200
1598408428,623902720
1598408429,600309760
1598408430,585629696
1598408431,565182464
1598408432,621281280
1598408433,604504064
1598408434,583008256
1598408435,570425344
1598408436,583008256
1598408437,569376768
1598408438,552075264
