t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1598408286,14,4.474044,0.748121,0.009078,1.438659,0.073126,0.432476,4.474044,4.474044,4.474044,4.474044,2.181351,0.000000,0.000000,0.000000,calls/second,milliseconds
1598408287,23,4.474044,0.455449,0.004827,1.176880,0.068958,0.074053,3.944467,4.474044,4.474044,4.474044,3.181043,0.000000,0.000000,0.000000,calls/second,milliseconds
1598408288,23,4.474044,0.455449,0.004827,1.176880,0.068958,0.074053,3.944467,4.474044,4.474044,4.474044,2.796100,0.000000,0.000000,0.000000,calls/second,milliseconds
1598408289,50,4.632002,0.306028,0.004135,1.030036,0.006021,0.069276,3.944467,4.632002,4.632002,4.632002,5.417247,0.000000,0.000000,0.000000,calls/second,milliseconds
1598408290,50,4.632002,0.306028,0.004135,1.030036,0.006021,0.069276,3.944467,4.632002,4.632002,4.632002,4.890153,0.799556,0.165285,0.055402,calls/second,milliseconds
1598408291,50,4.632002,0.306028,0.004135,1.030036,0.006021,0.069276,3.944467,4.632002,4.632002,4.632002,4.454289,0.799556,0.165285,0.055402,calls/second,milliseconds
1598408292,50,4.632002,0.306028,0.004135,1.030036,0.006021,0.069276,3.944467,4.632002,4.632002,4.632002,4.090593,0.799556,0.165285,0.055402,calls/second,milliseconds
1598408293,50,4.632002,0.306028,0.004135,1.030036,0.006021,0.069276,3.944467,4.632002,4.632002,4.632002,3.781597,0.799556,0.165285,0.055402,calls/second,milliseconds
1598408294,51,4.632002,0.300274,0.004135,1.019663,0.006151,0.068958,3.944467,4.474044,4.632002,4.632002,3.585778,0.799556,0.165285,0.055402,calls/second,milliseconds
1598408295,54,4.632002,0.282359,0.004135,0.990374,0.006317,0.068958,3.944467,4.474044,4.632002,4.632002,3.548457,0.799591,0.175776,0.059527,calls/second,milliseconds
1598408296,61,4.632002,0.247523,0.004135,0.929920,0.007624,0.037935,1.041005,4.474044,4.632002,4.632002,3.760480,0.799591,0.175776,0.059527,calls/second,milliseconds
1598408297,517,4.632002,0.028401,0.000619,0.312584,0.001977,0.002458,0.008537,0.069450,0.141359,4.632002,30.021828,0.799591,0.175776,0.059527,calls/second,milliseconds
1598408298,1262,1.041005,0.003326,0.000346,0.030405,0.001613,0.001961,0.004964,0.009995,0.026309,0.141359,69.251625,0.799591,0.175776,0.059527,calls/second,milliseconds
1598408299,1263,1.041005,0.003332,0.000346,0.030405,0.001613,0.001963,0.005092,0.009995,0.026309,0.141359,65.709483,0.799591,0.175776,0.059527,calls/second,milliseconds
1598408300,1276,1.041005,0.003349,0.000346,0.030401,0.001619,0.001975,0.005130,0.009995,0.019664,0.141359,63.070990,20.276805,4.212448,1.413210,calls/second,milliseconds
1598408301,1281,1.041005,0.004262,0.000346,0.040665,0.001622,0.001977,0.005234,0.011761,0.031000,0.846428,60.386175,20.276805,4.212448,1.413210,calls/second,milliseconds
1598408302,1289,1.041005,0.004350,0.000346,0.040683,0.001626,0.001987,0.005446,0.013410,0.032384,0.846428,58.012951,20.276805,4.212448,1.413210,calls/second,milliseconds
1598408303,1332,1.041005,0.003492,0.000346,0.030395,0.001626,0.002009,0.005380,0.012312,0.031431,0.141359,57.375137,20.276805,4.212448,1.413210,calls/second,milliseconds
1598408304,1334,1.041005,0.003495,0.000346,0.030394,0.001628,0.002009,0.005380,0.012312,0.031431,0.141359,55.081738,20.276805,4.212448,1.413210,calls/second,milliseconds
1598408305,1336,1.041005,0.003499,0.000346,0.030392,0.001630,0.002010,0.005400,0.012312,0.031431,0.141359,52.979264,19.599037,4.337859,1.470754,calls/second,milliseconds
1598408306,1346,1.041005,0.003517,0.000346,0.030374,0.001637,0.002036,0.005446,0.012312,0.031431,0.141359,51.335997,19.599037,4.337859,1.470754,calls/second,milliseconds
1598408307,1346,1.041005,0.003517,0.000346,0.030374,0.001637,0.002036,0.005446,0.012312,0.031431,0.141359,49.445596,19.599037,4.337859,1.470754,calls/second,milliseconds
1598408308,1355,1.041005,0.003521,0.000346,0.030352,0.001642,0.002046,0.005446,0.012312,0.031431,0.141359,48.019553,19.599037,4.337859,1.470754,calls/second,milliseconds
