t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1598408286,14,61.426613,10.623537,0.104318,20.313817,0.179725,3.190403,61.426613,61.426613,61.426613,61.426613,1.694920,0.000000,0.000000,0.000000,calls/second,milliseconds
1598408287,23,61.426613,6.546990,0.104318,16.596408,0.217848,0.467721,50.355127,61.426613,61.426613,61.426613,2.535288,0.000000,0.000000,0.000000,calls/second,milliseconds
1598408288,23,61.426613,6.546990,0.104318,16.596408,0.217848,0.467721,50.355127,61.426613,61.426613,61.426613,2.284394,0.367796,0.076031,0.025485,calls/second,milliseconds
1598408289,50,61.426613,5.005628,0.067350,14.213144,0.192684,0.349108,50.355127,60.302712,61.426613,61.426613,4.516105,0.367796,0.076031,0.025485,calls/second,milliseconds
1598408290,50,61.426613,5.005628,0.067350,14.213144,0.192684,0.349108,50.355127,60.302712,61.426613,61.426613,4.143787,0.367796,0.076031,0.025485,calls/second,milliseconds
1598408291,50,61.426613,5.005628,0.067350,14.213144,0.192684,0.349108,50.355127,60.302712,61.426613,61.426613,3.826507,0.367796,0.076031,0.025485,calls/second,milliseconds
1598408292,50,61.426613,5.005628,0.067350,14.213144,0.192684,0.349108,50.355127,60.302712,61.426613,61.426613,3.555082,0.367796,0.076031,0.025485,calls/second,milliseconds
1598408293,50,61.426613,5.005628,0.067350,14.213144,0.192684,0.349108,50.355127,60.302712,61.426613,61.426613,3.319359,0.770149,0.164029,0.055260,calls/second,milliseconds
1598408294,51,61.426613,4.903589,0.067350,14.076674,0.193666,0.349108,50.355127,60.302712,61.426613,61.426613,3.174790,0.770149,0.164029,0.055260,calls/second,milliseconds
1598408295,54,61.426613,4.614465,0.067350,13.684871,0.197289,0.338887,50.355127,60.302712,61.426613,61.426613,3.165453,0.770149,0.164029,0.055260,calls/second,milliseconds
1598408296,61,61.426613,4.050364,0.067350,12.872679,0.192684,0.307521,32.460747,60.302712,61.426613,61.426613,3.377146,0.770149,0.164029,0.055260,calls/second,milliseconds
1598408297,520,61.426613,0.684431,0.067350,4.384895,0.230691,0.300204,0.476270,0.872834,13.675783,61.426613,27.272936,0.770149,0.164029,0.055260,calls/second,milliseconds
1598408298,1262,61.426613,0.420249,0.076270,3.108183,0.166845,0.231413,0.410747,0.542918,2.583084,60.302712,62.886861,20.089805,4.167837,1.397887,calls/second,milliseconds
