t,value
1598408282,44218512
1598408283,47247000
1598408284,51811848
1598408285,53677472
1598408286,57744416
1598408287,66044440
1598408288,71268880
1598408289,74150872
1598408290,74179792
1598408291,74187760
1598408292,74202344
1598408293,74207368
1598408294,74414048
1598408295,74442496
1598408296,74491976
1598408297,75535864
1598408298,77740976
1598408299,85917304
1598408300,93208576
1598408301,100886888
1598408302,103820776
1598408303,105193136
1598408304,105245272
1598408305,105256072
1598408306,105280688
1598408307,105288640
1598408308,105306464
1598408309,105316904
1598408310,105346912
1598408311,105360440
1598408312,105373096
1598408313,105378344
1598408314,105459400
1598408315,105464728
1598408316,105469800
1598408317,105473440
1598408318,105481824
1598408319,105500840
1598408320,105506232
1598408321,105513472
1598408322,105517280
1598408323,105521016
1598408324,105526352
1598408325,105529744
1598408326,105530504
1598408327,105530504
1598408328,105530824
1598408329,105544832
1598408330,105556696
1598408331,105560912
1598408332,105573608
1598408333,105575656
1598408334,105578400
1598408335,105581264
1598408336,105585992
1598408337,105588160
1598408338,105590576
1598408339,105591320
1598408340,105591480
1598408341,105617176
1598408342,105619680
1598408343,105620736
1598408344,105622384
1598408345,105622688
1598408346,105626592
1598408347,105627568
1598408348,105627944
1598408349,105628760
1598408350,106003688
1598408351,106198096
1598408352,106198096
1598408353,106203792
1598408354,106204992
1598408355,106204992
1598408356,106206648
1598408357,106206648
1598408358,106206648
1598408359,106206744
1598408360,106210080
1598408361,106250376
1598408362,106250376
1598408363,106250752
1598408364,106252304
1598408365,106260184
1598408366,106261952
1598408367,106262736
1598408368,106263520
1598408369,106263520
1598408370,106263816
1598408371,106264264
1598408372,106264264
1598408373,106265616
1598408374,106266608
1598408375,106266608
1598408376,106269640
1598408377,106269640
1598408378,106271296
1598408379,106271296
1598408380,106271296
1598408381,106273152
1598408382,106273152
1598408383,106273848
1598408384,106276832
1598408385,106287624
1598408386,106287624
1598408387,106287624
1598408388,106288400
1598408389,106288400
1598408390,106291440
1598408391,106291440
1598408392,106291440
1598408393,106314712
1598408394,106314712
1598408395,106314712
1598408396,106317056
1598408397,106317056
1598408398,106319176
1598408399,106319552
1598408400,106319552
1598408401,106330528
1598408402,106333272
1598408403,106336224
1598408404,106342168
1598408405,106342168
1598408406,106345944
1598408407,106345944
1598408408,106345944
1598408409,106347480
1598408410,106348264
1598408411,106348264
1598408412,106348264
1598408413,106348264
1598408414,106349760
1598408415,106349760
1598408416,106350824
1598408417,106351456
1598408418,106352088
1598408419,106352088
1598408420,106352088
1598408421,106355696
1598408422,106356136
1598408423,106356136
1598408424,106356136
1598408425,106356136
1598408426,106357056
1598408427,106357056
1598408428,106357056
1598408429,106357056
1598408430,106357056
1598408431,106357056
1598408432,106357056
1598408433,106357056
1598408434,106357056
1598408435,106357056
1598408436,106357056
1598408437,106357056
1598408438,106357056
1598408439,106357056
1598408440,106357056
1598408441,106357056
1598408442,106357056
1598408443,106357056
1598408444,106357056
1598408445,106357056
1598408446,106357056
1598408447,106357056
1598408448,106357056
1598408449,106357360
1598408450,106357360
1598408451,106357360
1598408452,106357360
1598408453,106357928
1598408454,106357928
1598408455,106357928
1598408456,106357928
1598408457,106357928
1598408458,106357928
1598408459,106357928
1598408460,106357928
1598408461,106359160
1598408462,106359160
1598408463,106359160
1598408464,106359160
1598408465,106359160
1598408466,106359160
1598408467,106359160
1598408468,106359160
1598408469,106360424
1598408470,106360424
1598408471,106360784
1598408472,106360784
1598408473,106360784
1598408474,106360784
1598408475,106360784
1598408476,106360784
1598408477,106360784
1598408478,106360784
1598408479,106360784
1598408480,106361264
1598408481,106365912
1598408482,106365912
1598408483,106365912
1598408484,106365912
1598408485,106365912
1598408486,106366424
1598408487,106366424
1598408488,106366424
1598408489,106366424
1598408490,106366424
1598408491,106366424
1598408492,106367856
1598408493,106367856
1598408494,106368928
1598408495,106368928
1598408496,106368928
1598408497,106368928
1598408498,106369280
1598408499,106369280
1598408500,106369280
1598408501,106369280
1598408502,106371248
1598408503,106372080
1598408504,106372080
1598408505,106372080
1598408506,106372080
1598408507,106372080
1598408508,106373968
1598408509,106375232
1598408510,106375232
1598408511,106380864
1598408512,106380864
1598408513,106380864
1598408514,106381528
1598408515,106382488
1598408516,106382488
1598408517,106382488
1598408518,106382488
1598408519,106383336
1598408520,106383336
1598408521,106387624
1598408522,106387624
1598408523,106389208
1598408524,106390592
1598408525,106390592
1598408526,106390896
1598408527,108619792
1598408528,110096808
1598408529,110100048
1598408530,110190496
1598408531,110203560
1598408532,110212912
1598408533,110215784
1598408534,110219400
1598408535,110223992
1598408536,110229632
1598408537,110252048
1598408538,110258088
1598408539,110262824
1598408540,110263200
1598408541,110282512
1598408542,110282512
1598408543,110291472
1598408544,110291832
1598408545,110291832
1598408546,110299736
1598408547,110300152
1598408548,110301896
1598408549,110304288
1598408550,110307408
1598408551,110319640
1598408552,110319640
1598408553,110321448
1598408554,110322848
1598408555,110324296
1598408556,110324672
1598408557,110325304
1598408558,110325680
1598408559,110333384
1598408560,110333384
1598408561,110336456
1598408562,110337288
1598408563,110642592
1598408564,110652168
1598408565,110710832
1598408566,110717864
1598408567,110727576
1598408568,110753200
1598408569,110753200
1598408570,110763664
1598408571,110833520
1598408572,110833520
1598408573,110833520
1598408574,110833520
1598408575,110833520
1598408576,110833520
1598408577,110833520
1598408578,110833520
1598408579,110833520
1598408580,110833520
1598408581,110833520
1598408582,110833520
1598408583,110833520
1598408584,110833520
1598408585,110833520
1598408586,110833520
1598408587,110833520
1598408588,110833520
1598408589,110833520
1598408590,110833520
1598408591,110833520
1598408592,110833520
1598408593,110833520
1598408594,110833520
1598408595,110833520
1598408596,110833520
1598408597,110833520
1598408598,110833520
1598408599,110833520
1598408600,110833520
1598408601,110833584
1598408602,110833584
1598408603,110833584
1598408604,110833584
1598408605,110833584
1598408606,110833584
1598408607,110833584
1598408608,110833584
1598408609,110833584
1598408610,110833584
1598408611,110833584
1598408612,110833584
1598408613,110833584
1598408614,110834248
1598408615,110842960
1598408616,110852952
1598408617,110852952
1598408618,110852952
1598408619,110854488
1598408620,110855840
1598408621,110855840
1598408622,110855840
1598408623,110855840
1598408624,110856280
1598408625,110856280
1598408626,110856280
1598408627,110856280
1598408628,110856280
1598408629,110856280
1598408630,110859080
1598408631,110866816
1598408632,110866816
1598408633,110867256
1598408634,110869832
1598408635,110869832
1598408636,110869832
1598408637,110869832
1598408638,110869832
1598408639,110872360
1598408640,110872360
1598408641,110872360
1598408642,110872360
1598408643,110872360
1598408644,110875400
1598408645,110875400
1598408646,110875400
1598408647,110875400
1598408648,110875400
1598408649,110875400
1598408650,110875400
1598408651,110875400
1598408652,110875400
1598408653,110875400
1598408654,110875400
1598408655,110875400
1598408656,110875400
1598408657,110875400
1598408658,110876456
1598408659,110876456
1598408660,110876456
1598408661,110876456
1598408662,110876456
1598408663,110878768
1598408664,110878768
1598408665,110881744
1598408666,110885200
1598408667,110886296
1598408668,110886296
1598408669,110886296
1598408670,110886296
1598408671,110890368
1598408672,110890368
1598408673,110890368
1598408674,110890368
1598408675,110890368
1598408676,110890368
1598408677,110890368
1598408678,110890368
1598408679,110890368
1598408680,110890368
1598408681,110892176
1598408682,110892176
1598408683,110892176
1598408684,110892176
1598408685,110892176
1598408686,110894168
1598408687,110894168
1598408688,110895376
1598408689,110895376
1598408690,110895376
1598408691,110895376
1598408692,110895376
1598408693,110895376
1598408694,110895376
1598408695,110895376
1598408696,111824208
1598408697,111828232
1598408698,111839008
1598408699,111839040
1598408700,111839040
1598408701,111839040
1598408702,111839040
1598408703,111847560
1598408704,111849104
1598408705,111849104
1598408706,111859320
1598408707,113727032
1598408707,113825768
