t,value
1598408781,1957
1598408782,1957
1598408783,10169
1598408784,10169
1598408785,10169
1598408786,10169
1598408787,10169
1598408788,10169
1598408789,10050
1598408790,37180
1598408791,47798
1598408792,47798
1598408793,47798
1598408794,47798
1598408795,47798
1598408796,47798
1598408797,57573
1598408798,57573
1598408799,57573
1598408800,189851
1598408801,189857
1598408802,189851
1598408803,189857
1598408804,189851
1598408805,189857
1598408806,189857
1598408807,189857
1598408808,189857
1598408809,189857
1598408810,189857
1598408811,189857
1598408812,189857
1598408813,189857
1598408814,189857
1598408815,189857
1598408816,189857
1598408817,255936
1598408818,255936
1598408819,255936
1598408820,189857
1598408821,189857
1598408822,189857
1598408823,189857
1598408824,189851
1598408825,189857
1598408826,189857
1598408827,189857
1598408828,189857
1598408829,189857
1598408830,189851
1598408831,189857
1598408832,189857
1598408833,189857
1598408834,189851
1598408835,189857
1598408836,189857
1598408837,189857
1598408838,189857
1598408839,189857
1598408840,189857
1598408841,189857
1598408842,189857
1598408843,189851
1598408844,189851
1598408845,189851
1598408846,189856
1598408847,255941
1598408848,255935
1598408849,255935
1598408850,255935
1598408851,255941
1598408852,255941
1598408853,255935
1598408854,255935
1598408855,255941
1598408856,255935
1598408857,255941
1598408858,255935
1598408859,256223
1598408860,256217
1598408861,256217
1598408862,256217
1598408863,256217
1598408864,256217
1598408865,256217
1598408866,256217
1598408867,256217
1598408868,256223
1598408869,256223
1598408870,256217
1598408871,256217
1598408872,256223
1598408873,256217
1598408874,256217
1598408875,256217
1598408876,256217
1598408877,256217
1598408878,256217
1598408879,256223
1598408880,256223
1598408881,256217
1598408882,256217
1598408883,256217
1598408884,256217
1598408885,256217
1598408886,256223
1598408887,256217
1598408888,256217
1598408889,256217
1598408890,256217
1598408891,256217
1598408892,256223
1598408893,256217
1598408894,256217
1598408895,256217
1598408896,256217
1598408897,256217
1598408898,256217
1598408899,256217
1598408900,256217
1598408901,256217
1598408902,256217
1598408903,256217
1598408904,256223
1598408905,256217
1598408906,256217
1598408907,256217
1598408908,256217
1598408909,256217
1598408910,256217
1598408911,256217
1598408912,256217
1598408913,256223
1598408914,256217
1598408915,256217
1598408916,256217
1598408917,256217
1598408918,256217
1598408919,256217
1598408920,256217
1598408921,256217
1598408922,256217
1598408923,256217
1598408924,256217
1598408925,256217
1598408926,256217
1598408927,256217
1598408928,256223
1598408929,256217
1598408930,256223
1598408931,256217
1598408932,256217
1598408933,256217
1598408934,256217
1598408935,256217
1598408936,256217
1598408937,256217
1598408938,256217
1598408939,256217
1598408940,256217
1598408941,256217
1598408942,256217
1598408943,256217
1598408944,256217
1598408945,256217
1598408946,256217
1598408947,256217
1598408948,256217
1598408949,256223
1598408950,256217
1598408951,256217
1598408952,256217
1598408953,256217
1598408954,256217
1598408955,256217
1598408956,256217
1598408957,256217
1598408958,256217
1598408959,256217
1598408960,256217
1598408961,256217
1598408962,256217
1598408963,256217
1598408964,256223
1598408965,256217
1598408966,256217
1598408967,256217
1598408968,256217
1598408969,256217
1598408970,256217
1598408971,256217
1598408972,256223
1598408973,256217
1598408974,256217
1598408975,256217
1598408976,256217
1598408977,256217
1598408978,256223
1598408979,256217
1598408980,256217
1598408981,256217
1598408982,256217
1598408983,256217
1598408984,256217
1598408985,256217
1598408986,256217
1598408987,256217
1598408988,256217
1598408989,256217
1598408990,256217
1598408991,256217
1598408992,256217
1598408993,256217
1598408994,256217
1598408995,256217
1598408996,256217
1598408997,256217
1598408998,256217
1598408999,256217
1598409000,256217
1598409001,256217
1598409002,256217
1598409003,256217
1598409004,256217
1598409005,256217
1598409006,256217
1598409007,256217
1598409008,256217
1598409009,256217
1598409010,256217
1598409011,256217
1598409012,256217
1598409013,256217
1598409014,256217
1598409015,256217
1598409016,256217
1598409017,256223
1598409018,256217
1598409019,256217
1598409020,256217
1598409021,256217
1598409022,256217
1598409023,256217
1598409024,256217
1598409025,256217
1598409026,256217
1598409027,256217
1598409028,256217
1598409029,256217
1598409030,256217
1598409031,264428
1598409032,279676
1598409033,279676
1598409034,279676
1598409035,279676
1598409036,279676
1598409037,279676
1598409038,279676
1598409039,279676
1598409040,279676
1598409041,279676
1598409042,279676
1598409043,279676
1598409044,279676
1598409045,279676
1598409046,279676
1598409047,279676
1598409048,279676
1598409049,279676
1598409050,279676
1598409051,279676
1598409052,279676
1598409053,279676
1598409054,279676
1598409055,279676
1598409056,279676
1598409057,279676
1598409058,279676
1598409059,279676
1598409060,279676
1598409061,279676
1598409062,279676
1598409063,279676
1598409064,279676
1598409065,279676
1598409066,279676
1598409067,279676
1598409068,280317
1598409069,280317
1598409070,280520
1598409071,280520
