t,value
1598408781,1388314624
1598408782,1388314624
1598408783,1388314624
1598408784,1388314624
1598408785,1388314624
1598408786,1388314624
1598408787,1388314624
1598408788,1388314624
1598408789,1397227520
1598408790,1394606080
1598408791,1398800384
1598408792,1398800384
1598408793,1398800384
1598408794,1398800384
1598408795,1398800384
1598408796,1398800384
1598408797,1398800384
1598408798,1395130368
1598408799,1395130368
1598408800,1390411776
1598408801,1390411776
1598408802,1387266048
1598408803,1387266048
1598408804,1387790336
1598408805,1387790336
1598408806,1387790336
1598408807,1388838912
1598408808,1395654656
1598408809,1395654656
1598408810,1390936064
1598408811,1390936064
1598408812,1390936064
1598408813,1403518976
1598408814,1403518976
1598408815,1403518976
1598408816,1403518976
1598408817,1393033216
1598408818,1393033216
1598408819,1393033216
1598408820,1404043264
1598408821,1404043264
1598408822,1404043264
1598408823,1404043264
1598408824,1395130368
1598408825,1395130368
1598408826,1395130368
1598408827,1403518976
1598408828,1403518976
1598408829,1403518976
1598408830,1397227520
1598408831,1397227520
1598408832,1397227520
1598408833,1397227520
1598408834,1404567552
1598408835,1404567552
1598408836,1404567552
1598408837,1404567552
1598408838,1404567552
1598408839,1404567552
1598408840,1408761856
1598408841,1408761856
1598408842,1408761856
1598408843,1407713280
1598408844,1407713280
1598408845,1407713280
1598408846,1407713280
1598408847,1407713280
1598408848,1401421824
1598408849,1401421824
1598408850,1400897536
1598408851,1399848960
1598408852,1399848960
1598408853,1400373248
1598408854,1400373248
1598408855,1398800384
1598408856,1412956160
1598408857,1412956160
1598408858,1413480448
1598408859,1413480448
1598408860,1414004736
1598408861,1414004736
1598408862,1414004736
1598408863,1414529024
1598408864,1415053312
1598408865,1415053312
1598408866,1415577600
1598408867,1416101888
1598408868,1416626176
1598408869,1416626176
1598408870,1417150464
1598408871,1418723328
1598408872,1418723328
1598408873,1408761856
1598408874,1419247616
1598408875,1419247616
1598408876,1409810432
1598408877,1420296192
1598408878,1411907584
1598408879,1411907584
1598408880,1421344768
1598408881,1414004736
1598408882,1422393344
1598408883,1422393344
1598408884,1422917632
1598408885,1417150464
1598408886,1423441920
1598408887,1418199040
1598408888,1424490496
1598408889,1424490496
1598408890,1425014784
1598408891,1421344768
1598408892,1425539072
1598408893,1426063360
1598408894,1426063360
1598408895,1426587648
1598408896,1427111936
1598408897,1427111936
1598408898,1425539072
1598408899,1427636224
1598408900,1427111936
1598408901,1428160512
1598408902,1428160512
1598408903,1428160512
1598408904,1428160512
1598408905,1427636224
1598408906,1428684800
1598408907,1428684800
1598408908,1428684800
1598408909,1428684800
1598408910,1429209088
1598408911,1429209088
1598408912,1429209088
1598408913,1428684800
1598408914,1428684800
1598408915,1429733376
1598408916,1429209088
1598408917,1429733376
1598408918,1429209088
1598408919,1429733376
1598408920,1429209088
1598408921,1429733376
1598408922,1429733376
1598408923,1429209088
1598408924,1429209088
1598408925,1429733376
1598408926,1429209088
1598408927,1429733376
1598408928,1429209088
1598408929,1429733376
1598408930,1429733376
