t,count
1598408781,0
1598408782,0
1598408783,0
1598408784,0
1598408785,0
1598408786,0
1598408787,0
1598408788,0
1598408789,0
1598408790,0
1598408791,14993
1598408792,15231
1598408793,15231
1598408794,15231
1598408795,15231
1598408796,15231
1598408797,15231
1598408798,15231
1598408799,15231
1598408800,15231
1598408801,15231
1598408802,15231
1598408803,15231
1598408804,16040
1598408805,16040
1598408806,16040
1598408807,16040
1598408808,16854
1598408809,16854
1598408810,16854
1598408811,16858
1598408812,16861
1598408813,16861
1598408814,16861
1598408815,16861
1598408816,16861
1598408817,16866
1598408818,16866
1598408819,16866
1598408820,16869
1598408821,16869
1598408822,16869
1598408823,16872
1598408824,16874
1598408825,16874
1598408826,16874
1598408827,16874
1598408828,16876
1598408829,16879
1598408830,16879
1598408831,16882
1598408832,16884
1598408833,16884
1598408834,16884
1598408835,16884
1598408836,16884
1598408837,16884
1598408838,16884
1598408839,16884
1598408840,16891
1598408841,16895
1598408842,16895
1598408843,16897
1598408844,16899
1598408845,16899
1598408846,17182
1598408847,17182
1598408848,17182
1598408849,17182
1598408850,17182
1598408851,17182
1598408852,17182
1598408853,17182
1598408854,17182
1598408855,17182
1598408856,17182
1598408857,17182
1598408858,17182
1598408859,17182
1598408860,17182
1598408861,17251
1598408862,17320
1598408863,17320
1598408864,17320
1598408865,17320
1598408866,17320
1598408867,17320
1598408868,17320
1598408869,17320
1598408870,17320
1598408871,17320
1598408872,17320
1598408873,17320
1598408874,17320
1598408875,17320
1598408876,17321
1598408877,17321
1598408878,17321
1598408879,17321
1598408880,17321
1598408881,17322
1598408882,17322
1598408883,17322
1598408884,17322
1598408885,17322
1598408886,17322
1598408887,17322
1598408888,17322
1598408889,17322
1598408890,17322
1598408891,17322
1598408892,17323
1598408893,17323
1598408894,17323
1598408895,17323
1598408896,17323
1598408897,17324
1598408898,17324
1598408899,17324
1598408900,17324
1598408901,17324
1598408902,17324
1598408903,17324
1598408904,17324
1598408905,17324
1598408906,17324
1598408907,17324
1598408908,17324
1598408909,17324
1598408910,17324
1598408911,17324
1598408912,17325
1598408913,17325
1598408914,17325
1598408915,17326
1598408916,17326
1598408917,17326
1598408918,17326
1598408919,17326
1598408920,17326
1598408921,17326
1598408922,17326
1598408923,17326
1598408924,17326
1598408925,17326
1598408926,17326
1598408927,17326
1598408928,17326
1598408929,17326
1598408930,17326
1598408931,17327
1598408932,17327
1598408933,17327
1598408934,17327
1598408935,17327
1598408936,17327
1598408937,17328
1598408938,17328
1598408939,17328
1598408940,17328
1598408941,17328
1598408942,17328
1598408943,17328
1598408944,17328
1598408945,17328
1598408946,17328
1598408947,17328
1598408948,17328
1598408949,17328
1598408950,17328
1598408951,17328
1598408952,17328
1598408953,17329
1598408954,17329
1598408955,17329
1598408956,17329
1598408957,17329
1598408958,17329
1598408959,17329
1598408960,17330
1598408961,17330
1598408962,17330
1598408963,17330
1598408964,17330
1598408965,17330
1598408966,17330
1598408967,17330
1598408968,17330
1598408969,17330
1598408970,17330
1598408971,17330
1598408972,17330
1598408973,17330
1598408974,17330
1598408975,17332
1598408976,17332
1598408977,17332
1598408978,17332
1598408979,17332
1598408980,17332
1598408981,17334
1598408982,17334
1598408983,17334
1598408984,17334
1598408985,17334
1598408986,17334
1598408987,17334
1598408988,17334
1598408989,17334
1598408990,17334
1598408991,17334
1598408992,17334
1598408993,17334
1598408994,17334
1598408995,17334
1598408996,17334
1598408997,17334
1598408998,17335
1598408999,17335
1598409000,17335
1598409001,17335
1598409002,17335
1598409003,17336
1598409004,17336
1598409005,17336
1598409006,17336
1598409007,17336
1598409008,17336
1598409009,17336
1598409010,17336
1598409011,17336
1598409012,17336
1598409013,17336
1598409014,17336
1598409015,17336
1598409016,17336
1598409017,17336
1598409018,17336
1598409019,17336
1598409020,17336
1598409021,17338
1598409022,17338
1598409023,17338
1598409024,17338
1598409025,17338
1598409026,17338
1598409027,17338
1598409028,17338
1598409029,17338
1598409030,17338
1598409031,17338
1598409032,17338
1598409033,17338
1598409034,17462
1598409035,17586
1598409036,17586
1598409037,17586
1598409038,17588
1598409039,17590
1598409040,17590
1598409041,17590
1598409042,17590
1598409043,17590
1598409044,17594
1598409045,17594
1598409046,17594
1598409047,17596
1598409048,17602
1598409049,17604
1598409050,17604
1598409051,17607
1598409052,17610
1598409053,17610
1598409054,17610
1598409055,17614
1598409056,17614
1598409057,17614
1598409058,17618
1598409059,17618
1598409060,17618
1598409061,17620
1598409062,17620
1598409063,17623
1598409064,17623
1598409065,17623
1598409066,17626
1598409067,17628
1598409068,17628
1598409069,17683
1598409070,17699
1598409071,17699
1598409072,17699
1598409073,17708
1598409074,17717
1598409075,17717
1598409076,17717
1598409077,17719
1598409078,17721
1598409079,17723
1598409080,17723
1598409081,17723
1598409082,17725
1598409083,17727
1598409084,17727
1598409085,17729
1598409086,17731
1598409087,17731
1598409088,17731
1598409089,17734
1598409090,17734
1598409091,17734
1598409092,17736
1598409093,17736
1598409094,17739
1598409095,17739
1598409096,17741
1598409097,17741
1598409098,17742
1598409099,17743
1598409100,17743
1598409101,17745
1598409102,17745
1598409103,17746
1598409104,17746
1598409105,17747
1598409106,17747
1598409107,17778
1598409108,17786
1598409109,17837
1598409110,17837
1598409111,17837
1598409112,17837
1598409113,17837
1598409114,17837
1598409115,17837
1598409116,17837
1598409117,17837
1598409118,17837
1598409119,17837
1598409120,17837
1598409121,17837
1598409122,17837
1598409123,17837
1598409124,17837
1598409125,17837
1598409126,17837
1598409127,17837
1598409128,17837
1598409129,17837
1598409130,17837
1598409131,17837
1598409132,17837
1598409133,17837
1598409134,17837
1598409135,17837
1598409136,17837
1598409137,17837
1598409138,17837
1598409139,17837
1598409140,17837
1598409141,17837
1598409142,17837
1598409143,17837
1598409144,17837
1598409145,17837
1598409146,17837
1598409147,17837
1598409148,17837
1598409149,17837
1598409150,17837
1598409151,17837
1598409152,17837
1598409153,17837
1598409154,17837
1598409155,17837
1598409156,17837
1598409157,17837
1598409158,17843
1598409159,17843
1598409160,17843
1598409161,17843
1598409162,17843
1598409163,17843
1598409164,17843
1598409165,17843
1598409166,17845
1598409167,17845
1598409168,17845
1598409169,17845
1598409170,17845
1598409171,17851
1598409172,17851
1598409173,17851
1598409174,17851
1598409175,17851
1598409176,17851
1598409177,17851
1598409178,17851
1598409179,17851
1598409180,17851
1598409181,17851
1598409182,17851
1598409183,17851
1598409184,17851
1598409185,17851
1598409186,17851
1598409187,17851
1598409188,17851
1598409189,17851
1598409190,17851
1598409191,17851
1598409192,17851
1598409193,17851
1598409194,17851
1598409195,17851
1598409196,17851
1598409197,17851
1598409198,17851
1598409199,17851
1598409200,17851
1598409201,17851
1598409202,17851
1598409203,17851
1598409204,17851
1598409205,17851
1598409206,17851
1598409207,17851
1598409208,17851
1598409209,17851
1598409210,17851
1598409211,17851
1598409212,17851
1598409213,17851
1598409214,17851
1598409215,17851
1598409216,17851
1598409217,17851
1598409218,17851
1598409219,17851
1598409220,17851
1598409221,17851
1598409222,17851
1598409223,17851
1598409224,17851
1598409225,17851
1598409226,17851
1598409227,17851
1598409228,17851
1598409229,17851
1598409230,17851
1598409231,17851
1598409232,17851
1598409233,17851
1598409234,17851
1598409235,17851
1598409236,17851
1598409237,17851
1598409238,17851
1598409239,17872
1598409240,17872
1598409241,17893
1598409242,17893
1598409243,17893
1598409244,17895
1598409245,17895
1598409246,17896
1598409247,17896
1598409248,17910
1598409249,17910
1598409250,17911
1598409251,17911
1598409252,17911
1598409253,17912
1598409254,17912
1598409255,17913
1598409256,17913
1598409257,17914
1598409258,17915
1598409259,17915
1598409260,17917
1598409261,17917
1598409262,17919
1598409263,17919
1598409264,17919
1598409265,17920
1598409266,17921
1598409267,17921
1598409268,17923
1598409269,17923
1598409270,17925
1598409271,17925
1598409272,17926
1598409273,17928
1598409274,17928
1598409275,17959
1598409276,17964
1598409277,17973
1598409278,18002
1598409278,18002
