t,value
1598408781,21495808
1598408782,21495808
1598408783,21495808
1598408784,21495808
1598408785,21495808
1598408786,21495808
1598408787,21495808
1598408788,21495808
1598408789,12582912
1598408790,21495808
1598408791,21495808
1598408792,14680064
1598408793,14680064
1598408794,14680064
1598408795,14680064
1598408796,14680064
1598408797,14680064
1598408798,17301504
1598408799,17301504
1598408800,17301504
1598408801,17825792
1598408802,17825792
1598408803,21495808
1598408804,21495808
1598408805,20971520
1598408806,20971520
1598408807,20971520
1598408808,20447232
1598408809,19922944
1598408810,19922944
1598408811,19922944
1598408812,19922944
1598408813,19922944
1598408814,19922944
1598408815,8912896
1598408816,8912896
1598408817,8912896
1598408818,18874368
1598408819,18874368
1598408820,18874368
1598408821,13107200
1598408822,13107200
1598408823,13107200
1598408824,17825792
1598408825,17825792
1598408826,17825792
1598408827,17825792
1598408828,8388608
1598408829,8388608
1598408830,8388608
1598408831,16777216
1598408832,16777216
1598408833,16777216
1598408834,14680064
1598408835,14680064
1598408836,14680064
1598408837,14680064
1598408838,14680064
1598408839,14680064
1598408840,14680064
1598408841,8912896
1598408842,8912896
1598408843,8912896
1598408844,8388608
1598408845,8388608
1598408846,8388608
1598408847,8388608
1598408848,14680064
1598408849,14680064
1598408850,8912896
1598408851,8912896
1598408852,15204352
1598408853,15204352
1598408854,13107200
1598408855,13107200
1598408856,15728640
1598408857,2097152
1598408858,2097152
1598408859,2097152
1598408860,2097152
1598408861,2097152
1598408862,2097152
1598408863,2097152
1598408864,2097152
1598408865,2097152
1598408866,2097152
1598408867,2097152
1598408868,2097152
1598408869,2097152
1598408870,2097152
1598408871,2097152
1598408872,2097152
1598408873,1048576
1598408874,11534336
1598408875,11534336
1598408876,1048576
1598408877,1048576
1598408878,1048576
1598408879,9961472
1598408880,1048576
1598408881,8912896
1598408882,1048576
1598408883,8388608
1598408884,1048576
1598408885,7340032
1598408886,1048576
1598408887,1048576
1598408888,5767168
1598408889,5242880
1598408890,1048576
1598408891,1048576
1598408892,4194304
1598408893,1048576
1598408894,1572864
1598408895,1048576
1598408896,3145728
1598408897,1048576
1598408898,1048576
1598408899,1048576
1598408900,1048576
1598408901,1048576
1598408902,1048576
1598408903,1048576
1598408904,1048576
1598408905,1048576
1598408906,1048576
1598408907,1048576
1598408908,1048576
1598408909,1048576
1598408910,1048576
1598408911,1048576
1598408912,1048576
1598408913,1048576
1598408914,1048576
1598408915,524288
1598408916,1048576
1598408917,524288
1598408918,524288
1598408919,1048576
1598408920,524288
1598408921,524288
1598408922,1048576
1598408923,524288
1598408924,1048576
1598408925,524288
1598408926,1048576
1598408927,524288
1598408928,524288
1598408929,524288
1598408930,524288
1598408931,1048576
1598408932,524288
1598408933,1048576
1598408934,524288
1598408935,524288
1598408936,1048576
1598408937,1048576
1598408938,1048576
1598408939,524288
1598408940,1048576
1598408941,524288
1598408942,1048576
1598408943,524288
1598408944,524288
1598408945,1048576
1598408946,524288
1598408947,1048576
1598408948,1048576
1598408949,524288
1598408950,524288
1598408951,1048576
1598408952,1048576
1598408953,1048576
1598408954,1048576
1598408955,1048576
1598408956,1048576
1598408957,524288
1598408958,524288
1598408959,1048576
1598408960,1048576
1598408961,1048576
1598408962,1048576
1598408963,1048576
1598408964,1048576
1598408965,1048576
1598408966,524288
1598408967,524288
1598408968,1048576
1598408969,1048576
1598408970,524288
1598408971,524288
1598408972,1048576
1598408973,1048576
1598408974,524288
1598408975,524288
1598408976,1048576
1598408977,1048576
1598408978,524288
1598408979,1048576
1598408980,1048576
1598408981,1048576
1598408982,1048576
1598408983,524288
1598408984,1048576
1598408985,1048576
1598408986,524288
1598408987,524288
1598408988,1048576
1598408989,1048576
1598408990,524288
1598408991,1048576
1598408992,1048576
1598408993,524288
1598408994,524288
1598408995,524288
1598408996,1048576
1598408997,524288
1598408998,1048576
1598408999,1048576
1598409000,524288
1598409001,1048576
1598409002,524288
1598409003,1048576
1598409004,1048576
1598409005,524288
1598409006,1048576
1598409007,524288
1598409008,524288
1598409009,1048576
1598409010,524288
1598409011,1048576
1598409012,524288
1598409013,1048576
1598409014,524288
1598409015,1048576
1598409016,524288
1598409017,524288
1598409018,1048576
1598409019,1048576
1598409020,1048576
1598409021,1048576
1598409022,1048576
1598409023,1048576
1598409024,1048576
1598409025,1048576
1598409026,1048576
1598409027,1048576
1598409028,1048576
1598409029,1048576
1598409030,1048576
1598409031,1048576
1598409032,2097152
1598409033,3145728
1598409034,8912896
1598409035,6815744
1598409036,6291456
1598409037,11534336
1598409038,7340032
1598409039,5767168
1598409040,6291456
1598409041,6291456
1598409042,11534336
1598409043,11534336
1598409044,11534336
1598409045,7340032
1598409046,9437184
1598409047,7340032
1598409048,4718592
1598409049,12582912
1598409050,11534336
1598409051,3145728
1598409052,3670016
1598409053,8388608
1598409054,7340032
1598409055,7340032
1598409056,13107200
1598409057,3145728
1598409058,3145728
1598409059,9437184
1598409060,11534336
1598409061,4194304
1598409062,7340032
1598409063,3145728
1598409064,6291456
1598409065,11534336
1598409066,6291456
1598409067,2097152
1598409068,2097152
1598409069,5767168
1598409070,3670016
1598409071,11534336
1598409072,16777216
1598409073,18874368
1598409074,19398656
1598409075,23068672
1598409076,28311552
1598409077,30408704
1598409078,29884416
1598409079,30408704
1598409080,28835840
1598409081,28835840
1598409082,28835840
1598409083,25690112
1598409084,23592960
1598409085,24117248
1598409086,24117248
1598409087,24117248
1598409088,24641536
1598409089,22020096
1598409090,23068672
1598409091,23068672
1598409092,23592960
1598409093,23592960
1598409094,23592960
1598409095,14680064
1598409096,23068672
1598409097,22544384
1598409098,22020096
1598409099,21495808
1598409100,23592960
1598409101,15204352
1598409102,15204352
1598409103,22544384
1598409104,23068672
1598409105,23068672
1598409106,23068672
1598409107,23068672
1598409108,22544384
1598409109,22544384
1598409110,2097152
1598409111,2097152
1598409112,25165824
1598409113,25165824
1598409114,524288
1598409115,524288
1598409116,27787264
1598409117,27787264
1598409118,28311552
1598409119,28311552
1598409120,28311552
1598409121,28311552
1598409122,524288
1598409123,524288
1598409124,524288
1598409125,524288
1598409126,27262976
1598409127,27262976
1598409128,524288
1598409129,524288
1598409130,25690112
1598409131,25690112
1598409132,524288
1598409133,524288
1598409134,23592960
1598409135,524288
1598409136,524288
1598409137,21495808
1598409138,524288
1598409139,524288
1598409140,19398656
1598409141,524288
1598409142,524288
1598409143,17301504
1598409144,524288
1598409145,15204352
1598409146,15204352
1598409147,524288
1598409148,13631488
1598409149,524288
1598409150,11534336
1598409151,524288
1598409152,10485760
1598409153,524288
1598409154,8912896
1598409155,524288
1598409156,7864320
1598409157,524288
1598409158,6815744
1598409159,524288
1598409160,524288
1598409161,5242880
1598409162,5242880
1598409163,524288
1598409164,4194304
1598409165,524288
1598409166,524288
1598409167,3670016
1598409168,3670016
1598409169,524288
1598409170,524288
1598409171,524288
1598409172,524288
1598409173,524288
1598409174,524288
1598409175,524288
1598409176,524288
1598409177,524288
1598409178,524288
1598409179,524288
1598409180,524288
1598409181,524288
1598409182,3145728
1598409183,3145728
1598409184,3145728
1598409185,3145728
1598409186,3145728
1598409187,3145728
1598409188,3145728
1598409189,3145728
1598409190,3145728
1598409191,3145728
1598409192,3145728
1598409193,3145728
1598409194,3145728
1598409195,3145728
1598409196,3145728
1598409197,3145728
1598409198,3145728
1598409199,3145728
1598409200,3145728
1598409201,3145728
1598409202,3145728
1598409203,3145728
1598409204,3145728
1598409205,3145728
1598409206,3145728
1598409207,3145728
1598409208,3145728
1598409209,3145728
1598409210,3145728
