t,value
1598408781,10470960
1598408782,10470960
1598408783,10470960
1598408784,10470960
1598408785,10470960
1598408786,10470960
1598408787,10470960
1598408788,10470960
1598408789,0
1598408790,10146792
1598408791,10146792
1598408792,14656104
1598408793,14656104
1598408794,14656104
1598408795,14656104
1598408796,14656104
1598408797,14656104
1598408798,0
1598408799,0
1598408800,0
1598408801,17809344
1598408802,17809344
1598408803,8015280
1598408804,8015280
1598408805,8149880
1598408806,8149880
1598408807,8149880
1598408808,8173504
1598408809,8213624
1598408810,8213624
1598408811,8454848
1598408812,8454848
1598408813,8454848
1598408814,8454848
1598408815,8456072
1598408816,8456072
1598408817,8456072
1598408818,8525864
1598408819,8525864
1598408820,8525864
1598408821,8369472
1598408822,8369472
1598408823,8369472
1598408824,8307656
1598408825,8307656
1598408826,8307656
1598408827,8307656
1598408828,8383920
1598408829,8383920
1598408830,8383920
1598408831,8475232
1598408832,8475232
1598408833,8475232
1598408834,8422808
1598408835,8422808
1598408836,8422808
1598408837,8422808
1598408838,8422808
1598408839,8422808
1598408840,8422808
1598408841,8689568
1598408842,8689568
1598408843,8689568
1598408844,8006848
1598408845,8006848
1598408846,8006848
1598408847,8006848
1598408848,8454464
1598408849,8454464
1598408850,1929840
1598408851,1929840
1598408852,1865376
1598408853,1865376
1598408854,2116760
1598408855,2116760
1598408856,2019376
1598408857,1830064
1598408858,1830064
1598408859,2039504
1598408860,2039504
1598408861,1982016
1598408862,1982016
1598408863,1763312
1598408864,1865936
1598408865,1865936
1598408866,1925448
1598408867,1925448
1598408868,1892680
1598408869,1827624
1598408870,1827624
1598408871,1801264
1598408872,1808192
1598408873,953616
1598408874,1003360
1598408875,1003360
1598408876,970904
1598408877,738944
1598408878,830944
1598408879,867864
1598408880,750160
1598408881,708416
1598408882,799592
1598408883,745720
1598408884,877272
1598408885,937176
1598408886,827760
1598408887,974944
1598408888,781664
1598408889,819616
1598408890,849376
1598408891,896520
1598408892,832496
1598408893,1024808
1598408894,1058712
1598408895,918696
1598408896,979800
1598408897,817256
1598408898,1043800
1598408899,870824
1598408900,840288
1598408901,855760
1598408902,617968
1598408903,585328
1598408904,577528
1598408905,652064
1598408906,652048
1598408907,527104
1598408908,529888
1598408909,643712
1598408910,575360
1598408911,533440
1598408912,558592
1598408913,636416
1598408914,652544
1598408915,520384
1598408916,526688
1598408917,506608
1598408918,421488
1598408919,596256
1598408920,504960
1598408921,511200
1598408922,596384
1598408923,496752
1598408924,545264
1598408925,469520
1598408926,444336
1598408927,444336
1598408928,393232
1598408929,360464
1598408930,491552
1598408931,524336
1598408932,491568
1598408933,544096
1598408934,501312
1598408935,491568
1598408936,510224
1598408937,609648
1598408938,393248
1598408939,483832
1598408940,675872
1598408941,519704
1598408942,582168
1598408943,486936
1598408944,458784
1598408945,426016
1598408946,446576
1598408947,458784
1598408948,652008
1598408949,484784
1598408950,472576
1598408951,361248
1598408952,307920
1598408953,649808
1598408954,434664
1598408955,418416
1598408956,402144
1598408957,478544
1598408958,441296
1598408959,541800
1598408960,672904
1598408961,770776
1598408962,555776
1598408963,555776
1598408964,563872
1598408965,333872
1598408966,315344
1598408967,348112
1598408968,538464
1598408969,526872
1598408970,477248
1598408971,451504
1598408972,450768
1598408973,452496
1598408974,417984
1598408975,489392
1598408976,572416
1598408977,554944
1598408978,522176
1598408979,587712
1598408980,489392
1598408981,589088
1598408982,557392
1598408983,515920
1598408984,548688
1598408985,472560
1598408986,518080
1598408987,339296
1598408988,294912
1598408989,591344
1598408990,492608
1598408991,755632
1598408992,525376
1598408993,459408
1598408994,492592
1598408995,327680
1598408996,471600
1598408997,438832
1598408998,527184
1598408999,548560
1598409000,514368
1598409001,470896
1598409002,426720
1598409003,536432
1598409004,360464
1598409005,358352
1598409006,391120
1598409007,489440
1598409008,468512
1598409009,524304
1598409010,391136
1598409011,546608
1598409012,415536
1598409013,489440
1598409014,456672
1598409015,524304
1598409016,436496
1598409017,469264
1598409018,626968
1598409019,664984
1598409020,588952
1598409021,654488
1598409022,654488
1598409023,654488
1598409024,654488
1598409025,654488
1598409026,654488
1598409027,654488
1598409028,654488
1598409029,654488
1598409030,654488
1598409031,1035104
1598409032,1865192
1598409033,2785224
1598409034,8841312
1598409035,6539296
1598409036,6131008
1598409037,11402472
1598409038,7170848
1598409039,5711928
1598409040,6181328
1598409041,6173464
1598409042,11408504
1598409043,11408504
1598409044,11454568
1598409045,7097216
1598409046,9318600
1598409047,7292120
1598409048,4566800
1598409049,12383912
1598409050,11307232
1598409051,2947832
1598409052,3496000
1598409053,8118736
1598409054,7037600
1598409055,7048200
1598409056,11271072
1598409057,2960384
1598409058,2961288
1598409059,9221544
1598409060,11322256
1598409061,3947816
1598409062,7103504
1598409063,2982016
1598409064,6011728
1598409065,11342704
1598409066,5862832
1598409067,1587936
1598409068,1587936
1598409069,5570624
1598409070,3239088
1598409071,11474232
1598409072,10327352
1598409073,9367120
1598409074,19393168
1598409075,23048416
1598409076,27679208
1598409077,17099952
1598409078,18330312
1598409079,10271584
1598409080,9086104
1598409081,9086104
1598409082,11585376
1598409083,12447320
1598409084,11239472
1598409085,15073376
1598409086,15073376
1598409087,17700224
1598409088,14897424
1598409089,11960568
1598409090,15775768
1598409091,0
1598409092,16409856
1598409093,16409856
1598409094,16908352
1598409095,14210432
1598409096,16398192
1598409097,16794480
1598409098,14006976
1598409099,21299296
1598409100,15655856
1598409101,15073360
1598409102,15073360
1598409103,19005488
1598409104,16856768
1598409105,16856768
1598409106,16856768
1598409107,16856768
1598409108,20388976
1598409109,20388976
1598409110,2001064
1598409111,2001064
1598409112,393216
1598409113,393216
1598409114,294912
1598409115,294912
1598409116,327680
1598409117,327680
1598409118,327680
1598409119,327680
1598409120,294912
1598409121,294912
1598409122,327680
1598409123,327680
1598409124,360448
1598409125,360448
1598409126,294912
1598409127,294912
1598409128,262144
1598409129,262144
1598409130,294912
1598409131,294912
1598409132,262144
1598409133,262144
1598409134,327680
1598409135,262144
1598409136,262144
1598409137,360448
1598409138,294912
1598409139,294912
1598409140,327680
1598409141,294912
1598409142,294912
1598409143,327680
1598409144,294912
1598409145,294912
1598409146,294912
1598409147,327680
1598409148,262144
1598409149,327680
1598409150,294912
1598409151,262144
1598409152,262144
1598409153,262144
1598409154,229376
1598409155,360448
1598409156,262144
1598409157,262144
1598409158,262144
1598409159,458784
1598409160,360480
1598409161,426016
1598409162,426016
1598409163,426016
1598409164,393248
1598409165,360480
1598409166,360480
1598409167,327680
1598409168,327680
1598409169,327680
1598409170,327680
1598409171,327680
1598409172,327680
1598409173,327680
1598409174,327680
1598409175,327680
1598409176,327680
1598409177,327680
1598409178,327680
1598409179,327680
1598409180,327680
1598409181,327680
1598409182,819200
1598409183,819200
1598409184,819200
1598409185,819200
1598409186,819200
