t,count
1598408781,0
1598408782,0
1598408783,0
1598408784,0
1598408785,0
1598408786,0
1598408787,0
1598408788,0
1598408789,0
1598408790,0
1598408791,0
1598408792,1655138605
1598408793,1655138605
1598408794,1655138605
1598408795,1655138605
1598408796,1655138605
1598408797,1655138605
1598408798,1655138605
1598408799,1655138605
1598408800,1655138605
1598408801,1655138605
1598408802,1964345137
1598408803,1964345137
1598408804,1964345137
1598408805,1964345137
1598408806,1964345137
1598408807,2179664524
1598408808,2179664524
1598408809,2179664524
1598408810,2179664524
1598408811,2179664524
1598408812,2185013742
1598408813,2190617955
1598408814,2190617955
1598408815,2190617955
1598408816,2190617955
1598408817,2190617955
1598408818,2190617955
1598408819,2199924990
1598408820,2199924990
1598408821,2199924990
1598408822,2199924990
1598408823,2199924990
1598408824,2206443115
1598408825,2206443115
1598408826,2206443115
1598408827,2212247485
1598408828,2216065682
1598408829,2216065682
1598408830,2216065682
1598408831,2218771259
1598408832,2222515575
1598408833,2222515575
1598408834,2222515575
1598408835,2222515575
1598408836,2226421147
1598408837,2226421147
1598408838,2238279405
1598408839,2238279405
1598408840,2238279405
1598408841,2238279405
1598408842,2241604205
1598408843,2241604205
1598408844,2244954661
1598408845,2247687952
1598408846,2566995714
1598408847,2566995714
1598408848,2566995714
1598408849,2566995714
1598408850,2566995714
1598408851,2566995714
1598408852,2566995714
1598408853,2566995714
1598408854,2566995714
1598408855,2566995714
1598408856,2566995714
1598408857,2566995714
1598408858,2566995714
1598408859,2599578759
1598408860,2614903820
1598408861,2614903820
1598408862,2614903820
1598408863,2614903820
1598408864,2614903820
1598408865,2614903820
1598408866,2614903820
1598408867,2614903820
1598408868,2614903820
1598408869,2614903820
1598408870,2614903820
1598408871,2618955989
1598408872,2618955989
1598408873,2620845017
1598408874,2620845017
1598408875,2620845017
1598408876,2620845017
1598408877,2620845017
1598408878,2620845017
1598408879,2620845017
1598408880,2620845017
1598408881,2620845017
1598408882,2620845017
1598408883,2620845017
1598408884,2620845017
1598408885,2622509328
1598408886,2622509328
1598408887,2624081611
1598408888,2624081611
1598408889,2624081611
1598408890,2624081611
1598408891,2624081611
1598408892,2624081611
1598408893,2624081611
1598408894,2624081611
1598408895,2624081611
1598408896,2624081611
1598408897,2624081611
1598408898,2626253016
1598408899,2626253016
1598408900,2627780113
1598408901,2627780113
1598408902,2627780113
1598408903,2627780113
1598408904,2627780113
1598408905,2627780113
1598408906,2627780113
1598408907,2627780113
1598408908,2627780113
1598408909,2627780113
1598408910,2627780113
1598408911,2627780113
1598408912,2627780113
1598408913,2627780113
1598408914,2629633398
1598408915,2631449276
1598408916,2631449276
1598408917,2631449276
1598408918,2631449276
1598408919,2631449276
1598408920,2631449276
1598408921,2631449276
1598408922,2631449276
1598408923,2631449276
1598408924,2631449276
1598408925,2631449276
1598408926,2631449276
1598408927,2631449276
1598408928,2631449276
1598408929,2633763050
1598408930,2633763050
1598408931,2635610367
1598408932,2635610367
1598408933,2635610367
1598408934,2635610367
1598408935,2635610367
1598408936,2635610367
1598408937,2635610367
1598408938,2635610367
1598408939,2635610367
1598408940,2635610367
1598408941,2635610367
1598408942,2635610367
1598408943,2635610367
1598408944,2635610367
1598408945,2635610367
1598408946,2635610367
1598408947,2638734188
1598408948,2638734188
1598408949,2638734188
1598408950,2638734188
1598408951,2638734188
1598408952,2638734188
1598408953,2638734188
1598408954,2638734188
1598408955,2638734188
1598408956,2638734188
1598408957,2638734188
1598408958,2638734188
1598408959,2638734188
1598408960,2638734188
1598408961,2638734188
1598408962,2640252788
1598408963,2640252788
1598408964,2642262284
1598408965,2642262284
1598408966,2642262284
1598408967,2642262284
1598408968,2642262284
1598408969,2642262284
1598408970,2642262284
1598408971,2642262284
1598408972,2642262284
1598408973,2642262284
1598408974,2642262284
1598408975,2642262284
1598408976,2642262284
1598408977,2642262284
1598408978,2642262284
1598408979,2642262284
1598408980,2642262284
1598408981,2645342968
1598408982,2646754275
1598408983,2646754275
1598408984,2646754275
1598408985,2646754275
1598408986,2646754275
1598408987,2646754275
1598408988,2646754275
1598408989,2646754275
1598408990,2646754275
1598408991,2646754275
1598408992,2646754275
1598408993,2646754275
1598408994,2646754275
1598408995,2646754275
1598408996,2646754275
1598408997,2646754275
1598408998,2646754275
1598408999,2648167642
1598409000,2649622760
1598409001,2649622760
1598409002,2649622760
1598409003,2649622760
1598409004,2649622760
1598409005,2649622760
1598409006,2649622760
1598409007,2649622760
1598409008,2649622760
1598409009,2649622760
1598409010,2649622760
1598409011,2649622760
1598409012,2649622760
1598409013,2649622760
1598409014,2649622760
1598409015,2651074374
1598409016,2651074374
1598409017,2652714193
1598409018,2652714193
1598409019,2652714193
1598409020,2652714193
1598409021,2652714193
1598409022,2652714193
1598409023,2652714193
1598409024,2652714193
1598409025,2652714193
1598409026,2652714193
1598409027,2652714193
1598409028,2652714193
1598409029,2652714193
1598409030,2652714193
1598409031,2652714193
1598409032,2652714193
1598409033,2652714193
1598409034,2652714193
1598409035,2834525399
1598409036,2834525399
1598409037,2836991275
1598409038,2840727941
1598409039,2840727941
1598409040,2840727941
1598409041,2843126393
1598409042,2843126393
1598409043,2843126393
1598409044,2843126393
1598409045,2845228428
1598409046,2847967576
1598409047,2847967576
1598409048,2847967576
1598409049,2853766212
1598409050,2853766212
1598409051,2856429494
1598409052,2858613811
1598409053,2858613811
1598409054,2863401927
1598409055,2863401927
1598409056,2863401927
1598409057,2867698714
1598409058,2867698714
1598409059,2870217739
1598409060,2872788679
1598409061,2874552417
1598409062,2874552417
1598409063,2876534637
1598409064,2878913374
1598409065,2878913374
1598409066,2882846071
1598409067,2882846071
1598409068,2882846071
1598409069,2927043771
1598409070,2945897406
1598409071,2945897406
1598409072,2945897406
1598409073,2951538229
1598409074,2960429996
1598409075,2960429996
1598409076,2962490515
1598409077,2962490515
1598409078,2964848693
1598409079,2964848693
1598409080,2967995301
1598409081,2967995301
1598409082,2967995301
1598409083,2969975135
1598409084,2972299628
1598409085,2974212397
1598409086,2977930538
1598409087,2977930538
1598409088,2979956932
1598409089,2979956932
1598409090,2979956932
1598409091,2979956932
1598409092,2985152260
1598409093,2985152260
1598409094,2985152260
1598409095,2990820158
1598409096,2990820158
1598409097,2990820158
1598409098,2990820158
1598409099,2995387828
1598409100,2995387828
1598409101,2995387828
1598409102,2997596196
1598409103,3000594769
1598409104,3003214269
1598409105,3003214269
1598409106,3003214269
1598409107,3025186366
1598409108,3044453216
1598409109,3081509150
1598409110,3081509150
1598409111,3081509150
1598409112,3081509150
1598409113,3081509150
1598409114,3081509150
1598409115,3081509150
1598409116,3081509150
1598409117,3081509150
1598409118,3081509150
1598409119,3081509150
1598409120,3081509150
1598409121,3081509150
1598409122,3081509150
1598409123,3081509150
1598409124,3081509150
1598409125,3081509150
1598409126,3081509150
1598409127,3081509150
1598409128,3081509150
1598409129,3081509150
1598409130,3081509150
1598409131,3081509150
1598409132,3081509150
1598409133,3081509150
1598409134,3081509150
1598409135,3081509150
1598409136,3081509150
1598409137,3081509150
1598409138,3081509150
1598409139,3081509150
1598409140,3081509150
1598409141,3081509150
1598409142,3081509150
1598409143,3081509150
1598409144,3081509150
1598409145,3081509150
1598409146,3081509150
1598409147,3081509150
1598409148,3081509150
1598409149,3081509150
1598409150,3081509150
1598409151,3081509150
1598409152,3081509150
1598409153,3081509150
1598409154,3081509150
1598409155,3081509150
1598409156,3081509150
1598409157,3083954967
1598409158,3083954967
1598409159,3083954967
1598409160,3083954967
1598409161,3083954967
1598409162,3083954967
1598409163,3083954967
1598409164,3083954967
1598409165,3088308624
1598409166,3088308624
1598409167,3088308624
1598409168,3088308624
1598409169,3088308624
1598409170,3088308624
1598409171,3088308624
1598409172,3088308624
1598409173,3088308624
1598409174,3088308624
1598409175,3088308624
1598409176,3088308624
1598409177,3088308624
1598409178,3088308624
1598409179,3088308624
1598409180,3088308624
1598409181,3088308624
1598409182,3088308624
1598409183,3088308624
1598409184,3088308624
1598409185,3088308624
1598409186,3088308624
1598409187,3088308624
1598409188,3088308624
1598409189,3088308624
1598409190,3088308624
1598409191,3088308624
1598409192,3088308624
1598409193,3088308624
1598409194,3088308624
1598409195,3088308624
1598409196,3088308624
1598409197,3088308624
1598409198,3088308624
1598409199,3088308624
1598409200,3088308624
1598409201,3088308624
1598409202,3088308624
1598409203,3088308624
1598409204,3088308624
1598409205,3088308624
1598409206,3088308624
1598409207,3088308624
1598409208,3088308624
1598409209,3088308624
1598409210,3088308624
1598409211,3088308624
1598409212,3088308624
1598409213,3088308624
1598409214,3088308624
1598409215,3088308624
1598409216,3088308624
1598409217,3088308624
1598409218,3088308624
1598409219,3088308624
1598409220,3088308624
1598409221,3088308624
1598409222,3088308624
1598409223,3089520038
1598409224,3089520038
1598409225,3089520038
1598409226,3089520038
1598409227,3089520038
1598409228,3089520038
1598409229,3089520038
1598409230,3089520038
1598409231,3089520038
1598409232,3089520038
1598409233,3089520038
1598409234,3089520038
1598409235,3089520038
1598409236,3089520038
1598409237,3089520038
1598409238,3107190848
1598409239,3115685558
1598409240,3115685558
1598409241,3115685558
1598409242,3115685558
1598409243,3118171854
1598409244,3122230185
1598409245,3122230185
1598409246,3122230185
1598409247,3122230185
1598409248,3123994671
1598409249,3123994671
1598409250,3125981437
1598409251,3127845219
1598409252,3127845219
1598409253,3127845219
1598409254,3127845219
1598409255,3127845219
1598409256,3129625162
1598409257,3129625162
1598409258,3134098110
1598409259,3134098110
1598409260,3136336311
1598409261,3138466453
1598409262,3138466453
