t,value
1598408781,8892040
1598408782,21716840
1598408783,23698672
1598408784,29974576
1598408785,31956512
1598408786,35259648
1598408787,36581008
1598408788,37902224
1598408789,40544640
1598408790,86464480
1598408791,69043040
1598408792,116830208
1598408793,118728696
1598408794,128114584
1598408795,130013032
1598408796,131911592
1598408797,170808072
1598408798,73714368
1598408799,176252400
1598408800,77508520
1598408801,452017544
1598408802,238781632
1598408803,370972624
1598408804,25108384
1598408805,311906048
1598408806,571434672
1598408807,743949656
1598408808,57948816
1598408809,181935080
1598408810,456227656
1598408811,769021696
1598408812,207024296
1598408813,410542128
1598408814,503022728
1598408815,609913720
1598408816,799776016
1598408817,1101028880
1598408818,216201320
1598408819,540514864
1598408820,855534192
1598408821,1102154600
1598408822,28226776
1598408823,333670368
1598408824,803772312
1598408825,1249088488
1598408826,163672496
1598408827,506329096
1598408828,725515080
1598408829,1184350920
1598408830,41999120
1598408831,290696136
1598408832,825187032
1598408833,994904424
1598408834,1175032632
1598408835,1326226568
1598408836,124972080
1598408837,496788664
1598408838,842055480
1598408839,1183271408
1598408840,165933240
1598408841,481170632
1598408842,631850008
1598408843,790429312
1598408844,1044701528
1598408845,1341807472
1598408846,91705416
1598408847,399133440
1598408848,1164609832
1598408849,703685432
1598408850,260478008
1598408851,1178211880
1598408852,731188256
1598408853,277528384
1598408854,1219979544
1598408855,723900816
1598408856,251511960
1598408857,1199382504
1598408858,754280896
1598408859,238655008
1598408860,1147767792
1598408861,673782736
1598408862,224932888
1598408863,1177964792
1598408864,717372288
1598408865,281157880
1598408866,1235179672
1598408867,745330120
1598408868,295550944
1598408869,1236996248
1598408870,760787040
1598408871,239689392
1598408872,1167767232
1598408873,647319640
1598408874,170246336
1598408875,1102331192
1598408876,606882240
1598408877,114054600
1598408878,1005278592
1598408879,536734320
1598408880,85728840
1598408881,1032443144
1598408882,536987864
1598408883,85844184
1598408884,1048043072
1598408885,579672352
1598408886,114006144
1598408887,1019280320
1598408888,556560088
1598408889,130994976
1598408890,1068017648
1598408891,664221536
1598408892,336515072
1598408893,70227864
1598408894,1016589744
1598408895,811959752
1598408896,650342712
1598408897,553228576
1598408898,462867200
1598408899,417143560
1598408900,383798680
1598408901,421747336
1598408902,493136000
1598408903,593358672
1598408904,729738496
1598408905,132438800
1598408906,354252824
1598408907,613160512
1598408908,230329096
1598408909,535038952
1598408910,250029464
1598408911,532565096
1598408912,120703384
1598408913,385797456
1598408914,660879928
1598408915,240669976
1598408916,544156760
1598408917,286521912
1598408918,119226232
1598408919,553951352
1598408920,315267320
1598408921,108644560
1598408922,513326944
1598408923,380626200
1598408924,252937520
1598408925,44062288
1598408926,369697704
1598408927,112864888
1598408928,508122648
1598408929,387439640
1598408930,325874104
1598408931,250842752
1598408932,249285064
1598408933,300819816
1598408934,382038184
1598408935,399705296
1598408936,308092144
1598408937,246052136
1598408938,227153920
1598408939,274321400
1598408940,357269800
1598408941,436947312
1598408942,427948808
1598408943,397573904
1598408944,276849496
1598408945,226677040
1598408946,244666240
1598408947,282314464
1598408948,247789224
1598408949,210192040
1598408950,267584120
1598408951,325580160
1598408952,401044488
