t,value
1598408781,4382152
1598408782,4477872
1598408783,4479400
1598408784,4479400
1598408785,4479400
1598408786,4488216
1598408787,4488216
1598408788,4489872
1598408789,4489872
1598408790,4918696
1598408791,5901440
1598408792,6636904
1598408793,6636904
1598408794,6670808
1598408795,6723232
1598408796,6723784
1598408797,7125768
1598408798,7894352
1598408799,9318736
1598408800,9804808
1598408801,9811896
1598408802,9811896
1598408803,9811896
1598408804,9818616
1598408805,9825328
1598408806,9825328
1598408807,9825328
1598408808,9825328
1598408809,9826368
1598408810,9826368
1598408811,9826368
1598408812,9831760
1598408813,9831760
1598408814,9832864
1598408815,9832864
1598408816,9832864
1598408817,9832864
1598408818,9832864
1598408819,9832864
1598408820,9833968
1598408821,9833968
1598408822,9833968
1598408823,9833968
1598408824,9833968
1598408825,9833968
1598408826,9833968
1598408827,9835072
1598408828,9835072
1598408829,9835072
1598408830,9835072
1598408831,9835072
1598408832,9837832
1598408833,9837832
1598408834,9838384
1598408835,9838384
1598408836,9838384
1598408837,9842800
1598408838,9842800
1598408839,9846112
1598408840,9846112
1598408841,9846112
1598408842,9846112
1598408843,9846112
1598408844,9846112
1598408845,9846112
1598408846,9948512
1598408847,9958024
1598408848,9958024
1598408849,9958024
1598408850,9958024
1598408851,9958024
1598408852,9958024
1598408853,9958024
1598408854,9958024
1598408855,9959024
1598408856,9959024
1598408857,9964088
1598408858,9964088
1598408859,9964088
1598408860,9964088
1598408861,9964088
1598408862,9964088
1598408863,9964088
1598408864,9964088
1598408865,9964088
1598408866,9965120
1598408867,9965120
1598408868,9965120
1598408869,9965120
1598408870,9965120
1598408871,9965120
1598408872,9965120
1598408873,9965120
1598408874,9965120
1598408875,9965120
1598408876,9965120
1598408877,9965120
1598408878,9965120
1598408879,9965120
1598408880,9965120
1598408881,9967096
1598408882,9967096
1598408883,9967096
1598408884,9967096
1598408885,9967096
1598408886,9967096
1598408887,9967096
1598408888,9967096
1598408889,9967096
1598408890,9967096
1598408891,9967096
1598408892,9967096
1598408893,9967096
1598408894,9967648
1598408895,9967648
1598408896,9967648
1598408897,9967648
1598408898,9967648
1598408899,9967648
1598408900,9967648
1598408901,9970136
1598408902,9970136
1598408903,9970136
1598408904,9970136
1598408905,9970136
1598408906,9970136
1598408907,9970136
1598408908,9970136
1598408909,9970136
1598408910,9970136
1598408911,9970136
1598408912,9970136
1598408913,9970136
1598408914,9970136
1598408915,9970136
1598408916,9970136
1598408917,9970136
1598408918,9970136
1598408919,9970136
1598408920,9970136
1598408921,9970136
1598408922,9970136
1598408923,9970136
1598408924,9970136
1598408925,9970136
1598408926,9970136
1598408927,9970136
1598408928,9970136
1598408929,9970136
1598408930,9970136
1598408931,9970136
1598408932,9970136
1598408933,9970136
1598408934,9970136
1598408935,9970136
1598408936,9970136
1598408937,9970136
1598408938,9970136
1598408939,9970136
1598408940,9970136
1598408941,9970136
1598408942,9970136
1598408943,9970136
1598408944,9970136
1598408945,9970136
1598408946,9970136
1598408947,9970136
1598408948,9970136
1598408949,9970136
1598408950,9970688
1598408951,9970688
1598408952,9970688
1598408953,9970688
1598408954,9970688
1598408955,9970688
1598408956,9970688
1598408957,9970688
1598408958,9970688
1598408959,9970688
1598408960,9970688
1598408961,9971792
1598408962,9971792
1598408963,9971792
1598408964,9971792
1598408965,9971792
1598408966,9971792
1598408967,9971792
1598408968,9971792
1598408969,9971792
1598408970,9971792
1598408971,9971792
1598408972,9971792
1598408973,9971792
1598408974,9971792
1598408975,9971792
1598408976,9971792
1598408977,9971792
1598408978,9971792
1598408979,9971792
1598408980,9971792
1598408981,9971792
1598408982,9971792
1598408983,9971792
1598408984,9971792
1598408985,9971792
1598408986,9971792
1598408987,9971792
1598408988,9971792
1598408989,9971792
1598408990,9971792
1598408991,9971792
1598408992,9971792
1598408993,9971792
1598408994,9971792
1598408995,9971792
1598408996,9971792
1598408997,9971792
1598408998,9971792
1598408999,9971792
1598409000,9971792
1598409001,9971792
1598409002,9971792
1598409003,9971792
1598409004,9971792
1598409005,9971792
1598409006,9971792
1598409007,9971792
1598409008,9971792
1598409009,9971792
1598409010,9971792
1598409011,9971792
1598409012,9971792
1598409013,9971792
1598409014,9971792
1598409015,9971792
1598409016,9971792
1598409017,9971792
1598409018,9971792
1598409019,9971792
1598409020,9971792
1598409021,9971792
1598409022,9971792
1598409023,9971792
1598409024,9971792
1598409025,9971792
1598409026,9971792
1598409027,9971792
1598409028,9971792
1598409029,9971792
1598409030,9976376
1598409031,10879784
1598409032,10879784
1598409033,10879784
1598409034,10905536
1598409035,10905536
1598409036,10905536
1598409037,10905536
1598409038,10905536
1598409039,10905536
1598409040,10905536
1598409041,10905536
1598409042,10905536
1598409043,10905536
1598409044,10906640
1598409045,10906640
1598409046,10906640
1598409047,10907192
1598409048,10907192
1598409049,10907192
1598409050,10907744
1598409051,10907744
1598409052,10907744
1598409053,10907744
1598409054,10907744
1598409055,10907744
1598409056,10908472
1598409057,10908472
1598409058,10908472
1598409059,10908472
1598409060,10908472
1598409061,10908472
1598409062,10908472
1598409063,10910680
1598409064,10910680
1598409065,10910680
1598409066,10910680
1598409067,10910680
1598409068,11105128
1598409069,11119784
1598409070,11142920
1598409071,11142920
1598409072,11148440
1598409073,11165656
1598409074,11165656
1598409075,11165656
1598409076,11165656
1598409077,11166184
1598409078,11166184
1598409079,11166184
1598409080,11166184
1598409081,11166184
1598409082,11166184
1598409083,11166184
1598409084,11166184
1598409085,11166184
1598409086,11166184
1598409087,11166184
1598409088,11166184
1598409089,11166184
1598409090,10724272
1598409091,10724272
1598409092,10724272
1598409093,10724272
1598409094,10724272
1598409095,10724272
1598409096,10724272
1598409097,10724272
1598409098,10724824
1598409099,10724824
1598409100,10724824
1598409101,10724824
1598409102,10724824
1598409103,10724824
1598409104,10724824
1598409105,10724824
1598409106,10725816
1598409107,10726808
1598409108,10727816
1598409109,10727816
1598409110,10727816
1598409111,10727816
1598409112,10727816
1598409113,10727816
1598409114,10727816
1598409115,10729872
1598409116,10729872
1598409117,10729872
1598409118,10729872
1598409119,10729872
1598409120,10729872
1598409121,10729872
1598409122,10729872
1598409123,10729872
1598409124,10729872
1598409125,10729872
1598409126,10729872
1598409127,10729872
1598409128,10729872
1598409129,10729872
1598409130,10729872
1598409131,10729872
1598409132,10729872
1598409133,10729872
1598409134,10729872
1598409135,10729872
1598409136,10729872
1598409137,10729872
1598409138,10729872
1598409139,10729872
1598409140,10729872
1598409141,10729872
1598409142,10729872
1598409143,10729872
1598409144,10729872
1598409145,10729872
1598409146,10729872
1598409147,10729872
1598409148,10729872
1598409149,10729872
1598409150,10729872
1598409151,10729872
1598409152,10729872
1598409153,10729872
1598409154,10729872
1598409155,10729872
1598409156,10729872
1598409157,10729872
1598409158,10729872
1598409159,10729872
1598409160,10729872
1598409161,10729872
1598409162,10729872
1598409163,10729872
1598409164,10729872
1598409165,10729872
1598409166,10729872
1598409167,10729872
1598409168,10729872
1598409169,10729872
1598409170,10729872
1598409171,10729872
1598409172,10729872
1598409173,10729872
1598409174,10729872
1598409175,10729872
1598409176,10729872
1598409177,10729872
1598409178,10729872
1598409179,10729872
1598409180,10729872
1598409181,10729872
1598409182,10729872
1598409183,10729872
1598409184,10729872
1598409185,10729872
1598409186,10729872
1598409187,10729872
1598409188,10729872
1598409189,10729872
1598409190,10729872
1598409191,10729872
1598409192,10729872
1598409193,10729872
