t,value
1598408781,0
1598408782,0
1598408783,0
1598408784,0
1598408785,0
1598408786,0
1598408787,0
1598408788,0
1598408789,0
1598408790,0
1598408791,0
1598408792,18521
1598408793,18521
1598408794,18521
1598408795,18521
1598408796,18521
1598408797,18521
1598408798,18521
1598408799,18521
1598408800,18521
1598408801,18521
1598408802,178015
1598408803,178015
1598408804,178015
1598408805,178015
1598408806,178015
1598408807,178015
1598408808,178015
1598408809,178015
1598408810,178015
1598408811,178015
1598408812,244094
1598408813,244094
1598408814,244094
1598408815,244094
1598408816,244094
1598408817,244094
1598408818,244094
1598408819,244094
1598408820,244094
1598408821,244094
1598408822,178015
1598408823,178015
1598408824,178015
1598408825,178015
1598408826,178015
1598408827,178015
1598408828,178015
1598408829,178015
1598408830,178015
1598408831,178015
1598408832,178009
1598408833,178009
1598408834,178009
1598408835,178009
1598408836,178009
1598408837,178009
1598408838,178009
1598408839,178009
1598408840,178009
1598408841,178009
1598408842,244094
1598408843,244094
1598408844,244094
1598408845,244094
1598408846,244094
1598408847,244094
1598408848,244094
1598408849,244094
1598408850,244094
1598408851,244094
1598408852,178020
1598408853,178020
1598408854,178020
1598408855,178020
1598408856,178020
1598408857,178020
1598408858,178020
1598408859,178020
1598408860,178020
1598408861,178020
1598408862,178296
1598408863,178296
1598408864,178296
1598408865,178296
1598408866,178296
1598408867,178296
1598408868,178296
1598408869,178296
1598408870,178296
1598408871,178296
1598408872,178302
1598408873,178302
1598408874,178302
1598408875,178302
1598408876,178302
1598408877,178302
1598408878,178302
1598408879,178302
1598408880,178302
1598408881,178302
1598408882,178302
1598408883,178302
1598408884,178302
1598408885,178302
1598408886,178302
1598408887,178302
1598408888,178302
1598408889,178302
1598408890,178302
1598408891,178302
1598408892,178296
1598408893,178296
1598408894,178296
1598408895,178296
1598408896,178296
1598408897,178296
1598408898,178296
1598408899,178296
1598408900,178296
1598408901,178296
1598408902,178296
1598408903,178296
1598408904,178296
1598408905,178296
1598408906,178296
1598408907,178296
1598408908,178296
1598408909,178296
1598408910,178296
1598408911,178296
1598408912,178296
1598408913,178296
1598408914,178296
1598408915,178296
1598408916,178296
1598408917,178296
1598408918,178296
1598408919,178296
1598408920,178296
1598408921,178296
1598408922,178296
1598408923,178296
1598408924,178296
1598408925,178296
1598408926,178296
1598408927,178296
1598408928,178296
1598408929,178296
1598408930,178296
1598408931,178296
1598408932,178296
1598408933,178296
1598408934,178296
1598408935,178296
1598408936,178296
1598408937,178296
1598408938,178296
1598408939,178296
1598408940,178296
1598408941,178296
1598408942,178296
1598408943,178296
1598408944,178296
1598408945,178296
1598408946,178296
1598408947,178296
1598408948,178296
1598408949,178296
1598408950,178296
1598408951,178296
1598408952,178296
1598408953,178296
1598408954,178296
1598408955,178296
1598408956,178296
1598408957,178296
1598408958,178296
1598408959,178296
1598408960,178296
1598408961,178296
1598408962,178296
1598408963,178296
1598408964,178296
1598408965,178296
1598408966,178296
1598408967,178296
1598408968,178296
1598408969,178296
1598408970,178296
1598408971,178296
1598408972,178296
1598408973,178296
1598408974,178296
1598408975,178296
1598408976,178296
1598408977,178296
1598408978,178296
1598408979,178296
1598408980,178296
1598408981,178296
1598408982,178296
1598408983,178296
1598408984,178296
1598408985,178296
1598408986,178296
1598408987,178296
1598408988,178296
1598408989,178296
1598408990,178296
1598408991,178296
1598408992,178296
1598408993,178296
1598408994,178296
1598408995,178296
1598408996,178296
1598408997,178296
1598408998,178296
1598408999,178296
1598409000,178296
1598409001,178296
1598409002,178296
1598409003,178296
1598409004,178296
1598409005,178296
1598409006,178296
1598409007,178296
1598409008,178296
1598409009,178296
1598409010,178296
1598409011,178296
1598409012,178296
1598409013,178296
1598409014,178296
1598409015,178296
1598409016,178296
1598409017,178296
1598409018,178296
1598409019,178296
1598409020,178296
1598409021,178296
1598409022,178296
1598409023,178296
1598409024,178296
1598409025,178296
1598409026,178296
1598409027,178296
1598409028,178296
1598409029,178296
1598409030,178296
1598409031,178296
1598409032,178296
1598409033,178296
1598409034,178296
1598409035,178296
1598409036,178296
1598409037,178296
1598409038,178296
1598409039,178296
1598409040,178296
1598409041,178296
1598409042,178302
1598409043,178302
1598409044,178302
1598409045,178302
1598409046,178302
1598409047,178302
1598409048,178302
1598409049,178302
1598409050,178302
1598409051,178302
1598409052,178302
1598409053,178302
1598409054,178302
1598409055,178302
1598409056,178302
1598409057,178302
1598409058,178302
1598409059,178302
1598409060,178302
1598409061,178302
1598409062,178296
1598409063,178296
1598409064,178296
1598409065,178296
1598409066,178296
1598409067,178296
1598409068,178296
1598409069,178296
1598409070,178296
1598409071,178296
1598409072,178967
1598409073,178967
1598409074,178967
1598409075,178967
1598409076,178967
1598409077,178967
1598409078,178967
1598409079,178967
1598409080,178967
1598409081,178967
1598409082,178973
1598409083,178973
1598409084,178973
1598409085,178973
1598409086,178973
1598409087,178973
1598409088,178973
1598409089,178973
1598409090,178973
1598409091,178973
1598409092,178967
1598409093,178967
1598409094,178967
1598409095,178967
1598409096,178967
1598409097,178967
1598409098,178967
1598409099,178967
1598409100,178967
1598409101,178967
1598409102,178967
1598409103,178967
1598409104,178967
1598409105,178967
1598409106,178967
1598409107,178967
1598409108,178967
1598409109,178967
1598409110,178967
1598409111,178967
1598409112,178967
1598409113,178967
1598409114,178967
1598409115,178967
1598409116,178967
1598409117,178967
1598409118,178967
1598409119,178967
1598409120,178967
1598409121,178967
1598409122,178967
1598409123,178967
1598409124,178967
1598409125,178967
1598409126,178967
1598409127,178967
1598409128,178967
1598409129,178967
1598409130,178967
1598409131,178967
1598409132,178967
1598409133,178967
1598409134,178967
1598409135,178967
1598409136,178967
1598409137,178967
1598409138,178967
1598409139,178967
1598409140,178967
1598409141,178967
1598409142,178967
1598409143,178967
1598409144,178967
1598409145,178967
1598409146,178967
1598409147,178967
1598409148,178967
1598409149,178967
1598409150,178967
1598409151,178967
1598409152,188224
1598409153,188224
1598409154,188224
1598409155,188224
1598409156,188224
1598409157,188224
1598409158,188224
1598409159,188224
1598409160,188224
1598409161,188224
1598409162,188224
1598409163,188224
1598409164,188224
1598409165,188224
1598409166,188224
1598409167,188224
1598409168,188224
1598409169,188224
1598409170,188224
1598409171,188224
1598409172,188224
1598409173,188224
1598409174,188224
1598409175,188224
1598409176,188224
1598409177,188224
1598409178,188224
1598409179,188224
1598409180,188224
1598409181,188224
1598409182,196416
1598409183,196416
1598409184,196416
1598409185,196416
1598409186,196416
1598409187,196416
1598409188,196416
1598409189,196416
1598409190,196416
1598409191,196416
1598409192,188224
1598409193,188224
1598409194,188224
1598409195,188224
1598409196,188224
1598409197,188224
1598409198,188224
1598409199,188224
1598409200,188224
1598409201,188224
1598409202,188255
1598409203,188255
1598409204,188255
1598409205,188255
1598409206,188255
1598409207,188255
1598409208,188255
1598409209,188255
1598409210,188255
1598409211,188255
1598409212,188255
1598409213,188255
1598409214,188255
1598409215,188255
1598409216,188255
1598409217,188255
1598409218,188255
1598409219,188255
1598409220,188255
1598409221,188255
1598409222,188255
1598409223,188255
1598409224,188255
1598409225,188255
1598409226,188255
1598409227,188255
1598409228,188255
1598409229,188255
1598409230,188255
1598409231,188255
1598409232,188255
1598409233,188255
1598409234,188255
1598409235,188255
1598409236,188255
1598409237,188255
1598409238,188255
1598409239,188255
1598409240,188255
1598409241,188255
1598409242,196579
1598409243,196579
1598409244,196579
1598409245,196579
1598409246,196579
1598409247,196579
1598409248,196579
1598409249,196579
1598409250,196579
1598409251,196579
1598409252,196573
1598409253,196573
1598409254,196573
1598409255,196573
1598409256,196573
1598409257,196573
1598409258,196573
1598409259,196573
1598409260,196573
1598409261,196573
1598409262,196579
1598409263,196579
1598409264,196579
1598409265,196579
1598409266,196579
1598409267,196579
1598409268,196579
1598409269,196579
1598409270,196579
1598409271,196579
1598409272,196573
1598409273,196573
1598409274,196573
1598409275,196573
1598409276,196573
1598409277,196573
1598409278,196573
1598409278,196573
