t,value
1598408781,1956
1598408782,10168
1598408783,10168
1598408784,10168
1598408785,10168
1598408786,10168
1598408787,10168
1598408788,10168
1598408789,10168
1598408790,10049
1598408791,10049
1598408792,20660
1598408793,20660
1598408794,20660
1598408795,20660
1598408796,20660
1598408797,20719
1598408798,20719
1598408799,20719
1598408800,178013
1598408801,178013
1598408802,178007
1598408803,178013
1598408804,178013
1598408805,178013
1598408806,178013
1598408807,178013
1598408808,244092
1598408809,244092
1598408810,244092
1598408811,244092
1598408812,178007
1598408813,178013
1598408814,178007
1598408815,178013
1598408816,178013
1598408817,178007
1598408818,178007
1598408819,178007
1598408820,178007
1598408821,178013
1598408822,178013
1598408823,178013
1598408824,178013
1598408825,178013
1598408826,178013
1598408827,178013
1598408828,178007
1598408829,178013
1598408830,178013
1598408831,178013
1598408832,178007
1598408833,178013
1598408834,178013
1598408835,178013
1598408836,244092
1598408837,244092
1598408838,244092
1598408839,244092
1598408840,244092
1598408841,244092
1598408842,244092
1598408843,178007
1598408844,178013
1598408845,178013
1598408846,178018
1598408847,178012
1598408848,178012
1598408849,178012
1598408850,178012
1598408851,178018
1598408852,178012
1598408853,178012
1598408854,178018
1598408855,178018
1598408856,178012
1598408857,178012
1598408858,178294
1598408859,178300
1598408860,178294
1598408861,178294
1598408862,178300
1598408863,178294
1598408864,178300
1598408865,178300
1598408866,178294
1598408867,178294
1598408868,178300
1598408869,178294
1598408870,178294
1598408871,178294
1598408872,178300
1598408873,178294
1598408874,178294
1598408875,178294
1598408876,178294
1598408877,178300
1598408878,178294
1598408879,178294
1598408880,178294
1598408881,178300
1598408882,178294
1598408883,178300
1598408884,178294
1598408885,178294
1598408886,178300
1598408887,178294
1598408888,178294
1598408889,178294
1598408890,178294
1598408891,178294
1598408892,178300
1598408893,178300
1598408894,178294
1598408895,178294
1598408896,178294
1598408897,178294
1598408898,178300
1598408899,178294
1598408900,178294
1598408901,178294
1598408902,178300
1598408903,178294
1598408904,178294
1598408905,178294
1598408906,178294
1598408907,178294
1598408908,178294
1598408909,178300
1598408910,178294
1598408911,178294
1598408912,178294
1598408913,178294
1598408914,178294
1598408915,178294
1598408916,178294
1598408917,178294
1598408918,178300
1598408919,178294
1598408920,178300
1598408921,178294
1598408922,178294
1598408923,178294
1598408924,178294
1598408925,178294
1598408926,178300
1598408927,178294
1598408928,178294
1598408929,178300
1598408930,178294
1598408931,178294
1598408932,178300
1598408933,178294
1598408934,178294
1598408935,178294
1598408936,178294
1598408937,178294
1598408938,178294
1598408939,178294
1598408940,178294
1598408941,178294
1598408942,178300
1598408943,178294
1598408944,178294
1598408945,178294
1598408946,178294
1598408947,178294
1598408948,178294
1598408949,178294
1598408950,178294
1598408951,178294
1598408952,178294
1598408953,178300
1598408954,178294
1598408955,178294
1598408956,178294
1598408957,178294
1598408958,178294
1598408959,178300
1598408960,178294
1598408961,178294
1598408962,178294
1598408963,178294
1598408964,178294
1598408965,178294
1598408966,178294
1598408967,178300
1598408968,178294
1598408969,178294
1598408970,178294
1598408971,178300
1598408972,178294
1598408973,178294
1598408974,178294
1598408975,178294
1598408976,178294
1598408977,178294
1598408978,178294
1598408979,178294
1598408980,178294
1598408981,178294
1598408982,178294
1598408983,178294
1598408984,178300
1598408985,178294
1598408986,178294
1598408987,178294
1598408988,178294
1598408989,178294
1598408990,178294
1598408991,178294
1598408992,178294
1598408993,178294
1598408994,178294
1598408995,178294
1598408996,178294
1598408997,178294
1598408998,178294
1598408999,178294
1598409000,178294
1598409001,178294
1598409002,178294
1598409003,178294
1598409004,178294
1598409005,178294
1598409006,178294
1598409007,178294
1598409008,178294
1598409009,178294
1598409010,178300
1598409011,178294
1598409012,178294
1598409013,178294
1598409014,178294
1598409015,178294
1598409016,178294
1598409017,178294
1598409018,178294
1598409019,178294
1598409020,178294
1598409021,178294
1598409022,178294
1598409023,178294
1598409024,178294
1598409025,178294
1598409026,178294
1598409027,178294
1598409028,178294
1598409029,178294
1598409030,178294
1598409031,178294
1598409032,178294
1598409033,178294
1598409034,178294
1598409035,178300
1598409036,178300
1598409037,178294
1598409038,178294
1598409039,178294
1598409040,178300
1598409041,178294
1598409042,178294
1598409043,178294
1598409044,178294
1598409045,178294
1598409046,178294
1598409047,178294
1598409048,178294
1598409049,178294
1598409050,178294
1598409051,178294
1598409052,178300
1598409053,178294
1598409054,178294
1598409055,178300
1598409056,178300
1598409057,178300
1598409058,178294
1598409059,178300
1598409060,178300
1598409061,178294
1598409062,178300
1598409063,178300
1598409064,178294
1598409065,178294
1598409066,178294
1598409067,178294
1598409068,178965
1598409069,178965
1598409070,178965
1598409071,178965
1598409072,178971
1598409073,178971
1598409074,178971
1598409075,178971
1598409076,178971
1598409077,178971
1598409078,178965
1598409079,178965
1598409080,178971
1598409081,178971
1598409082,178971
1598409083,178971
1598409084,178971
1598409085,178971
1598409086,178965
1598409087,178971
1598409088,178965
1598409089,178965
1598409090,178971
1598409091,178971
1598409092,178971
1598409093,178971
1598409094,178971
1598409095,178971
1598409096,178971
1598409097,178971
1598409098,178971
1598409099,178971
1598409100,178971
1598409101,178965
1598409102,178971
1598409103,178965
1598409104,178971
1598409105,178971
1598409106,178971
1598409107,178965
1598409108,178965
1598409109,178965
1598409110,178965
1598409111,178965
1598409112,178965
1598409113,178965
1598409114,178965
1598409115,178965
1598409116,178965
1598409117,178965
1598409118,178965
1598409119,178965
1598409120,178965
1598409121,178965
1598409122,178965
1598409123,178965
1598409124,178965
1598409125,178965
1598409126,178965
1598409127,178965
1598409128,178965
1598409129,178965
1598409130,178965
1598409131,178965
1598409132,178965
1598409133,178965
1598409134,178965
1598409135,178965
1598409136,178965
1598409137,178965
1598409138,178965
1598409139,178965
1598409140,178965
1598409141,178965
1598409142,187172
1598409143,187172
1598409144,187172
1598409145,187172
1598409146,187172
1598409147,187172
1598409148,187172
1598409149,187172
1598409150,187172
1598409151,188228
1598409152,188222
1598409153,188222
1598409154,188222
1598409155,188222
1598409156,188222
1598409157,188222
1598409158,188222
1598409159,188222
1598409160,188222
1598409161,188222
1598409162,188222
1598409163,188222
1598409164,188222
1598409165,188222
1598409166,188222
1598409167,188222
1598409168,188222
