t,value
1598408781,21495808
1598408782,21495808
1598408783,21495808
1598408784,21495808
1598408785,21495808
1598408786,21495808
1598408787,21495808
1598408788,21495808
1598408789,21495808
1598408790,12582912
1598408791,21495808
1598408792,21495808
1598408793,21495808
1598408794,21495808
1598408795,21495808
1598408796,21495808
1598408797,21495808
1598408798,14155776
1598408799,16252928
1598408800,16252928
1598408801,5767168
1598408802,18874368
1598408803,18874368
1598408804,18350080
1598408805,18350080
1598408806,18350080
1598408807,18350080
1598408808,10485760
1598408809,10485760
1598408810,17825792
1598408811,17825792
1598408812,11534336
1598408813,11534336
1598408814,16777216
1598408815,16777216
1598408816,16777216
1598408817,9961472
1598408818,9961472
1598408819,9961472
1598408820,15728640
1598408821,15728640
1598408822,15728640
1598408823,11010048
1598408824,11010048
1598408825,14680064
1598408826,14680064
1598408827,14680064
1598408828,9961472
1598408829,9961472
1598408830,9961472
1598408831,9961472
1598408832,14155776
1598408833,14155776
1598408834,9437184
1598408835,9437184
1598408836,14680064
1598408837,14680064
1598408838,14680064
1598408839,14680064
1598408840,14680064
1598408841,14680064
1598408842,14680064
1598408843,8388608
1598408844,8388608
1598408845,8388608
1598408846,8388608
1598408847,14155776
1598408848,12582912
1598408849,13631488
1598408850,12582912
1598408851,12582912
1598408852,12582912
1598408853,12058624
1598408854,8912896
1598408855,11010048
1598408856,8388608
1598408857,9961472
1598408858,7340032
1598408859,7340032
1598408860,9437184
1598408861,7340032
1598408862,8388608
1598408863,6291456
1598408864,6291456
1598408865,7864320
1598408866,5767168
1598408867,7340032
1598408868,7340032
1598408869,6291456
1598408870,6815744
1598408871,6815744
1598408872,5767168
1598408873,6291456
1598408874,6291456
1598408875,4718592
1598408876,5242880
1598408877,5242880
1598408878,5242880
1598408879,1572864
1598408880,1572864
1598408881,4718592
1598408882,4718592
1598408883,4718592
1598408884,4194304
1598408885,4194304
1598408886,4194304
1598408887,1048576
1598408888,1048576
1598408889,1048576
1598408890,1048576
1598408891,3670016
1598408892,3670016
1598408893,1048576
1598408894,1048576
1598408895,1048576
1598408896,3145728
1598408897,1048576
1598408898,1048576
1598408899,1048576
1598408900,1048576
1598408901,1048576
1598408902,1048576
1598408903,1048576
1598408904,1048576
1598408905,1048576
1598408906,1048576
1598408907,1048576
1598408908,1048576
1598408909,1048576
1598408910,1048576
1598408911,1048576
1598408912,1048576
1598408913,1048576
1598408914,1048576
1598408915,1048576
1598408916,1048576
1598408917,1048576
1598408918,1048576
1598408919,1048576
1598408920,1572864
1598408921,1048576
1598408922,524288
1598408923,1048576
1598408924,1048576
1598408925,524288
1598408926,1048576
1598408927,524288
1598408928,1048576
1598408929,524288
1598408930,524288
1598408931,1048576
1598408932,524288
1598408933,1048576
1598408934,1048576
1598408935,1048576
1598408936,524288
1598408937,1048576
1598408938,524288
1598408939,1048576
1598408940,524288
1598408941,1048576
1598408942,524288
1598408943,1048576
1598408944,524288
1598408945,1048576
1598408946,524288
1598408947,1048576
1598408948,1048576
1598408949,1048576
1598408950,1048576
1598408951,1048576
1598408952,524288
1598408953,524288
1598408954,1048576
1598408955,1048576
1598408956,524288
1598408957,524288
1598408958,524288
1598408959,524288
1598408960,524288
1598408961,1048576
1598408962,524288
1598408963,524288
1598408964,524288
1598408965,1048576
1598408966,1048576
1598408967,524288
1598408968,1048576
1598408969,1048576
1598408970,1048576
1598408971,1048576
1598408972,524288
1598408973,1048576
1598408974,524288
1598408975,1048576
1598408976,524288
1598408977,524288
1598408978,1048576
1598408979,1048576
1598408980,1048576
1598408981,524288
1598408982,1048576
1598408983,1048576
1598408984,1048576
1598408985,524288
1598408986,1048576
1598408987,524288
1598408988,524288
1598408989,1048576
1598408990,1048576
1598408991,524288
1598408992,1048576
1598408993,524288
1598408994,1048576
1598408995,524288
1598408996,524288
1598408997,1048576
1598408998,524288
1598408999,524288
1598409000,1048576
1598409001,1048576
1598409002,524288
1598409003,1048576
1598409004,1048576
1598409005,524288
1598409006,524288
1598409007,524288
1598409008,1048576
1598409009,1048576
1598409010,524288
1598409011,524288
1598409012,1048576
1598409013,1048576
1598409014,524288
1598409015,524288
1598409016,524288
1598409017,524288
1598409018,524288
1598409019,524288
1598409020,524288
1598409021,524288
1598409022,524288
1598409023,524288
1598409024,524288
1598409025,1048576
1598409026,1048576
1598409027,524288
1598409028,524288
1598409029,524288
1598409030,524288
1598409031,1048576
1598409032,2097152
1598409033,3145728
1598409034,5242880
1598409035,5242880
1598409036,5242880
1598409037,4718592
1598409038,4718592
1598409039,4718592
1598409040,7340032
1598409041,9437184
1598409042,10485760
1598409043,9437184
1598409044,7864320
1598409045,7864320
1598409046,13631488
1598409047,3670016
1598409048,6291456
1598409049,7340032
1598409050,3670016
1598409051,7340032
1598409052,6291456
1598409053,7864320
1598409054,9437184
1598409055,11534336
1598409056,7340032
1598409057,4194304
1598409058,8388608
1598409059,7340032
1598409060,5242880
1598409061,7864320
1598409062,9437184
1598409063,9437184
1598409064,11534336
1598409065,12582912
1598409066,12582912
1598409067,12582912
1598409068,9961472
1598409069,9961472
1598409070,9437184
1598409071,12058624
1598409072,15204352
1598409073,18350080
1598409074,17825792
1598409075,18874368
1598409076,11534336
1598409077,11534336
1598409078,19398656
1598409079,19398656
1598409080,19398656
1598409081,22544384
1598409082,27787264
1598409083,28835840
1598409084,35127296
1598409085,40370176
1598409086,37224448
1598409087,38797312
1598409088,33030144
1598409089,35651584
1598409090,31457280
1598409091,33554432
1598409092,28311552
1598409093,30932992
1598409094,26738688
1598409095,28835840
1598409096,24641536
1598409097,26738688
1598409098,23592960
1598409099,25165824
1598409100,23068672
1598409101,24117248
1598409102,24117248
1598409103,22020096
1598409104,22020096
1598409105,22020096
1598409106,22020096
1598409107,22544384
1598409108,22544384
1598409109,24641536
1598409110,24641536
1598409111,524288
1598409112,35651584
1598409113,35651584
1598409114,524288
1598409115,524288
1598409116,36700160
1598409117,524288
1598409118,524288
1598409119,35651584
1598409120,35127296
1598409121,35127296
1598409122,33554432
1598409123,33554432
1598409124,524288
1598409125,524288
1598409126,524288
1598409127,30408704
1598409128,524288
1598409129,27787264
1598409130,27787264
1598409131,524288
1598409132,24641536
1598409133,524288
1598409134,22020096
1598409135,22020096
1598409136,524288
1598409137,19398656
1598409138,524288
1598409139,17301504
1598409140,524288
1598409141,15204352
1598409142,524288
1598409143,13107200
1598409144,524288
1598409145,524288
1598409146,11534336
1598409147,524288
1598409148,9961472
1598409149,524288
1598409150,524288
1598409151,8388608
1598409152,1048576
1598409153,7340032
1598409154,524288
1598409155,6291456
1598409156,524288
1598409157,524288
1598409158,5242880
1598409159,1048576
1598409160,4718592
1598409161,524288
1598409162,4194304
1598409163,524288
1598409164,524288
1598409165,3670016
1598409166,524288
1598409167,3145728
1598409168,524288
1598409169,2621440
1598409170,524288
1598409171,2621440
1598409172,2621440
1598409173,524288
1598409174,2097152
1598409175,524288
1598409176,524288
1598409177,524288
1598409178,2097152
1598409179,2097152
1598409180,524288
1598409181,524288
1598409182,1572864
1598409183,1572864
1598409184,524288
1598409185,524288
1598409186,1572864
1598409187,1572864
1598409188,524288
1598409189,1572864
1598409190,1572864
1598409191,524288
1598409192,524288
1598409193,1048576
1598409194,1048576
1598409195,524288
1598409196,1048576
1598409197,1048576
1598409198,524288
1598409199,1048576
1598409200,1048576
1598409201,1048576
1598409202,1048576
1598409203,1048576
1598409204,1048576
1598409205,1048576
1598409206,1048576
1598409207,1048576
1598409208,1048576
1598409209,1048576
1598409210,1048576
1598409211,1048576
