t,value
1598408781,0
1598408782,0
1598408783,0
1598408784,0
1598408785,0
1598408786,0
1598408787,0
1598408788,0
1598408789,0
1598408790,0
1598408791,0
1598408792,0
1598408793,0
1598408794,0
1598408795,0
1598408796,0
1598408797,0
1598408798,178907624
1598408799,178907624
1598408800,178907624
1598408801,178907624
1598408802,178907624
1598408803,178907624
1598408804,178907624
1598408805,178907624
1598408806,178907624
1598408807,178907624
1598408808,627588976
1598408809,627588976
1598408810,627588976
1598408811,627588976
1598408812,627588976
1598408813,627588976
1598408814,627588976
1598408815,627588976
1598408816,627588976
1598408817,627588976
1598408818,567644784
1598408819,567644784
1598408820,567644784
1598408821,567644784
1598408822,567644784
1598408823,567644784
1598408824,567644784
1598408825,567644784
1598408826,567644784
1598408827,567644784
1598408828,594154840
1598408829,594154840
1598408830,594154840
1598408831,594154840
1598408832,594154840
1598408833,594154840
1598408834,594154840
1598408835,594154840
1598408836,594154840
1598408837,594154840
1598408838,206235936
1598408839,206235936
1598408840,206235936
1598408841,206235936
1598408842,206235936
1598408843,206235936
1598408844,206235936
1598408845,206235936
1598408846,206235936
1598408847,206235936
1598408848,1174304624
1598408849,1174304624
1598408850,1174304624
1598408851,1174304624
1598408852,1174304624
1598408853,1174304624
1598408854,1174304624
1598408855,1174304624
1598408856,1174304624
1598408857,1174304624
1598408858,369085176
1598408859,369085176
1598408860,369085176
1598408861,369085176
1598408862,369085176
1598408863,369085176
1598408864,369085176
1598408865,369085176
1598408866,369085176
1598408867,369085176
1598408868,332141528
1598408869,332141528
1598408870,332141528
1598408871,332141528
1598408872,332141528
1598408873,332141528
1598408874,332141528
1598408875,332141528
1598408876,332141528
1598408877,332141528
1598408878,250486360
1598408879,250486360
1598408880,250486360
1598408881,250486360
1598408882,250486360
1598408883,250486360
1598408884,250486360
1598408885,250486360
1598408886,250486360
1598408887,250486360
1598408888,622092384
1598408889,622092384
1598408890,622092384
1598408891,622092384
1598408892,622092384
1598408893,622092384
1598408894,622092384
1598408895,622092384
1598408896,622092384
1598408897,622092384
1598408898,483759520
1598408899,483759520
1598408900,483759520
1598408901,483759520
1598408902,483759520
1598408903,483759520
1598408904,483759520
1598408905,483759520
1598408906,483759520
1598408907,483759520
1598408908,219217488
1598408909,219217488
1598408910,219217488
1598408911,219217488
1598408912,219217488
1598408913,219217488
1598408914,219217488
1598408915,219217488
1598408916,219217488
1598408917,219217488
1598408918,313561712
1598408919,313561712
1598408920,313561712
1598408921,313561712
1598408922,313561712
1598408923,313561712
1598408924,313561712
1598408925,313561712
1598408926,313561712
1598408927,313561712
1598408928,234183488
1598408929,234183488
1598408930,234183488
1598408931,234183488
1598408932,234183488
1598408933,234183488
1598408934,234183488
1598408935,234183488
1598408936,234183488
1598408937,234183488
1598408938,51888472
1598408939,51888472
1598408940,51888472
1598408941,51888472
1598408942,51888472
1598408943,51888472
1598408944,51888472
1598408945,51888472
1598408946,51888472
1598408947,51888472
1598408948,247971368
1598408949,247971368
1598408950,247971368
1598408951,247971368
1598408952,247971368
1598408953,247971368
1598408954,247971368
1598408955,247971368
1598408956,247971368
1598408957,247971368
1598408958,247810024
1598408959,247810024
1598408960,247810024
1598408961,247810024
1598408962,247810024
1598408963,247810024
1598408964,247810024
1598408965,247810024
1598408966,247810024
1598408967,247810024
1598408968,123763560
1598408969,123763560
1598408970,123763560
1598408971,123763560
1598408972,123763560
1598408973,123763560
1598408974,123763560
1598408975,123763560
1598408976,123763560
1598408977,123763560
1598408978,138346560
1598408979,138346560
1598408980,138346560
1598408981,138346560
1598408982,138346560
1598408983,138346560
1598408984,138346560
1598408985,138346560
1598408986,138346560
1598408987,138346560
1598408988,114700656
1598408989,114700656
1598408990,114700656
1598408991,114700656
1598408992,114700656
1598408993,114700656
1598408994,114700656
1598408995,114700656
1598408996,114700656
1598408997,114700656
1598408998,88820016
1598408999,88820016
1598409000,88820016
1598409001,88820016
1598409002,88820016
1598409003,88820016
1598409004,88820016
1598409005,88820016
1598409006,88820016
1598409007,88820016
1598409008,62674256
1598409009,62674256
1598409010,62674256
1598409011,62674256
1598409012,62674256
1598409013,62674256
1598409014,62674256
1598409015,62674256
1598409016,62674256
1598409017,62674256
1598409018,64891152
1598409019,64891152
1598409020,64891152
1598409021,64891152
1598409022,64891152
1598409023,64891152
1598409024,64891152
1598409025,64891152
1598409026,64891152
1598409027,64891152
1598409028,74804736
1598409029,74804736
1598409030,74804736
1598409031,74804736
1598409032,74804736
1598409033,74804736
1598409034,74804736
1598409035,74804736
1598409036,74804736
1598409037,74804736
1598409038,385165288
1598409039,385165288
1598409040,385165288
1598409041,385165288
1598409042,385165288
1598409043,385165288
1598409044,385165288
1598409045,385165288
1598409046,385165288
1598409047,385165288
1598409048,176550800
1598409049,176550800
1598409050,176550800
1598409051,176550800
1598409052,176550800
1598409053,176550800
1598409054,176550800
1598409055,176550800
1598409056,176550800
1598409057,176550800
1598409058,784944336
1598409059,784944336
1598409060,784944336
1598409061,784944336
1598409062,784944336
1598409063,784944336
1598409064,784944336
1598409065,784944336
1598409066,784944336
1598409067,784944336
1598409068,437411024
1598409069,437411024
1598409070,437411024
1598409071,437411024
1598409072,437411024
1598409073,437411024
1598409074,437411024
1598409075,437411024
1598409076,437411024
1598409077,437411024
1598409078,344546248
1598409079,344546248
1598409080,344546248
1598409081,344546248
1598409082,344546248
1598409083,344546248
1598409084,344546248
1598409085,344546248
1598409086,344546248
1598409087,344546248
1598409088,277130256
1598409089,277130256
1598409090,277130256
1598409091,277130256
1598409092,277130256
1598409093,277130256
1598409094,277130256
1598409095,277130256
1598409096,277130256
1598409097,277130256
1598409098,172873288
1598409099,172873288
1598409100,172873288
1598409101,172873288
1598409102,172873288
1598409103,172873288
1598409104,172873288
1598409105,172873288
1598409106,172873288
1598409107,172873288
1598409108,1148705584
1598409109,1148705584
1598409110,1148705584
1598409111,1148705584
1598409112,1148705584
1598409113,1148705584
1598409114,1148705584
1598409115,1148705584
1598409116,1148705584
1598409117,1148705584
1598409118,1198930024
1598409119,1198930024
1598409120,1198930024
1598409121,1198930024
1598409122,1198930024
1598409123,1198930024
1598409124,1198930024
1598409125,1198930024
1598409126,1198930024
1598409127,1198930024
1598409128,1358077808
1598409129,1358077808
1598409130,1358077808
1598409131,1358077808
1598409132,1358077808
1598409133,1358077808
1598409134,1358077808
1598409135,1358077808
1598409136,1358077808
1598409137,1358077808
1598409138,899550280
1598409139,899550280
1598409140,899550280
1598409141,899550280
1598409142,899550280
1598409143,899550280
1598409144,899550280
1598409145,899550280
1598409146,899550280
1598409147,899550280
1598409148,583936752
1598409149,583936752
1598409150,583936752
1598409151,583936752
1598409152,583936752
1598409153,583936752
1598409154,583936752
1598409155,583936752
1598409156,583936752
1598409157,583936752
1598409158,758493304
1598409159,758493304
1598409160,758493304
1598409161,758493304
1598409162,758493304
1598409163,758493304
1598409164,758493304
1598409165,758493304
1598409166,758493304
1598409167,758493304
1598409168,270695672
1598409169,270695672
1598409170,270695672
1598409171,270695672
1598409172,270695672
1598409173,270695672
1598409174,270695672
1598409175,270695672
1598409176,270695672
1598409177,270695672
1598409178,217978936
1598409179,217978936
1598409180,217978936
1598409181,217978936
1598409182,217978936
1598409183,217978936
1598409184,217978936
1598409185,217978936
1598409186,217978936
1598409187,217978936
1598409188,284094376
1598409189,284094376
1598409190,284094376
1598409191,284094376
1598409192,284094376
1598409193,284094376
1598409194,284094376
1598409195,284094376
1598409196,284094376
1598409197,284094376
1598409198,302179856
1598409199,302179856
1598409200,302179856
1598409201,302179856
1598409202,302179856
1598409203,302179856
1598409204,302179856
1598409205,302179856
1598409206,302179856
1598409207,302179856
1598409208,320175864
1598409209,320175864
1598409210,320175864
1598409211,320175864
1598409212,320175864
1598409213,320175864
1598409214,320175864
1598409215,320175864
1598409216,320175864
1598409217,320175864
1598409218,338173264
1598409219,338173264
1598409220,338173264
1598409221,338173264
1598409222,338173264
1598409223,338173264
1598409224,338173264
1598409225,338173264
1598409226,338173264
1598409227,338173264
1598409228,356168888
1598409229,356168888
1598409230,356168888
1598409231,356168888
1598409232,356168888
1598409233,356168888
1598409234,356168888
1598409235,356168888
1598409236,356168888
1598409237,356168888
1598409238,617406312
1598409239,617406312
1598409240,617406312
1598409241,617406312
1598409242,617406312
1598409243,617406312
1598409244,617406312
1598409245,617406312
1598409246,617406312
1598409247,617406312
1598409248,315114384
1598409249,315114384
1598409250,315114384
1598409251,315114384
1598409252,315114384
1598409253,315114384
1598409254,315114384
1598409255,315114384
1598409256,315114384
1598409257,315114384
1598409258,1062990128
1598409259,1062990128
1598409260,1062990128
1598409261,1062990128
1598409262,1062990128
1598409263,1062990128
1598409264,1062990128
1598409265,1062990128
1598409266,1062990128
1598409267,1062990128
1598409268,770940376
1598409269,770940376
1598409270,770940376
1598409271,770940376
1598409272,770940376
1598409273,770940376
1598409274,770940376
1598409275,770940376
1598409276,770940376
1598409277,770940376
1598409278,1145923288
1598409278,1145923288
