t,value
1598408781,0
1598408782,0
1598408783,0
1598408784,0
1598408785,0
1598408786,0
1598408787,0
1598408788,0
1598408789,0
1598408790,0
1598408791,0
1598408792,0
1598408793,0
1598408794,0
1598408795,0
1598408796,0
1598408797,0
1598408798,89721352
1598408799,89721352
1598408800,89721352
1598408801,89721352
1598408802,89721352
1598408803,89721352
1598408804,89721352
1598408805,89721352
1598408806,89721352
1598408807,89721352
1598408808,105113240
1598408809,105113240
1598408810,105113240
1598408811,105113240
1598408812,105113240
1598408813,105113240
1598408814,105113240
1598408815,105113240
1598408816,105113240
1598408817,105113240
1598408818,104973584
1598408819,104973584
1598408820,104973584
1598408821,104973584
1598408822,104973584
1598408823,104973584
1598408824,104973584
1598408825,104973584
1598408826,104973584
1598408827,104973584
1598408828,105536296
1598408829,105536296
1598408830,105536296
1598408831,105536296
1598408832,105536296
1598408833,105536296
1598408834,105536296
1598408835,105536296
1598408836,105536296
1598408837,105536296
1598408838,105093128
1598408839,105093128
1598408840,105093128
1598408841,105093128
1598408842,105093128
1598408843,105093128
1598408844,105093128
1598408845,105093128
1598408846,105093128
1598408847,105093128
1598408848,108994552
1598408849,108994552
1598408850,108994552
1598408851,108994552
1598408852,108994552
1598408853,108994552
1598408854,108994552
1598408855,108994552
1598408856,108994552
1598408857,108994552
1598408858,109469576
1598408859,109469576
1598408860,109469576
1598408861,109469576
1598408862,109469576
1598408863,109469576
1598408864,109469576
1598408865,109469576
1598408866,109469576
1598408867,109469576
1598408868,109951696
1598408869,109951696
1598408870,109951696
1598408871,109951696
1598408872,109951696
1598408873,109951696
1598408874,109951696
1598408875,109951696
1598408876,109951696
1598408877,109951696
1598408878,109931120
1598408879,109931120
1598408880,109931120
1598408881,109931120
1598408882,109931120
1598408883,109931120
1598408884,109931120
1598408885,109931120
1598408886,109931120
1598408887,109931120
1598408888,108722560
1598408889,108722560
1598408890,108722560
1598408891,108722560
1598408892,108722560
1598408893,108722560
1598408894,108722560
1598408895,108722560
1598408896,108722560
1598408897,108722560
1598408898,108424920
1598408899,108424920
1598408900,108424920
1598408901,108424920
1598408902,108424920
1598408903,108424920
1598408904,108424920
1598408905,108424920
1598408906,108424920
1598408907,108424920
1598408908,108564776
1598408909,108564776
1598408910,108564776
1598408911,108564776
1598408912,108564776
1598408913,108564776
1598408914,108564776
1598408915,108564776
1598408916,108564776
1598408917,108564776
1598408918,108517848
1598408919,108517848
1598408920,108517848
1598408921,108517848
1598408922,108517848
1598408923,108517848
1598408924,108517848
1598408925,108517848
1598408926,108517848
1598408927,108517848
1598408928,108484288
1598408929,108484288
1598408930,108484288
1598408931,108484288
1598408932,108484288
1598408933,108484288
1598408934,108484288
1598408935,108484288
1598408936,108484288
1598408937,108484288
1598408938,108402424
1598408939,108402424
1598408940,108402424
1598408941,108402424
1598408942,108402424
1598408943,108402424
1598408944,108402424
1598408945,108402424
1598408946,108402424
1598408947,108402424
1598408948,108537104
1598408949,108537104
1598408950,108537104
1598408951,108537104
1598408952,108537104
1598408953,108537104
1598408954,108537104
1598408955,108537104
1598408956,108537104
1598408957,108537104
1598408958,108533576
1598408959,108533576
1598408960,108533576
1598408961,108533576
1598408962,108533576
1598408963,108533576
1598408964,108533576
1598408965,108533576
1598408966,108533576
1598408967,108533576
1598408968,108582232
1598408969,108582232
1598408970,108582232
1598408971,108582232
1598408972,108582232
1598408973,108582232
1598408974,108582232
1598408975,108582232
1598408976,108582232
1598408977,108582232
1598408978,108591736
1598408979,108591736
1598408980,108591736
1598408981,108591736
1598408982,108591736
1598408983,108591736
1598408984,108591736
1598408985,108591736
1598408986,108591736
1598408987,108591736
1598408988,108547592
1598408989,108547592
1598408990,108547592
1598408991,108547592
1598408992,108547592
1598408993,108547592
1598408994,108547592
1598408995,108547592
1598408996,108547592
1598408997,108547592
1598408998,108579352
1598408999,108579352
1598409000,108579352
1598409001,108579352
1598409002,108579352
1598409003,108579352
1598409004,108579352
1598409005,108579352
1598409006,108579352
1598409007,108579352
1598409008,108638736
1598409009,108638736
1598409010,108638736
1598409011,108638736
1598409012,108638736
1598409013,108638736
1598409014,108638736
1598409015,108638736
1598409016,108638736
1598409017,108638736
1598409018,108667272
1598409019,108667272
1598409020,108667272
1598409021,108667272
1598409022,108667272
1598409023,108667272
1598409024,108667272
1598409025,108667272
1598409026,108667272
1598409027,108667272
1598409028,108667928
1598409029,108667928
1598409030,108667928
1598409031,108667928
1598409032,108667928
1598409033,108667928
1598409034,108667928
1598409035,108667928
1598409036,108667928
1598409037,108667928
1598409038,118279368
1598409039,118279368
1598409040,118279368
1598409041,118279368
1598409042,118279368
1598409043,118279368
1598409044,118279368
1598409045,118279368
1598409046,118279368
1598409047,118279368
1598409048,119153232
1598409049,119153232
1598409050,119153232
1598409051,119153232
1598409052,119153232
1598409053,119153232
1598409054,119153232
1598409055,119153232
1598409056,119153232
1598409057,119153232
1598409058,119304552
1598409059,119304552
1598409060,119304552
1598409061,119304552
1598409062,119304552
1598409063,119304552
1598409064,119304552
1598409065,119304552
1598409066,119304552
1598409067,119304552
1598409068,119854952
1598409069,119854952
1598409070,119854952
1598409071,119854952
1598409072,119854952
1598409073,119854952
1598409074,119854952
1598409075,119854952
1598409076,119854952
1598409077,119854952
1598409078,127166088
1598409079,127166088
1598409080,127166088
1598409081,127166088
1598409082,127166088
1598409083,127166088
1598409084,127166088
1598409085,127166088
1598409086,127166088
1598409087,127166088
1598409088,126665672
1598409089,126665672
1598409090,126665672
1598409091,126665672
1598409092,126665672
1598409093,126665672
1598409094,126665672
1598409095,126665672
1598409096,126665672
1598409097,126665672
1598409098,125728376
1598409099,125728376
1598409100,125728376
1598409101,125728376
1598409102,125728376
1598409103,125728376
1598409104,125728376
1598409105,125728376
1598409106,125728376
1598409107,125728376
1598409108,126670960
1598409109,126670960
1598409110,126670960
1598409111,126670960
1598409112,126670960
1598409113,126670960
1598409114,126670960
1598409115,126670960
1598409116,126670960
1598409117,126670960
1598409118,127681928
1598409119,127681928
1598409120,127681928
1598409121,127681928
1598409122,127681928
1598409123,127681928
1598409124,127681928
1598409125,127681928
1598409126,127681928
1598409127,127681928
1598409128,127687304
1598409129,127687304
1598409130,127687304
1598409131,127687304
1598409132,127687304
1598409133,127687304
1598409134,127687304
1598409135,127687304
1598409136,127687304
1598409137,127687304
1598409138,127688520
1598409139,127688520
1598409140,127688520
1598409141,127688520
1598409142,127688520
1598409143,127688520
1598409144,127688520
1598409145,127688520
1598409146,127688520
1598409147,127688520
1598409148,127688520
1598409149,127688520
1598409150,127688520
1598409151,127688520
1598409152,127688520
1598409153,127688520
1598409154,127688520
1598409155,127688520
1598409156,127688520
1598409157,127688520
1598409158,127688520
1598409159,127688520
1598409160,127688520
1598409161,127688520
1598409162,127688520
1598409163,127688520
1598409164,127688520
1598409165,127688520
1598409166,127688520
1598409167,127688520
1598409168,127614816
1598409169,127614816
1598409170,127614816
1598409171,127614816
1598409172,127614816
1598409173,127614816
1598409174,127614816
1598409175,127614816
1598409176,127614816
1598409177,127614816
1598409178,127506192
1598409179,127506192
1598409180,127506192
1598409181,127506192
1598409182,127506192
1598409183,127506192
1598409184,127506192
1598409185,127506192
1598409186,127506192
1598409187,127506192
1598409188,127443344
1598409189,127443344
1598409190,127443344
1598409191,127443344
1598409192,127443344
1598409193,127443344
1598409194,127443344
1598409195,127443344
1598409196,127443344
1598409197,127443344
1598409198,127485072
1598409199,127485072
1598409200,127485072
1598409201,127485072
1598409202,127485072
1598409203,127485072
1598409204,127485072
1598409205,127485072
1598409206,127485072
1598409207,127485072
1598409208,127483216
1598409209,127483216
1598409210,127483216
1598409211,127483216
1598409212,127483216
1598409213,127483216
1598409214,127483216
1598409215,127483216
1598409216,127483216
1598409217,127483216
1598409218,127202704
1598409219,127202704
1598409220,127202704
1598409221,127202704
1598409222,127202704
1598409223,127202704
1598409224,127202704
1598409225,127202704
1598409226,127202704
1598409227,127202704
1598409228,126745280
1598409229,126745280
1598409230,126745280
1598409231,126745280
1598409232,126745280
1598409233,126745280
1598409234,126745280
1598409235,126745280
1598409236,126745280
1598409237,126745280
1598409238,130977568
1598409239,130977568
1598409240,130977568
1598409241,130977568
1598409242,130977568
1598409243,130977568
1598409244,130977568
1598409245,130977568
1598409246,130977568
1598409247,130977568
1598409248,131493536
1598409249,131493536
1598409250,131493536
1598409251,131493536
1598409252,131493536
1598409253,131493536
1598409254,131493536
1598409255,131493536
1598409256,131493536
1598409257,131493536
1598409258,131462760
1598409259,131462760
1598409260,131462760
1598409261,131462760
1598409262,131462760
1598409263,131462760
1598409264,131462760
1598409265,131462760
1598409266,131462760
1598409267,131462760
1598409268,131773448
1598409269,131773448
1598409270,131773448
1598409271,131773448
1598409272,131773448
1598409273,131773448
1598409274,131773448
1598409275,131773448
1598409276,131773448
1598409277,131773448
1598409278,132426144
1598409278,132426144
