t,value
1598408781,0
1598408782,0
1598408783,0
1598408784,0
1598408785,0
1598408786,0
1598408787,0
1598408788,0
1598408789,16777216
1598408790,33554432
1598408791,33554432
1598408792,33554432
1598408793,33554432
1598408794,33554432
1598408795,33554432
1598408796,33554432
1598408797,33554432
1598408798,33554432
1598408799,33554432
1598408800,33554432
1598408801,33554432
1598408802,33554432
1598408803,33554432
1598408804,33554432
1598408805,33554432
1598408806,33554432
1598408807,33554432
1598408808,33554432
1598408809,33554432
1598408810,33554432
1598408811,33554432
1598408812,33554432
1598408813,33554432
1598408814,33554432
1598408815,33554432
1598408816,33554432
1598408817,33554432
1598408818,33554432
1598408819,33554432
1598408820,33554432
1598408821,33554432
1598408822,33554432
1598408823,33554432
1598408824,33554432
1598408825,33554432
1598408826,33554432
1598408827,33554432
1598408828,33554432
1598408829,33554432
1598408830,33554432
1598408831,33554432
1598408832,33554432
1598408833,33554432
1598408834,33554432
1598408835,33554432
1598408836,33554432
1598408837,33554432
1598408838,33554432
1598408839,33554432
1598408840,33554432
1598408841,33554432
1598408842,33554432
1598408843,33554432
1598408844,33554432
1598408845,33554432
1598408846,33554432
1598408847,33554432
1598408848,33554432
1598408849,33554432
1598408850,33554432
1598408851,33554432
1598408852,33554432
1598408853,33554432
1598408854,33554432
1598408855,33554432
1598408856,33554432
1598408857,33554432
1598408858,33554432
1598408859,33554432
1598408860,33554432
1598408861,33554432
1598408862,33554432
1598408863,33554432
1598408864,33554432
1598408865,33554432
1598408866,33554432
1598408867,33554432
1598408868,33554432
1598408869,33554432
1598408870,33554432
1598408871,33554432
1598408872,33554432
1598408873,33554432
1598408874,33554432
1598408875,33554432
1598408876,33554432
1598408877,33554432
1598408878,33554432
1598408879,33554432
1598408880,33554432
1598408881,33554432
1598408882,33554432
1598408883,33554432
1598408884,33554432
1598408885,33554432
1598408886,33554432
1598408887,33554432
1598408888,33554432
1598408889,33554432
1598408890,33554432
1598408891,33554432
1598408892,33554432
1598408893,33554432
1598408894,33554432
1598408895,33554432
1598408896,33554432
1598408897,33554432
1598408898,33554432
1598408899,33554432
1598408900,33554432
1598408901,33554432
1598408902,33554432
1598408903,33554432
1598408904,33554432
1598408905,33554432
1598408906,33554432
1598408907,33554432
1598408908,33554432
1598408909,33554432
1598408910,33554432
1598408911,33554432
1598408912,33554432
1598408913,33554432
1598408914,33554432
1598408915,33554432
1598408916,33554432
1598408917,33554432
1598408918,33554432
1598408919,33554432
1598408920,33554432
1598408921,33554432
1598408922,33554432
1598408923,33554432
1598408924,33554432
1598408925,33554432
1598408926,33554432
1598408927,33554432
1598408928,33554432
1598408929,33554432
1598408930,33554432
1598408931,33554432
1598408932,33554432
1598408933,33554432
1598408934,33554432
1598408935,33554432
1598408936,33554432
1598408937,33554432
1598408938,33554432
1598408939,33554432
1598408940,33554432
1598408941,33554432
1598408942,33554432
1598408943,33554432
1598408944,33554432
1598408945,33554432
1598408946,33554432
1598408947,33554432
1598408948,33554432
1598408949,33554432
1598408950,33554432
1598408951,33554432
1598408952,33554432
1598408953,33554432
1598408954,33554432
1598408955,33554432
1598408956,33554432
1598408957,33554432
1598408958,33554432
1598408959,33554432
1598408960,33554432
1598408961,33554432
1598408962,33554432
1598408963,33554432
1598408964,33554432
1598408965,33554432
1598408966,33554432
1598408967,33554432
1598408968,33554432
1598408969,33554432
1598408970,33554432
1598408971,33554432
1598408972,33554432
1598408973,33554432
1598408974,33554432
1598408975,33554432
1598408976,33554432
1598408977,33554432
1598408978,33554432
1598408979,33554432
1598408980,33554432
1598408981,33554432
1598408982,33554432
1598408983,33554432
1598408984,33554432
1598408985,33554432
1598408986,33554432
1598408987,33554432
1598408988,33554432
1598408989,33554432
1598408990,33554432
1598408991,33554432
1598408992,33554432
1598408993,33554432
1598408994,33554432
1598408995,33554432
1598408996,33554432
1598408997,33554432
1598408998,33554432
1598408999,33554432
1598409000,33554432
1598409001,33554432
1598409002,33554432
1598409003,33554432
1598409004,33554432
1598409005,33554432
1598409006,33554432
1598409007,33554432
1598409008,33554432
1598409009,33554432
1598409010,33554432
1598409011,33554432
1598409012,33554432
1598409013,33554432
1598409014,33554432
1598409015,33554432
1598409016,33554432
1598409017,33554432
1598409018,33554432
1598409019,33554432
1598409020,33554432
1598409021,33554432
1598409022,33554432
1598409023,33554432
1598409024,33554432
1598409025,33554432
1598409026,33554432
1598409027,33554432
1598409028,33554432
1598409029,33554432
1598409030,33554432
1598409031,33554432
1598409032,33554432
1598409033,33554432
1598409034,33554432
1598409035,33554432
1598409036,33554432
1598409037,33554432
1598409038,33554432
1598409039,33554432
1598409040,33554432
1598409041,33554432
1598409042,33554432
1598409043,33554432
1598409044,33554432
1598409045,33554432
1598409046,33554432
1598409047,33554432
1598409048,33554432
1598409049,33554432
1598409050,33554432
1598409051,33554432
1598409052,33554432
1598409053,33554432
1598409054,33554432
1598409055,33554432
1598409056,33554432
1598409057,33554432
1598409058,33554432
1598409059,33554432
1598409060,33554432
1598409061,33554432
1598409062,33554432
1598409063,33554432
1598409064,33554432
1598409065,33554432
1598409066,33554432
1598409067,33554432
1598409068,33554432
1598409069,33554432
1598409070,33554432
1598409071,33554432
1598409072,33554432
1598409073,33554432
1598409074,33554432
1598409075,33554432
1598409076,33554432
1598409077,33554432
1598409078,33554432
1598409079,33554432
1598409080,33554432
1598409081,33554432
1598409082,33554432
1598409083,33554432
1598409084,33554432
1598409085,33554432
1598409086,33554432
1598409087,33554432
1598409088,33554432
1598409089,33554432
1598409090,33554432
1598409091,33554432
1598409092,33554432
1598409093,33554432
1598409094,33554432
1598409095,33554432
1598409096,33554432
1598409097,33554432
1598409098,33554432
1598409099,33554432
1598409100,33554432
1598409101,33554432
1598409102,33554432
1598409103,33554432
1598409104,33554432
1598409105,33554432
1598409106,33554432
1598409107,33554432
1598409108,33554432
1598409109,33554432
1598409110,33554432
1598409111,33554432
1598409112,33554432
1598409113,33554432
1598409114,33554432
1598409115,33554432
1598409116,33554432
1598409117,33554432
1598409118,33554432
1598409119,33554432
1598409120,33554432
1598409121,33554432
1598409122,33554432
1598409123,33554432
1598409124,33554432
1598409125,33554432
1598409126,33554432
1598409127,33554432
1598409128,33554432
1598409129,33554432
1598409130,33554432
1598409131,33554432
1598409132,33554432
1598409133,33554432
1598409134,33554432
1598409135,33554432
1598409136,33554432
1598409137,33554432
1598409138,33554432
1598409139,33554432
1598409140,33554432
1598409141,33554432
1598409142,33554432
1598409143,33554432
1598409144,33554432
1598409145,33554432
1598409146,33554432
1598409147,33554432
1598409148,33554432
1598409149,33554432
1598409150,33554432
1598409151,33554432
1598409152,33554432
1598409153,33554432
1598409154,33554432
1598409155,33554432
1598409156,33554432
1598409157,33554432
1598409158,33554432
1598409159,33554432
1598409160,33554432
1598409161,33554432
1598409162,33554432
1598409163,33554432
1598409164,33554432
1598409165,33554432
1598409166,33554432
1598409167,33554432
1598409168,33554432
1598409169,33554432
1598409170,33554432
1598409171,33554432
1598409172,33554432
1598409173,33554432
1598409174,33554432
1598409175,33554432
1598409176,33554432
1598409177,33554432
1598409178,33554432
1598409179,33554432
1598409180,33554432
1598409181,33554432
1598409182,33554432
1598409183,33554432
1598409184,33554432
1598409185,33554432
1598409186,33554432
1598409187,33554432
1598409188,33554432
1598409189,33554432
1598409190,33554432
1598409191,33554432
1598409192,33554432
1598409193,33554432
1598409194,33554432
1598409195,33554432
1598409196,33554432
1598409197,33554432
1598409198,33554432
1598409199,33554432
1598409200,33554432
1598409201,33554432
1598409202,33554432
1598409203,33554432
1598409204,33554432
1598409205,33554432
1598409206,33554432
1598409207,33554432
1598409208,33554432
1598409209,33554432
1598409210,33554432
1598409211,33554432
1598409212,33554432
1598409213,33554432
1598409214,33554432
1598409215,33554432
1598409216,33554432
1598409217,33554432
1598409218,33554432
1598409219,33554432
1598409220,33554432
1598409221,33554432
1598409222,33554432
1598409223,33554432
1598409224,33554432
1598409225,33554432
1598409226,33554432
1598409227,33554432
1598409228,33554432
1598409229,33554432
1598409230,33554432
1598409231,33554432
1598409232,33554432
1598409233,33554432
1598409234,33554432
1598409235,33554432
1598409236,33554432
1598409237,33554432
1598409238,33554432
1598409239,33554432
1598409240,33554432
1598409241,33554432
1598409242,33554432
1598409243,33554432
1598409244,33554432
1598409245,33554432
1598409246,33554432
1598409247,33554432
1598409248,33554432
1598409249,33554432
1598409250,33554432
1598409251,33554432
1598409252,33554432
1598409253,33554432
1598409254,33554432
1598409255,33554432
1598409256,33554432
1598409257,33554432
1598409258,33554432
1598409259,33554432
1598409260,33554432
1598409261,33554432
1598409262,33554432
1598409263,33554432
1598409264,33554432
1598409265,33554432
1598409266,33554432
1598409267,33554432
1598409268,33554432
1598409269,33554432
1598409270,33554432
1598409271,33554432
1598409272,33554432
1598409273,33554432
1598409274,33554432
1598409275,33554432
1598409276,33554432
1598409277,33554432
1598409278,33554432
1598409278,33554432
