t,value
1598408781,2147483647
1598408782,2147483647
1598408783,2147483647
1598408784,2147483647
1598408785,2147483647
1598408786,2147483647
1598408787,2147483647
1598408788,2147483647
1598408789,2147483647
1598408790,2147483647
1598408791,2147483647
1598408792,2147483647
1598408793,2147483647
1598408794,2147483647
1598408795,2147483647
1598408796,2147483647
1598408797,2147483647
1598408798,2147483647
1598408799,2147483647
1598408800,2147483647
1598408801,2147483647
1598408802,2147483647
1598408803,2147483647
1598408804,2147483647
1598408805,2147483647
1598408806,2147483647
1598408807,2147483647
1598408808,2147483647
1598408809,2147483647
1598408810,2147483647
1598408811,2147483647
1598408812,2147483647
1598408813,2147483647
1598408814,2147483647
1598408815,2147483647
1598408816,2147483647
1598408817,2147483647
1598408818,2147483647
1598408819,2147483647
1598408820,2147483647
1598408821,2147483647
1598408822,2147483647
1598408823,2147483647
1598408824,2147483647
1598408825,2147483647
1598408826,2147483647
1598408827,2147483647
1598408828,2147483647
1598408829,2147483647
1598408830,2147483647
1598408831,2147483647
1598408832,2147483647
1598408833,2147483647
1598408834,2147483647
1598408835,2147483647
1598408836,2147483647
1598408837,2147483647
1598408838,2147483647
1598408839,2147483647
1598408840,2147483647
1598408841,2147483647
1598408842,2147483647
1598408843,2147483647
1598408844,2147483647
1598408845,2147483647
1598408846,2147483647
1598408847,2147483647
1598408848,2147483647
1598408849,2147483647
1598408850,2147483647
1598408851,2147483647
1598408852,2147483647
1598408853,2147483647
1598408854,2147483647
1598408855,2147483647
1598408856,2147483647
1598408857,2147483647
1598408858,2147483647
1598408859,2147483647
1598408860,2147483647
1598408861,2147483647
1598408862,2147483647
1598408863,2147483647
1598408864,2147483647
1598408865,2147483647
1598408866,2147483647
1598408867,2147483647
1598408868,2147483647
1598408869,2147483647
1598408870,2147483647
1598408871,2147483647
1598408872,2147483647
1598408873,2147483647
1598408874,2147483647
1598408875,2147483647
1598408876,2147483647
1598408877,2147483647
1598408878,2147483647
1598408879,2147483647
1598408880,2147483647
1598408881,2147483647
1598408882,2147483647
1598408883,2147483647
1598408884,2147483647
1598408885,2147483647
1598408886,2147483647
1598408887,2147483647
1598408888,2147483647
1598408889,2147483647
1598408890,2147483647
1598408891,2147483647
1598408892,2147483647
1598408893,2147483647
1598408894,2147483647
1598408895,2147483647
1598408896,2147483647
1598408897,2147483647
1598408898,2147483647
1598408899,2147483647
1598408900,2147483647
1598408901,2147483647
1598408902,2147483647
1598408903,2147483647
1598408904,2147483647
1598408905,2147483647
1598408906,2147483647
1598408907,2147483647
1598408908,2147483647
1598408909,2147483647
1598408910,2147483647
1598408911,2147483647
1598408912,2147483647
1598408913,2147483647
1598408914,2147483647
1598408915,2147483647
1598408916,2147483647
1598408917,2147483647
1598408918,2147483647
1598408919,2147483647
1598408920,2147483647
1598408921,2147483647
1598408922,2147483647
1598408923,2147483647
1598408924,2147483647
1598408925,2147483647
1598408926,2147483647
1598408927,2147483647
1598408928,2147483647
1598408929,2147483647
1598408930,2147483647
1598408931,2147483647
1598408932,2147483647
1598408933,2147483647
1598408934,2147483647
1598408935,2147483647
1598408936,2147483647
1598408937,2147483647
1598408938,2147483647
1598408939,2147483647
1598408940,2147483647
1598408941,2147483647
1598408942,2147483647
1598408943,2147483647
1598408944,2147483647
1598408945,2147483647
1598408946,2147483647
1598408947,2147483647
1598408948,2147483647
1598408949,2147483647
1598408950,2147483647
1598408951,2147483647
1598408952,2147483647
1598408953,2147483647
1598408954,2147483647
1598408955,2147483647
1598408956,2147483647
1598408957,2147483647
1598408958,2147483647
1598408959,2147483647
1598408960,2147483647
1598408961,2147483647
1598408962,2147483647
1598408963,2147483647
1598408964,2147483647
1598408965,2147483647
1598408966,2147483647
1598408967,2147483647
1598408968,2147483647
1598408969,2147483647
1598408970,2147483647
1598408971,2147483647
1598408972,2147483647
1598408973,2147483647
1598408974,2147483647
1598408975,2147483647
1598408976,2147483647
1598408977,2147483647
1598408978,2147483647
1598408979,2147483647
1598408980,2147483647
1598408981,2147483647
1598408982,2147483647
1598408983,2147483647
1598408984,2147483647
1598408985,2147483647
1598408986,2147483647
1598408987,2147483647
1598408988,2147483647
1598408989,2147483647
1598408990,2147483647
1598408991,2147483647
1598408992,2147483647
1598408993,2147483647
1598408994,2147483647
1598408995,2147483647
1598408996,2147483647
1598408997,2147483647
1598408998,2147483647
1598408999,2147483647
1598409000,2147483647
1598409001,2147483647
1598409002,2147483647
1598409003,2147483647
1598409004,2147483647
1598409005,2147483647
1598409006,2147483647
1598409007,2147483647
1598409008,2147483647
1598409009,2147483647
1598409010,2147483647
1598409011,2147483647
1598409012,2147483647
1598409013,2147483647
1598409014,2147483647
1598409015,2147483647
1598409016,2147483647
1598409017,2147483647
1598409018,2147483647
1598409019,2147483647
1598409020,2147483647
1598409021,2147483647
1598409022,2147483647
1598409023,2147483647
1598409024,2147483647
1598409025,2147483647
1598409026,2147483647
1598409027,2147483647
1598409028,2147483647
1598409029,2147483647
1598409030,2147483647
1598409031,2147483647
1598409032,2147483647
1598409033,2147483647
1598409034,2147483647
1598409035,2147483647
1598409036,2147483647
1598409037,2147483647
1598409038,2147483647
1598409039,2147483647
1598409040,2147483647
1598409041,2147483647
1598409042,2147483647
1598409043,2147483647
1598409044,2147483647
1598409045,2147483647
1598409046,2147483647
1598409047,2147483647
1598409048,2147483647
1598409049,2147483647
1598409050,2147483647
1598409051,2147483647
1598409052,2147483647
1598409053,2147483647
1598409054,2147483647
1598409055,2147483647
1598409056,2147483647
1598409057,2147483647
1598409058,2147483647
1598409059,2147483647
1598409060,2147483647
1598409061,2147483647
1598409062,2147483647
1598409063,2147483647
1598409064,2147483647
1598409065,2147483647
1598409066,2147483647
1598409067,2147483647
1598409068,2147483647
1598409069,2147483647
1598409070,2147483647
1598409071,2147483647
1598409072,2147483647
1598409073,2147483647
1598409074,2147483647
1598409075,2147483647
1598409076,2147483647
1598409077,2147483647
1598409078,2147483647
1598409079,2147483647
1598409080,2147483647
1598409081,2147483647
1598409082,2147483647
1598409083,2147483647
1598409084,2147483647
1598409085,2147483647
1598409086,2147483647
1598409087,2147483647
1598409088,2147483647
1598409089,2147483647
1598409090,2147483647
1598409091,2147483647
1598409092,2147483647
1598409093,2147483647
1598409094,2147483647
1598409095,2147483647
1598409096,2147483647
1598409097,2147483647
1598409098,2147483647
1598409099,2147483647
1598409100,2147483647
1598409101,2147483647
1598409102,2147483647
1598409103,2147483647
1598409104,2147483647
1598409105,2147483647
1598409106,2147483647
1598409107,2147483647
1598409108,2147483647
1598409109,2147483647
1598409110,2147483647
1598409111,2147483647
1598409112,2147483647
1598409113,2147483647
1598409114,2147483647
1598409115,2147483647
1598409116,2147483647
1598409117,2147483647
1598409118,2147483647
1598409119,2147483647
1598409120,2147483647
1598409121,2147483647
1598409122,2147483647
1598409123,2147483647
1598409124,2147483647
1598409125,2147483647
1598409126,2147483647
1598409127,2147483647
1598409128,2147483647
1598409129,2147483647
1598409130,2147483647
1598409131,2147483647
1598409132,2147483647
1598409133,2147483647
1598409134,2147483647
1598409135,2147483647
1598409136,2147483647
1598409137,2147483647
1598409138,2147483647
1598409139,2147483647
1598409140,2147483647
1598409141,2147483647
1598409142,2147483647
1598409143,2147483647
1598409144,2147483647
1598409145,2147483647
1598409146,2147483647
1598409147,2147483647
1598409148,2147483647
1598409149,2147483647
1598409150,2147483647
1598409151,2147483647
1598409152,2147483647
1598409153,2147483647
1598409154,2147483647
1598409155,2147483647
1598409156,2147483647
1598409157,2147483647
1598409158,2147483647
1598409159,2147483647
1598409160,2147483647
1598409161,2147483647
1598409162,2147483647
1598409163,2147483647
1598409164,2147483647
1598409165,2147483647
1598409166,2147483647
1598409167,2147483647
1598409168,2147483647
1598409169,2147483647
1598409170,2147483647
1598409171,2147483647
1598409172,2147483647
1598409173,2147483647
1598409174,2147483647
1598409175,2147483647
1598409176,2147483647
1598409177,2147483647
1598409178,2147483647
1598409179,2147483647
1598409180,2147483647
1598409181,2147483647
1598409182,2147483647
1598409183,2147483647
1598409184,2147483647
1598409185,2147483647
1598409186,2147483647
1598409187,2147483647
1598409188,2147483647
1598409189,2147483647
1598409190,2147483647
1598409191,2147483647
1598409192,2147483647
1598409193,2147483647
1598409194,2147483647
1598409195,2147483647
1598409196,2147483647
1598409197,2147483647
1598409198,2147483647
1598409199,2147483647
1598409200,2147483647
1598409201,2147483647
1598409202,2147483647
1598409203,2147483647
1598409204,2147483647
1598409205,2147483647
1598409206,2147483647
1598409207,2147483647
1598409208,2147483647
1598409209,2147483647
1598409210,2147483647
1598409211,2147483647
1598409212,2147483647
1598409213,2147483647
1598409214,2147483647
1598409215,2147483647
1598409216,2147483647
1598409217,2147483647
1598409218,2147483647
1598409219,2147483647
1598409220,2147483647
1598409221,2147483647
1598409222,2147483647
1598409223,2147483647
1598409224,2147483647
1598409225,2147483647
1598409226,2147483647
1598409227,2147483647
1598409228,2147483647
1598409229,2147483647
1598409230,2147483647
1598409231,2147483647
1598409232,2147483647
1598409233,2147483647
1598409234,2147483647
1598409235,2147483647
1598409236,2147483647
1598409237,2147483647
1598409238,2147483647
1598409239,2147483647
1598409240,2147483647
1598409241,2147483647
1598409242,2147483647
1598409243,2147483647
1598409244,2147483647
1598409245,2147483647
1598409246,2147483647
1598409247,2147483647
1598409248,2147483647
1598409249,2147483647
1598409250,2147483647
1598409251,2147483647
1598409252,2147483647
1598409253,2147483647
1598409254,2147483647
1598409255,2147483647
1598409256,2147483647
1598409257,2147483647
1598409258,2147483647
1598409259,2147483647
1598409260,2147483647
1598409261,2147483647
1598409262,2147483647
1598409263,2147483647
1598409264,2147483647
1598409265,2147483647
1598409266,2147483647
1598409267,2147483647
1598409268,2147483647
1598409269,2147483647
1598409270,2147483647
1598409271,2147483647
1598409272,2147483647
1598409273,2147483647
1598409274,2147483647
1598409275,2147483647
1598409276,2147483647
1598409277,2147483647
1598409278,2147483647
1598409278,2147483647
