t,value
1598408782,164626432
1598408783,164626432
1598408784,164626432
1598408785,164626432
1598408786,164626432
1598408787,164626432
1598408788,164626432
1598408789,164626432
1598408790,164626432
1598408791,164626432
1598408792,164626432
1598408793,164626432
1598408794,164626432
1598408795,164626432
1598408796,164626432
1598408797,164626432
1598408798,164626432
1598408799,164626432
1598408800,164626432
1598408801,164626432
1598408802,164626432
1598408803,164626432
1598408804,164626432
1598408805,164626432
1598408806,164626432
1598408807,164626432
1598408808,164626432
1598408809,164626432
1598408810,164626432
1598408811,164626432
1598408812,164626432
1598408813,164626432
1598408814,164626432
1598408815,164626432
1598408816,164626432
1598408817,164626432
1598408818,164626432
1598408819,164626432
1598408820,164626432
1598408821,164626432
1598408822,164626432
1598408823,164626432
1598408824,164626432
1598408825,164626432
1598408826,164626432
1598408827,164626432
1598408828,164626432
1598408829,164626432
1598408830,164626432
1598408831,164626432
1598408832,164626432
1598408833,164626432
1598408834,164626432
1598408835,164626432
1598408836,164626432
1598408837,164626432
1598408838,164626432
1598408839,164626432
1598408840,164626432
1598408841,164626432
1598408842,164626432
1598408843,164626432
1598408844,164626432
1598408845,164626432
1598408846,164626432
1598408847,164626432
1598408848,164626432
1598408849,164626432
1598408850,164626432
1598408851,164626432
1598408852,164626432
1598408853,164626432
1598408854,164626432
1598408855,164626432
1598408856,164626432
1598408857,164626432
1598408858,164626432
1598408859,164626432
1598408860,164626432
1598408861,164626432
1598408862,164626432
1598408863,164626432
1598408864,164626432
1598408865,164626432
1598408866,164626432
1598408867,164626432
1598408868,164626432
1598408869,164626432
1598408870,164626432
1598408871,164626432
1598408872,164626432
1598408873,164626432
1598408874,164626432
1598408875,164626432
1598408876,164626432
1598408877,164626432
1598408878,164626432
1598408879,164626432
1598408880,164626432
1598408881,164626432
1598408882,164626432
1598408883,164626432
1598408884,164626432
1598408885,164626432
1598408886,164626432
1598408887,164626432
1598408888,164626432
1598408889,164626432
1598408890,164626432
1598408891,164626432
1598408892,164626432
1598408893,164626432
1598408894,164626432
1598408895,164626432
1598408896,164626432
1598408897,164626432
1598408898,164626432
1598408899,164626432
1598408900,164626432
1598408901,164626432
1598408902,164626432
1598408903,164626432
1598408904,164626432
1598408905,164626432
1598408906,164626432
1598408907,164626432
1598408908,164626432
1598408909,164626432
1598408910,164626432
1598408911,164626432
1598408912,164626432
1598408913,164626432
1598408914,164626432
1598408915,164626432
1598408916,164626432
1598408917,164626432
1598408918,164626432
1598408919,164626432
1598408920,164626432
1598408921,164626432
