t,value
1598408782,661061632
1598408783,661061632
1598408784,661061632
1598408785,661061632
1598408786,661061632
1598408787,661061632
1598408788,661061632
1598408789,661061632
1598408790,661061632
1598408791,661061632
1598408792,661061632
1598408793,661061632
1598408794,661061632
1598408795,661061632
1598408796,661061632
1598408797,661061632
1598408798,661061632
1598408799,661061632
1598408800,661061632
1598408801,661061632
1598408802,661061632
1598408803,661061632
1598408804,661061632
1598408805,661061632
1598408806,661061632
1598408807,661061632
1598408808,661061632
1598408809,661061632
1598408810,661061632
1598408811,661061632
1598408812,661061632
1598408813,661061632
1598408814,661061632
1598408815,661061632
1598408816,661061632
1598408817,661061632
1598408818,661061632
1598408819,661061632
1598408820,661061632
1598408821,661061632
1598408822,661061632
1598408823,661061632
1598408824,661061632
1598408825,661061632
1598408826,661061632
1598408827,661061632
1598408828,661061632
1598408829,661061632
1598408830,661061632
1598408831,661061632
1598408832,661061632
1598408833,661061632
1598408834,661061632
1598408835,661061632
1598408836,661061632
1598408837,661061632
1598408838,661061632
1598408839,661061632
1598408840,661061632
1598408841,661061632
1598408842,661061632
1598408843,661061632
1598408844,661061632
1598408845,661061632
1598408846,661061632
1598408847,661061632
1598408848,661061632
1598408849,661061632
1598408850,661061632
1598408851,661061632
1598408852,661061632
1598408853,661061632
1598408854,661061632
1598408855,661061632
1598408856,661061632
1598408857,661061632
1598408858,661061632
1598408859,661061632
1598408860,661061632
1598408861,661061632
1598408862,661061632
1598408863,661061632
1598408864,661061632
1598408865,661061632
1598408866,661061632
1598408867,661061632
1598408868,661061632
1598408869,661061632
1598408870,661061632
1598408871,661061632
1598408872,661061632
1598408873,661061632
1598408874,661061632
1598408875,661061632
1598408876,661061632
1598408877,661061632
1598408878,661061632
1598408879,661061632
1598408880,661061632
1598408881,661061632
1598408882,661061632
1598408883,661061632
1598408884,661061632
1598408885,661061632
1598408886,661061632
1598408887,661061632
1598408888,661061632
1598408889,661061632
1598408890,661061632
1598408891,661061632
1598408892,661061632
1598408893,661061632
1598408894,661061632
1598408895,661061632
1598408896,661061632
1598408897,661061632
1598408898,661061632
1598408899,661061632
1598408900,661061632
1598408901,661061632
1598408902,661061632
1598408903,661061632
1598408904,661061632
1598408905,661061632
1598408906,661061632
1598408907,661061632
1598408908,661061632
1598408909,661061632
1598408910,661061632
1598408911,661061632
1598408912,661061632
1598408913,661061632
1598408914,661061632
1598408915,661061632
1598408916,661061632
1598408917,661061632
1598408918,661061632
1598408919,661061632
1598408920,661061632
1598408921,661061632
1598408922,661061632
1598408923,661061632
1598408924,661061632
1598408925,661061632
1598408926,661061632
1598408927,661061632
1598408928,661061632
1598408929,661061632
1598408930,661061632
1598408931,661061632
1598408932,661061632
1598408933,661061632
1598408934,661061632
1598408935,661061632
1598408936,661061632
1598408937,661061632
1598408938,661061632
1598408939,661061632
1598408940,661061632
1598408941,661061632
1598408942,661061632
1598408943,661061632
1598408944,661061632
1598408945,661061632
1598408946,661061632
1598408947,661061632
1598408948,661061632
1598408949,661061632
1598408950,661061632
1598408951,661061632
1598408952,661061632
1598408953,661061632
1598408954,661061632
1598408955,661061632
1598408956,661061632
1598408957,661061632
1598408958,661061632
1598408959,661061632
1598408960,661061632
1598408961,661061632
1598408962,661061632
1598408963,661061632
1598408964,661061632
1598408965,661061632
1598408966,661061632
1598408967,661061632
1598408968,661061632
1598408969,661061632
1598408970,661061632
1598408971,661061632
1598408972,661061632
1598408973,661061632
1598408974,661061632
1598408975,661061632
1598408976,661061632
1598408977,661061632
1598408978,661061632
1598408979,661061632
1598408980,661061632
1598408981,661061632
1598408982,661061632
1598408983,661061632
1598408984,661061632
1598408985,661061632
1598408986,661061632
1598408987,661061632
1598408988,661061632
1598408989,661061632
1598408990,661061632
1598408991,661061632
1598408992,661061632
1598408993,661061632
1598408994,661061632
1598408995,661061632
1598408996,661061632
1598408997,661061632
1598408998,661061632
1598408999,661061632
1598409000,661061632
1598409001,661061632
1598409002,661061632
1598409003,661061632
1598409004,661061632
1598409005,661061632
1598409006,661061632
1598409007,661061632
1598409008,661061632
1598409009,661061632
1598409010,661061632
1598409011,661061632
1598409012,661061632
1598409013,661061632
1598409014,661061632
1598409015,661061632
1598409016,661061632
1598409017,661061632
1598409018,661061632
1598409019,661061632
1598409020,661061632
1598409021,661061632
1598409022,661061632
1598409023,661061632
1598409024,661061632
1598409025,661061632
1598409026,661061632
1598409027,661061632
1598409028,661061632
1598409029,661061632
1598409030,661061632
1598409031,661061632
1598409032,661061632
1598409033,661061632
1598409034,661061632
1598409035,661061632
1598409036,661061632
1598409037,661061632
1598409038,661061632
1598409039,661061632
1598409040,661061632
1598409041,661061632
1598409042,661061632
1598409043,661061632
1598409044,661061632
1598409045,661061632
1598409046,661061632
1598409047,661061632
1598409048,661061632
1598409049,661061632
1598409050,661061632
1598409051,661061632
1598409052,661061632
1598409053,661061632
1598409054,661061632
1598409055,661061632
1598409056,661061632
1598409057,661061632
1598409058,661061632
1598409059,661061632
1598409060,661061632
1598409061,661061632
1598409062,661061632
1598409063,661061632
1598409064,661061632
1598409065,661061632
1598409066,661061632
1598409067,661061632
1598409068,661061632
1598409069,661061632
1598409070,661061632
1598409071,661061632
1598409072,661061632
1598409073,661061632
1598409074,661061632
1598409075,661061632
1598409076,661061632
1598409077,661061632
1598409078,661061632
1598409079,661061632
1598409080,661061632
1598409081,661061632
1598409082,661061632
1598409083,661061632
1598409084,661061632
1598409085,661061632
1598409086,661061632
1598409087,661061632
1598409088,661061632
1598409089,661061632
1598409090,661061632
1598409091,661061632
1598409092,661061632
1598409093,661061632
1598409094,661061632
1598409095,661061632
1598409096,661061632
1598409097,661061632
1598409098,661061632
1598409099,661061632
1598409100,661061632
1598409101,661061632
1598409102,661061632
1598409103,661061632
1598409104,661061632
1598409105,661061632
1598409106,661061632
1598409107,661061632
1598409108,661061632
1598409109,661061632
1598409110,661061632
1598409111,661061632
1598409112,661061632
1598409113,661061632
1598409114,661061632
1598409115,661061632
1598409116,661061632
1598409117,661061632
1598409118,661061632
1598409119,661061632
1598409120,661061632
1598409121,661061632
1598409122,661061632
1598409123,661061632
1598409124,661061632
1598409125,661061632
1598409126,661061632
1598409127,661061632
1598409128,661061632
1598409129,661061632
1598409130,661061632
1598409131,661061632
1598409132,661061632
1598409133,661061632
1598409134,661061632
1598409135,661061632
1598409136,661061632
1598409137,661061632
1598409138,661061632
1598409139,661061632
1598409140,661061632
1598409141,661061632
1598409142,661061632
1598409143,661061632
1598409144,661061632
1598409145,661061632
1598409146,661061632
1598409147,661061632
1598409148,661061632
1598409149,661061632
1598409150,661061632
1598409151,661061632
1598409152,661061632
1598409153,661061632
1598409154,661061632
1598409155,661061632
1598409156,661061632
1598409157,661061632
1598409158,661061632
1598409159,661061632
1598409160,661061632
1598409161,661061632
1598409162,661061632
1598409163,661061632
1598409164,661061632
1598409165,661061632
1598409166,661061632
1598409167,661061632
1598409168,661061632
1598409169,661061632
1598409170,661061632
1598409171,661061632
1598409172,661061632
1598409173,661061632
1598409174,661061632
1598409175,661061632
1598409176,661061632
1598409177,661061632
1598409178,661061632
1598409179,661061632
1598409180,661061632
1598409181,661061632
1598409182,661061632
1598409183,661061632
1598409184,661061632
1598409185,661061632
1598409186,661061632
1598409187,661061632
1598409188,661061632
1598409189,661061632
1598409190,661061632
1598409191,661061632
1598409192,661061632
1598409193,661061632
1598409194,661061632
1598409195,661061632
1598409196,661061632
1598409197,661061632
1598409198,661061632
1598409199,661061632
1598409200,661061632
1598409201,661061632
1598409202,661061632
1598409203,661061632
1598409204,661061632
1598409205,661061632
1598409206,661061632
1598409207,661061632
1598409208,661061632
1598409209,661061632
1598409210,661061632
1598409211,661061632
1598409212,661061632
1598409213,661061632
1598409214,661061632
1598409215,661061632
