t,value
1598408779,0
1598408780,0
1598408781,1
1598408782,1
1598408783,1
1598408784,1
1598408785,1
1598408786,1
1598408787,1
1598408788,1
1598408789,1
1598408790,1
1598408791,1
1598408792,1
1598408793,1
1598408794,1
1598408795,2
1598408796,2
1598408797,3
1598408798,3
1598408799,3
1598408800,3
1598408801,3
1598408802,3
1598408803,3
1598408804,3
1598408805,3
1598408806,3
1598408807,3
1598408808,3
1598408809,3
1598408810,3
1598408811,3
1598408812,3
1598408813,3
1598408814,3
1598408815,3
1598408816,3
1598408817,3
1598408818,3
1598408819,3
1598408820,3
1598408821,3
1598408822,3
1598408823,3
1598408824,3
1598408825,3
1598408826,3
1598408827,3
1598408828,3
1598408829,3
1598408830,3
1598408831,3
1598408832,3
1598408833,3
1598408834,3
1598408835,3
1598408836,3
1598408837,3
1598408838,3
1598408839,3
1598408840,3
1598408841,3
1598408842,3
1598408843,3
1598408844,3
1598408845,3
1598408846,5
1598408847,5
1598408848,5
1598408849,5
1598408850,5
1598408851,5
1598408852,5
1598408853,5
1598408854,5
1598408855,5
1598408856,5
1598408857,5
1598408858,5
1598408859,5
1598408860,5
1598408861,5
1598408862,5
1598408863,5
1598408864,5
1598408865,5
1598408866,5
1598408867,5
1598408868,5
1598408869,5
1598408870,5
1598408871,5
1598408872,5
1598408873,5
1598408874,5
1598408875,5
1598408876,5
1598408877,5
1598408878,5
1598408879,5
1598408880,5
1598408881,5
1598408882,5
1598408883,5
1598408884,5
1598408885,5
1598408886,5
1598408887,5
1598408888,5
1598408889,5
1598408890,5
1598408891,5
1598408892,5
1598408893,5
1598408894,5
1598408895,5
1598408896,5
1598408897,5
1598408898,5
1598408899,5
1598408900,5
1598408901,5
1598408902,5
1598408903,5
1598408904,5
1598408905,5
1598408906,5
1598408907,5
1598408908,5
1598408909,5
1598408910,5
1598408911,5
1598408912,5
1598408913,5
1598408914,5
1598408915,5
1598408916,5
1598408917,5
1598408918,5
1598408919,5
1598408920,5
1598408921,5
1598408922,5
1598408923,5
1598408924,5
1598408925,5
1598408926,5
1598408927,5
1598408928,5
1598408929,5
1598408930,5
1598408931,5
1598408932,5
1598408933,5
1598408934,5
1598408935,5
1598408936,5
1598408937,5
1598408938,5
1598408939,5
1598408940,5
1598408941,5
1598408942,5
1598408943,5
1598408944,5
1598408945,5
1598408946,5
1598408947,5
1598408948,5
1598408949,5
1598408950,5
1598408951,5
1598408952,5
1598408953,5
1598408954,5
1598408955,5
1598408956,5
1598408957,5
1598408958,5
1598408959,5
1598408960,5
1598408961,5
1598408962,5
1598408963,5
1598408964,5
1598408965,5
1598408966,5
1598408967,5
1598408968,5
1598408969,5
1598408970,5
1598408971,5
1598408972,5
1598408973,5
1598408974,5
1598408975,5
1598408976,5
1598408977,5
1598408978,5
1598408979,5
1598408980,5
1598408981,5
1598408982,5
1598408983,5
1598408984,5
1598408985,5
1598408986,5
1598408987,5
1598408988,5
1598408989,5
1598408990,5
1598408991,5
1598408992,5
1598408993,5
1598408994,5
1598408995,5
1598408996,5
1598408997,5
1598408998,5
1598408999,5
1598409000,5
1598409001,5
1598409002,5
1598409003,5
1598409004,5
1598409005,5
1598409006,5
1598409007,5
1598409008,5
1598409009,5
1598409010,5
1598409011,5
1598409012,5
1598409013,5
1598409014,5
1598409015,5
1598409016,5
1598409017,5
1598409018,5
1598409019,5
1598409020,5
1598409021,5
1598409022,5
1598409023,5
1598409024,5
1598409025,5
1598409026,5
1598409027,5
1598409028,5
1598409029,5
1598409030,6
1598409031,6
1598409032,6
1598409033,6
1598409034,6
1598409035,6
1598409036,6
1598409037,6
1598409038,6
1598409039,6
1598409040,6
1598409041,6
1598409042,6
1598409043,6
1598409044,6
1598409045,6
1598409046,6
1598409047,6
1598409048,6
1598409049,6
1598409050,6
1598409051,6
1598409052,6
1598409053,6
1598409054,6
1598409055,6
1598409056,6
1598409057,6
1598409058,6
1598409059,6
1598409060,6
1598409061,6
1598409062,6
1598409063,6
1598409064,6
1598409065,6
1598409066,6
1598409067,6
1598409068,6
1598409069,6
1598409070,7
1598409071,7
1598409072,7
1598409073,7
1598409074,7
1598409075,7
1598409076,7
1598409077,7
1598409078,7
1598409079,7
1598409080,7
1598409081,7
1598409082,7
1598409083,7
1598409084,7
1598409085,7
1598409086,7
1598409087,7
1598409088,7
1598409089,7
1598409090,7
1598409091,7
1598409092,7
1598409093,7
1598409094,7
1598409095,7
1598409096,7
1598409097,7
1598409098,7
1598409099,7
1598409100,7
1598409101,7
1598409102,7
1598409103,7
1598409104,7
1598409105,7
1598409106,7
1598409107,7
1598409108,7
1598409109,9
1598409110,9
1598409111,9
1598409112,9
1598409113,9
1598409114,9
1598409115,9
1598409116,9
1598409117,9
1598409118,9
1598409119,9
1598409120,9
1598409121,9
1598409122,9
1598409123,9
1598409124,9
1598409125,9
1598409126,9
1598409127,9
1598409128,9
1598409129,9
1598409130,9
1598409131,9
1598409132,9
1598409133,9
1598409134,9
1598409135,9
1598409136,9
1598409137,9
1598409138,9
1598409139,9
1598409140,9
1598409141,9
1598409142,9
1598409143,9
1598409144,9
1598409145,9
1598409146,9
1598409147,9
1598409148,9
1598409149,9
1598409150,9
1598409151,9
1598409152,9
1598409153,9
1598409154,9
1598409155,9
1598409156,9
1598409157,9
1598409158,9
1598409159,9
1598409160,9
1598409161,9
1598409162,9
1598409163,9
1598409164,9
1598409165,9
1598409166,9
1598409167,9
1598409168,9
1598409169,9
1598409170,9
1598409171,9
1598409172,9
1598409173,9
1598409174,9
1598409175,9
1598409176,9
1598409177,9
1598409178,9
1598409179,9
1598409180,9
1598409181,9
1598409182,9
1598409183,9
1598409184,9
1598409185,9
1598409186,9
1598409187,9
1598409188,9
1598409189,9
1598409190,9
1598409191,9
1598409192,9
1598409193,9
1598409194,9
1598409195,9
1598409196,9
1598409197,9
1598409198,9
1598409199,9
1598409200,9
1598409201,9
1598409202,9
1598409203,9
1598409204,9
1598409205,9
1598409206,9
1598409207,9
1598409208,9
1598409209,9
1598409210,9
1598409211,9
1598409212,9
1598409213,9
1598409214,9
1598409215,9
1598409216,9
1598409217,9
1598409218,9
1598409219,9
1598409220,9
1598409221,9
1598409222,9
1598409223,9
1598409224,9
1598409225,9
1598409226,9
1598409227,9
1598409228,9
1598409229,9
1598409230,9
1598409231,9
1598409232,9
1598409233,9
1598409234,9
1598409235,9
1598409236,10
1598409237,10
1598409238,10
1598409239,10
1598409240,10
1598409241,10
1598409242,10
1598409243,10
1598409244,10
1598409245,10
1598409246,10
1598409247,10
1598409248,10
1598409249,10
1598409250,10
1598409251,10
1598409252,10
1598409253,10
1598409254,10
1598409255,10
1598409256,10
1598409257,10
1598409258,10
1598409259,10
1598409260,10
1598409261,10
1598409262,10
1598409263,10
1598409264,10
1598409265,10
1598409266,10
1598409267,10
1598409268,10
1598409269,10
1598409270,10
1598409271,10
1598409272,10
1598409273,10
1598409274,10
1598409275,10
1598409276,10
1598409277,10
1598409278,11
1598409278,11
