t,count
1598408779,3
1598408780,21
1598408781,25
1598408782,50
1598408783,50
1598408784,50
1598408785,51
1598408786,51
1598408787,51
1598408788,51
1598408789,57
1598408790,305
1598408791,1256
1598408792,1263
1598408793,1265
1598408794,1278
1598408795,1289
1598408796,1290
1598408797,1331
1598408798,1333
1598408799,1341
1598408800,1345
1598408801,1347
1598408802,1356
1598408803,1366
1598408804,1379
1598408805,1394
1598408806,1400
1598408807,1414
1598408808,1429
1598408809,1436
1598408810,1442
1598408811,1455
1598408812,1468
1598408813,1482
1598408814,1487
1598408815,1494
1598408816,1500
1598408817,1514
1598408818,1521
1598408819,1532
1598408820,1548
1598408821,1555
1598408822,1566
1598408823,1572
1598408824,1589
1598408825,1602
1598408826,1610
1598408827,1618
1598408828,1629
1598408829,1644
1598408830,1658
1598408831,1667
1598408832,1678
1598408833,1688
1598408834,1697
1598408835,1702
1598408836,1712
1598408837,1720
1598408838,1733
1598408839,1740
1598408840,1748
1598408841,1759
1598408842,1768
1598408843,1777
1598408844,1782
1598408845,1792
1598408846,3076
1598408847,3076
1598408848,3077
1598408849,3078
1598408850,3080
1598408851,3081
1598408852,3082
1598408853,3084
1598408854,3085
1598408855,3088
1598408856,3088
1598408857,3092
1598408858,3101
1598408859,3112
1598408860,3118
1598408861,3127
1598408862,3134
1598408863,3136
1598408864,3139
1598408865,3144
1598408866,3144
1598408867,3144
1598408868,3147
1598408869,3152
1598408870,3156
1598408871,3159
1598408872,3162
1598408873,3172
1598408874,3173
1598408875,3180
1598408876,3182
1598408877,3184
1598408878,3187
1598408879,3192
1598408880,3198
1598408881,3203
1598408882,3204
1598408883,3212
1598408884,3217
1598408885,3222
1598408886,3226
1598408887,3228
1598408888,3231
1598408889,3232
1598408890,3234
1598408891,3239
1598408892,3242
1598408893,3246
1598408894,3251
1598408895,3254
1598408896,3256
1598408897,3258
1598408898,3265
1598408899,3268
1598408900,3276
1598408901,3281
1598408902,3282
1598408903,3290
1598408904,3293
1598408905,3296
1598408906,3300
1598408907,3300
1598408908,3301
1598408909,3302
1598408910,3308
1598408911,3309
1598408912,3312
1598408913,3318
1598408914,3325
1598408915,3332
1598408916,3334
1598408917,3338
1598408918,3341
1598408919,3380
1598408920,3382
1598408921,3385
1598408922,3388
1598408923,3390
1598408924,3393
1598408925,3398
1598408926,3402
1598408927,3406
1598408928,3407
1598408929,3410
1598408930,3414
1598408931,3419
1598408932,3422
1598408933,3428
1598408934,3429
1598408935,3436
1598408936,3442
1598408937,3444
1598408938,3445
1598408939,3446
1598408940,3448
1598408941,3449
1598408942,3452
1598408943,3456
1598408944,3461
1598408945,3464
1598408946,3470
1598408947,3472
1598408948,3475
1598408949,3482
1598408950,3486
1598408951,3489
1598408952,3494
1598408953,3498
1598408954,3499
1598408955,3504
1598408956,3510
1598408957,3510
1598408958,3511
1598408959,3514
1598408960,3516
1598408961,3519
1598408962,3524
1598408963,3526
1598408964,3529
1598408965,3536
1598408966,3536
1598408967,3542
1598408968,3547
1598408969,3548
1598408970,3550
1598408971,3555
1598408972,3556
1598408973,3560
1598408974,3561
1598408975,3572
1598408976,3572
1598408977,3572
1598408978,3575
1598408979,3580
1598408980,3588
1598408981,3589
1598408982,3592
1598408983,3596
1598408984,3599
1598408985,3608
1598408986,3608
1598408987,3610
1598408988,3613
1598408989,3618
1598408990,3620
1598408991,3621
1598408992,3622
1598408993,3624
1598408994,3625
1598408995,3628
1598408996,3628
1598408997,3634
1598408998,3641
1598408999,3646
1598409000,3648
1598409001,3655
1598409002,3660
1598409003,3663
1598409004,3665
1598409005,3668
1598409006,3670
1598409007,3673
1598409008,3674
1598409009,3675
1598409010,3677
1598409011,3679
1598409012,3680
1598409013,3683
1598409014,3684
1598409015,3688
1598409016,3690
1598409017,3690
1598409018,3691
1598409019,3693
1598409020,3697
1598409021,3699
1598409022,3700
1598409023,3704
1598409024,3705
1598409025,3709
1598409026,3709
1598409027,3710
1598409028,3712
1598409029,3713
1598409030,3755
1598409031,3767
1598409032,3768
1598409033,3772
1598409034,3791
1598409035,3804
1598409036,3808
1598409037,3818
1598409038,3839
1598409039,3846
1598409040,3852
1598409041,3867
1598409042,3872
1598409043,3884
1598409044,3897
1598409045,3908
1598409046,3912
1598409047,3936
1598409048,3947
1598409049,3962
1598409050,3978
1598409051,3995
1598409052,4010
1598409053,4024
1598409054,4041
1598409055,4050
1598409056,4062
1598409057,4112
1598409058,4119
1598409059,4134
1598409060,4146
1598409061,4159
1598409062,4172
1598409063,4188
1598409064,4193
1598409065,4203
1598409066,4214
1598409067,4254
1598409068,4315
1598409069,4604
1598409070,4680
1598409071,4681
1598409072,4692
1598409073,4712
1598409074,4727
1598409075,4734
1598409076,4744
1598409077,4764
1598409078,4773
1598409079,4784
1598409080,4796
1598409081,4805
1598409082,4822
1598409083,4836
1598409084,4845
1598409085,4862
1598409086,4870
1598409087,4884
1598409088,4895
1598409089,4910
1598409090,4924
1598409091,4935
1598409092,4948
1598409093,4968
1598409094,4985
1598409095,4996
1598409096,5006
1598409097,5016
1598409098,5029
1598409099,5044
1598409100,5054
1598409101,5069
1598409102,5082
1598409103,5089
1598409104,5099
1598409105,5107
1598409106,5178
1598409107,5354
1598409108,5524
1598409109,5702
1598409110,5704
1598409111,5705
1598409112,5706
1598409113,5708
1598409114,5709
1598409115,5712
1598409116,5712
1598409117,5712
1598409118,5713
1598409119,5714
1598409120,5716
1598409121,5717
1598409122,5718
1598409123,5720
1598409124,5721
1598409125,5724
1598409126,5724
1598409127,5724
1598409128,5725
1598409129,5726
1598409130,5728
1598409131,5729
1598409132,5730
1598409133,5732
1598409134,5733
1598409135,5736
1598409136,5736
1598409137,5736
1598409138,5737
1598409139,5738
1598409140,5740
1598409141,5741
1598409142,5742
1598409143,5744
1598409144,5745
1598409145,5748
1598409146,5748
1598409147,5748
1598409148,5749
1598409149,5750
1598409150,5752
1598409151,5755
1598409152,5758
1598409153,5760
1598409154,5761
1598409155,5766
1598409156,5770
1598409157,5772
1598409158,5777
1598409159,5778
1598409160,5780
1598409161,5781
1598409162,5783
1598409163,5788
1598409164,5790
1598409165,5795
1598409166,5795
1598409167,5796
1598409168,5797
1598409169,5798
1598409170,5800
1598409171,5802
1598409172,5803
1598409173,5805
1598409174,5809
1598409175,5812
1598409176,5812
1598409177,5812
1598409178,5813
1598409179,5814
1598409180,5816
1598409181,5819
1598409182,5880
1598409183,5882
1598409184,5883
1598409185,5886
1598409186,5886
1598409187,5886
1598409188,5887
