t,value
1598408776,2923
1598408777,2923
1598408778,11769
1598408779,90115
1598408780,92311
1598408781,591044
1598408782,632639
1598408783,632639
1598408784,632639
1598408785,659769
1598408786,659769
1598408787,659769
1598408788,659769
1598408789,714029
1598408790,716055
1598408791,716059
1598408792,716059
1598408793,716059
1598408794,209134
1598408795,215882
1598408796,235434
1598408797,253354
1598408798,253354
1598408799,253354
1598408800,253354
1598408801,253354
1598408802,253354
1598408803,253354
1598408804,253354
1598408805,253354
1598408806,253354
1598408807,253354
1598408808,261570
1598408809,261570
1598408810,261570
1598408811,261570
1598408812,261570
1598408813,261570
1598408814,261571
1598408815,261571
1598408816,261571
1598408817,261571
1598408818,261571
1598408819,261574
1598408820,261577
1598408821,261578
1598408822,261578
1598408823,261578
1598408824,261578
1598408825,261578
1598408826,261578
1598408827,261578
1598408828,261578
1598408829,261578
1598408830,261578
1598408831,261578
1598408832,261578
1598408833,253386
1598408834,253386
1598408835,253386
1598408836,253386
1598408837,253386
1598408838,261578
1598408839,261578
1598408840,261578
1598408841,261578
1598408842,261725
1598408843,261725
1598408844,261725
1598408845,760458
1598408846,861293
1598408847,861293
1598408848,861293
1598408849,861293
1598408850,861293
1598408851,861293
1598408852,861293
1598408853,861293
1598408854,861293
1598408855,861293
1598408856,861293
1598408857,861293
1598408858,861293
1598408859,861293
1598408860,861293
1598408861,861293
1598408862,861293
1598408863,861293
1598408864,861293
1598408865,861293
1598408866,861293
1598408867,861293
1598408868,869485
1598408869,869485
1598408870,869485
1598408871,869485
1598408872,869485
1598408873,869485
1598408874,869485
1598408875,869485
1598408876,869485
1598408877,869485
1598408878,869485
1598408879,869485
1598408880,869485
1598408881,869485
1598408882,869485
1598408883,869485
1598408884,869485
1598408885,869485
1598408886,869485
1598408887,869485
1598408888,869485
1598408889,869485
1598408890,869485
1598408891,869485
1598408892,869485
1598408893,869485
1598408894,869485
1598408895,869485
1598408896,869485
1598408897,869485
1598408898,877677
1598408899,877677
1598408900,877677
1598408901,877677
1598408902,877677
1598408903,877677
1598408904,877677
1598408905,877677
1598408906,877677
1598408907,877677
1598408908,877677
1598408909,877677
1598408910,877677
1598408911,877677
1598408912,877677
1598408913,877677
1598408914,877677
1598408915,877677
1598408916,877677
1598408917,877677
1598408918,877677
1598408919,354368
1598408920,354368
1598408921,354368
1598408922,354368
1598408923,354368
1598408924,354368
1598408925,354368
1598408926,354368
1598408927,354368
1598408928,362560
1598408929,362560
1598408930,362560
1598408931,362560
1598408932,362560
1598408933,362560
1598408934,362560
1598408935,362560
1598408936,362560
1598408937,362560
1598408938,362560
1598408939,362560
1598408940,362560
1598408941,362560
1598408942,362560
1598408943,362560
1598408944,362560
1598408945,362560
1598408946,362560
1598408947,362560
1598408948,362560
1598408949,362560
1598408950,362560
1598408951,362560
1598408952,362560
1598408953,362560
1598408954,362560
1598408955,362560
1598408956,362560
1598408957,362560
1598408958,370752
1598408959,370752
1598408960,370752
1598408961,370752
1598408962,370752
1598408963,370752
1598408964,370752
1598408965,370752
1598408966,370752
1598408967,370752
1598408968,370752
1598408969,370752
1598408970,370752
1598408971,370752
1598408972,370752
1598408973,370752
1598408974,370752
1598408975,370752
1598408976,370752
1598408977,370752
1598408978,370752
1598408979,370752
1598408980,370752
1598408981,370752
1598408982,370752
1598408983,370752
1598408984,370752
1598408985,370752
1598408986,370752
1598408987,370752
1598408988,378944
1598408989,378944
1598408990,378944
1598408991,378944
1598408992,378944
1598408993,378944
1598408994,378944
1598408995,378944
1598408996,378944
1598408997,378944
1598408998,378944
1598408999,378944
1598409000,378944
1598409001,378944
1598409002,379004
1598409003,379004
1598409004,379004
1598409005,379004
1598409006,379004
1598409007,379004
1598409008,379004
1598409009,379004
1598409010,379004
1598409011,379004
1598409012,379004
1598409013,379004
1598409014,379004
1598409015,379004
1598409016,379004
1598409017,379004
1598409018,387196
1598409019,387196
1598409020,387196
1598409021,387196
1598409022,387196
1598409023,387196
1598409024,387196
1598409025,387196
1598409026,387196
1598409027,387196
1598409028,387196
1598409029,387196
1598409030,387197
1598409031,387197
1598409032,387197
1598409033,387197
1598409034,387197
1598409035,387197
1598409036,387197
1598409037,387197
1598409038,387197
1598409039,387197
1598409040,387197
1598409041,387197
1598409042,387197
1598409043,387197
1598409044,387197
1598409045,387197
1598409046,387197
1598409047,387197
1598409048,395389
1598409049,395389
1598409050,395389
1598409051,395389
1598409052,395389
1598409053,395389
1598409054,395389
1598409055,395389
1598409056,395389
1598409057,362620
1598409058,362620
1598409059,362620
1598409060,362620
1598409061,362620
1598409062,362620
1598409063,362620
1598409064,362620
1598409065,362620
1598409066,362620
1598409067,450997
1598409068,450997
1598409069,450997
1598409070,450997
1598409071,450997
1598409072,450997
1598409073,450997
1598409074,450997
1598409075,450997
1598409076,450997
1598409077,450997
1598409078,459189
1598409079,459189
1598409080,459189
1598409081,459189
1598409082,459189
1598409083,459189
1598409084,459189
1598409085,459189
1598409086,459189
1598409087,459189
1598409088,459189
1598409089,459189
1598409090,459189
1598409091,459189
1598409092,459189
1598409093,459189
1598409094,459189
1598409095,459189
1598409096,459189
1598409097,459189
1598409098,459189
1598409099,459189
1598409100,459189
1598409101,459189
1598409102,459189
1598409103,459189
1598409104,459189
1598409105,459189
1598409106,459490
1598409107,459490
1598409108,467682
1598409109,505973
1598409110,505973
1598409111,505973
1598409112,505973
1598409113,505973
1598409114,505973
1598409115,505973
1598409116,505973
1598409117,505973
1598409118,505973
1598409119,505973
1598409120,505973
1598409121,505973
1598409122,505973
1598409123,505973
1598409124,505973
1598409125,505973
1598409126,505973
1598409127,505973
1598409128,505973
1598409129,505973
1598409130,505973
1598409131,505973
1598409132,505973
1598409133,505973
1598409134,505973
1598409135,505973
1598409136,505973
1598409137,505973
1598409138,514165
1598409139,514165
1598409140,514165
1598409141,514165
1598409142,514165
1598409143,514165
1598409144,514165
1598409145,514165
1598409146,514165
1598409147,514165
1598409148,514165
1598409149,514165
1598409150,514165
1598409151,514165
1598409152,514165
1598409153,514165
1598409154,514165
1598409155,514165
1598409156,514165
1598409157,514165
1598409158,514165
1598409159,514165
1598409160,514165
1598409161,514165
1598409162,514165
1598409163,514165
1598409164,514165
1598409165,514165
1598409166,514165
1598409167,514165
1598409168,522357
1598409169,522357
1598409170,522357
1598409171,522357
1598409172,522357
1598409173,522357
1598409174,522357
1598409175,522357
1598409176,522357
1598409177,522357
1598409178,522357
1598409179,522357
1598409180,522357
1598409181,443106
1598409182,443106
1598409183,443106
1598409184,443106
1598409185,443106
1598409186,443106
1598409187,443106
1598409188,443106
1598409189,443106
1598409190,443106
1598409191,443106
1598409192,443106
1598409193,443106
1598409194,443106
1598409195,443106
1598409196,443106
1598409197,443106
1598409198,451298
1598409199,451298
1598409200,451298
1598409201,451298
1598409202,451298
1598409203,451298
1598409204,451298
1598409205,451298
1598409206,451298
1598409207,451298
1598409208,451298
1598409209,451298
1598409210,451298
1598409211,451298
1598409212,451298
1598409213,451298
1598409214,451298
1598409215,451298
1598409216,451298
1598409217,451298
1598409218,451298
1598409219,451298
1598409220,451298
1598409221,451298
1598409222,451298
1598409223,451298
1598409224,451298
1598409225,451298
1598409226,451298
1598409227,451298
1598409228,459490
1598409229,459490
1598409230,459490
1598409231,459490
1598409232,459490
1598409233,459490
1598409234,459490
1598409235,459490
1598409236,459490
1598409237,459490
1598409238,459490
1598409239,459490
1598409240,459490
1598409241,459490
1598409242,459490
1598409243,459490
1598409244,459490
1598409245,459490
1598409246,459490
1598409247,459490
1598409248,459490
1598409249,459490
1598409250,459490
1598409251,459490
1598409252,459490
1598409253,459490
1598409254,459490
1598409255,459490
1598409256,459490
1598409257,459490
1598409258,467682
1598409259,467682
1598409260,467682
1598409261,467682
1598409262,467682
1598409263,467682
1598409264,467682
1598409265,467682
1598409266,467682
1598409267,467682
1598409268,467682
1598409269,467682
1598409270,467682
1598409271,467682
1598409272,467682
1598409273,467682
1598409274,468697
1598409275,468697
1598409276,468697
1598409277,488339
1598409278,463763
1598409278,472079
