t,value
1598408776,2924
1598408777,2924
1598408778,11770
1598408779,90116
1598408780,92312
1598408781,591045
1598408782,632640
1598408783,632640
1598408784,632640
1598408785,659770
1598408786,659770
1598408787,659770
1598408788,659770
1598408789,714030
1598408790,716056
1598408791,716060
1598408792,716060
1598408793,716060
1598408794,209135
1598408795,215883
1598408796,235435
1598408797,253355
1598408798,253355
1598408799,253355
1598408800,253355
1598408801,253355
1598408802,253355
1598408803,253355
1598408804,253355
1598408805,253355
1598408806,253355
1598408807,253355
1598408808,261571
1598408809,261571
1598408810,261571
1598408811,261571
1598408812,261571
1598408813,261571
1598408814,261572
1598408815,261572
1598408816,261572
1598408817,261572
1598408818,261572
1598408819,261575
1598408820,261578
1598408821,261579
1598408822,261579
1598408823,261579
1598408824,261579
1598408825,261579
1598408826,261579
1598408827,261579
1598408828,261579
1598408829,261579
1598408830,261579
1598408831,261579
1598408832,261579
1598408833,253387
1598408834,253387
1598408835,253387
1598408836,253387
1598408837,253387
1598408838,261579
1598408839,261579
1598408840,261579
1598408841,261579
1598408842,261726
1598408843,261726
1598408844,261726
1598408845,760459
1598408846,861294
1598408847,861294
1598408848,861294
1598408849,861294
1598408850,861294
1598408851,861294
1598408852,861294
1598408853,861294
1598408854,861294
1598408855,861294
1598408856,861294
1598408857,861294
1598408858,861294
1598408859,861294
1598408860,861294
1598408861,861294
1598408862,861294
1598408863,861294
1598408864,861294
1598408865,861294
1598408866,861294
1598408867,861294
1598408868,869486
1598408869,869486
1598408870,869486
1598408871,869486
1598408872,869486
1598408873,869486
1598408874,869486
1598408875,869486
1598408876,869486
1598408877,869486
1598408878,869486
1598408879,869486
1598408880,869486
1598408881,869486
1598408882,869486
1598408883,869486
1598408884,869486
1598408885,869486
1598408886,869486
1598408887,869486
1598408888,869486
1598408889,869486
1598408890,869486
1598408891,869486
1598408892,869486
1598408893,869486
1598408894,869486
1598408895,869486
1598408896,869486
1598408897,869486
1598408898,877678
1598408899,877678
1598408900,877678
1598408901,877678
1598408902,877678
1598408903,877678
1598408904,877678
1598408905,877678
1598408906,877678
1598408907,877678
1598408908,877678
1598408909,877678
