t,value
1598408776,21495808
1598408777,21495808
1598408778,21495808
1598408779,14155776
1598408780,14155776
1598408781,14155776
1598408782,14155776
1598408783,14155776
1598408784,14155776
1598408785,14155776
1598408786,14155776
1598408787,14155776
1598408788,14155776
1598408789,14155776
1598408790,18874368
1598408791,18874368
1598408792,18874368
1598408793,18874368
1598408794,29360128
1598408795,29360128
1598408796,29360128
1598408797,29360128
1598408798,29360128
1598408799,29360128
1598408800,29360128
1598408801,29360128
1598408802,29360128
1598408803,29360128
1598408804,29360128
1598408805,29360128
1598408806,29360128
1598408807,29360128
1598408808,29360128
1598408809,29360128
1598408810,29360128
1598408811,29360128
1598408812,29360128
1598408813,29360128
1598408814,29360128
1598408815,29360128
1598408816,29360128
1598408817,29360128
1598408818,29360128
1598408819,29360128
1598408820,29360128
1598408821,29360128
1598408822,29360128
1598408823,29360128
1598408824,29360128
1598408825,29360128
1598408826,29360128
1598408827,29360128
1598408828,29360128
1598408829,29360128
1598408830,29360128
1598408831,29360128
1598408832,29360128
1598408833,19922944
1598408834,19922944
1598408835,19922944
1598408836,19922944
1598408837,19922944
1598408838,19922944
1598408839,19922944
1598408840,19922944
1598408841,19922944
1598408842,19922944
1598408843,19922944
1598408844,19922944
1598408845,19922944
1598408846,19922944
1598408847,19922944
1598408848,19922944
1598408849,19922944
1598408850,19922944
1598408851,19922944
1598408852,19922944
1598408853,19922944
1598408854,19922944
1598408855,19922944
1598408856,19922944
1598408857,19922944
1598408858,19922944
1598408859,19922944
1598408860,19922944
1598408861,19922944
1598408862,19922944
1598408863,19922944
1598408864,19922944
1598408865,19922944
1598408866,19922944
1598408867,19922944
1598408868,19922944
1598408869,19922944
1598408870,19922944
1598408871,19922944
1598408872,19922944
1598408873,19922944
1598408874,19922944
1598408875,19922944
1598408876,19922944
1598408877,19922944
1598408878,19922944
1598408879,19922944
1598408880,19922944
1598408881,19922944
1598408882,19922944
1598408883,19922944
1598408884,19922944
1598408885,19922944
1598408886,19922944
1598408887,19922944
1598408888,19922944
1598408889,19922944
1598408890,19922944
1598408891,19922944
1598408892,19922944
1598408893,19922944
1598408894,19922944
1598408895,19922944
1598408896,19922944
1598408897,19922944
1598408898,19922944
1598408899,19922944
1598408900,19922944
1598408901,19922944
1598408902,19922944
1598408903,19922944
1598408904,19922944
1598408905,19922944
1598408906,19922944
1598408907,19922944
1598408908,19922944
1598408909,19922944
1598408910,19922944
1598408911,19922944
1598408912,19922944
1598408913,19922944
1598408914,19922944
1598408915,19922944
1598408916,19922944
1598408917,19922944
1598408918,19922944
1598408919,28311552
1598408920,28311552
1598408921,28311552
1598408922,28311552
1598408923,28311552
1598408924,28311552
1598408925,28311552
1598408926,28311552
1598408927,28311552
1598408928,28311552
1598408929,28311552
1598408930,28311552
1598408931,28311552
1598408932,28311552
1598408933,28311552
1598408934,28311552
1598408935,28311552
1598408936,28311552
1598408937,28311552
1598408938,28311552
1598408939,28311552
1598408940,28311552
1598408941,28311552
1598408942,28311552
1598408943,28311552
1598408944,28311552
1598408945,28311552
1598408946,28311552
1598408947,28311552
1598408948,28311552
1598408949,28311552
1598408950,28311552
1598408951,28311552
1598408952,28311552
1598408953,28311552
1598408954,28311552
1598408955,28311552
1598408956,28311552
1598408957,28311552
1598408958,28311552
1598408959,28311552
1598408960,28311552
1598408961,28311552
1598408962,28311552
1598408963,28311552
1598408964,28311552
1598408965,28311552
1598408966,28311552
1598408967,28311552
1598408968,28311552
1598408969,28311552
1598408970,28311552
1598408971,28311552
1598408972,28311552
1598408973,28311552
1598408974,28311552
1598408975,28311552
1598408976,28311552
1598408977,28311552
1598408978,28311552
1598408979,28311552
1598408980,28311552
1598408981,28311552
1598408982,28311552
1598408983,28311552
1598408984,28311552
1598408985,28311552
1598408986,28311552
1598408987,28311552
1598408988,28311552
1598408989,28311552
1598408990,28311552
1598408991,28311552
1598408992,28311552
1598408993,28311552
1598408994,28311552
1598408995,28311552
1598408996,28311552
1598408997,28311552
1598408998,28311552
1598408999,28311552
1598409000,28311552
1598409001,28311552
1598409002,28311552
1598409003,28311552
1598409004,28311552
1598409005,28311552
1598409006,28311552
1598409007,28311552
1598409008,28311552
1598409009,28311552
1598409010,28311552
1598409011,28311552
1598409012,28311552
1598409013,28311552
1598409014,28311552
1598409015,28311552
1598409016,28311552
1598409017,28311552
1598409018,28311552
1598409019,28311552
1598409020,28311552
1598409021,28311552
1598409022,28311552
1598409023,28311552
1598409024,28311552
1598409025,28311552
1598409026,28311552
1598409027,28311552
1598409028,28311552
1598409029,28311552
1598409030,28311552
1598409031,28311552
1598409032,28311552
1598409033,28311552
1598409034,28311552
1598409035,28311552
1598409036,28311552
1598409037,28311552
1598409038,28311552
1598409039,28311552
1598409040,28311552
1598409041,28311552
1598409042,28311552
1598409043,28311552
1598409044,28311552
1598409045,28311552
1598409046,28311552
1598409047,28311552
1598409048,28311552
1598409049,28311552
1598409050,28311552
1598409051,28311552
1598409052,28311552
1598409053,28311552
1598409054,28311552
1598409055,28311552
1598409056,28311552
1598409057,23592960
1598409058,23592960
1598409059,23592960
1598409060,23592960
1598409061,23592960
1598409062,23592960
1598409063,23592960
1598409064,23592960
1598409065,23592960
1598409066,23592960
